,number,cleaned_number
881,১৫৫৫/২০১৫),১৫৫৫২০১৫
882,১৫৬,১৫৬
883,"১৫৬/১০,",১৫৬১০
884,১৫৬টি,১৫৬
885,১৫৬তম,১৫৬
886,১৫৭,১৫৭
887,১৫৭নং,১৫৭
888,১৫৮,১৫৮
889,১৫৮টি,১৫৮
890,১৫৯,১৫৯
891,১৬,১৬
892,১৬%।,১৬
893,"১৬,",১৬
894,১৬-১৮,১৬১৮
895,১৬-২০,১৬২০
896,১৬-৫,১৬৫
897,১৬.০৪১,১৬০৪১
898,১৬.৪,১৬৪
899,১৬।,১৬
900,১৬জিবি,১৬
901,১৬টি,১৬
902,১৬টি।,১৬
903,১৬তম,১৬
904,১৬নং,১৬
905,১৬শ’,১৬
906,১৬০,১৬০
907,১৬০হ্ন,১৬০
908,১৬০০-এর,১৬০০
909,১৬১,১৬১
910,১৬২,১৬২
911,১৬২তম,১৬২
912,১৬২২২,১৬২২২
913,১৬৩,১৬৩
914,১৬৩টি,১৬৩
915,১৬৪,১৬৪
916,১৬৪টি,১৬৪
917,১৬৫৫,১৬৫৫
918,১৬৬,১৬৬
919,১৬৬টি,১৬৬
920,১৬৮,১৬৮
921,১৬৯.৭৯।,১৬৯৭৯
922,১৭,১৭
923,"১৭,",১৭
924,১৭-০,১৭০
925,"১৭-১৭,",১৭১৭
926,১৭-১৮শ’,১৭১৮
927,১৭-২১,১৭২১
928,১৭.৫,১৭৫
929,১৭টি,১৭
930,"১৭টি,",১৭
931,১৭টির,১৭
932,১৭তম,১৭
933,১৭নং,১৭
934,১৭সৌম্য,১৭
935,১৭০,১৭০
936,১৭০টি,১৭০
937,১৭০০,১৭০০
938,১৭১,১৭১
939,১৭২,১৭২
940,১৭২টি,১৭২
941,১৭২৫,১৭২৫
942,১৭৩,১৭৩
943,১৭৩টি,১৭৩
944,১৭৪,১৭৪
945,১৭৪টি,১৭৪
946,১৭৪নং,১৭৪
947,১৭৫,১৭৫
948,"১৭৫/৭,",১৭৫৭
949,১৭৫টি,১৭৫
950,১৭৫টিরও,১৭৫
951,১৭৫০,১৭৫০
952,১৭৬,১৭৬
953,১৭৬টি,১৭৬
954,১৭৭,১৭৭
955,১৭৮,১৭৮
956,"১৭৮*,",১৭৮
957,১৭৮/বি,১৭৮
958,১৭৮/১০,১৭৮১০
959,১৭৮টি,১৭৮
960,১৭৯,১৭৯
961,১৮,১৮
962,১৮*,১৮
963,"১৮,",১৮
964,১৮-১৯টি,১৮১৯
965,১৮-২০,১৮২০
966,১৮-২৪,১৮২৪
967,১৮-৩০,১৮৩০
968,১৮-৫৩৫০),১৮৫৩৫০
969,১৮.২,১৮২
970,১৮।,১৮
971,১৮টি,১৮
972,"১৮টি,",১৮
973,১৮টি।,১৮
974,১৮নং,১৮
975,১৮ম,১৮
976,১৮শ,১৮
977,১৮শ’,১৮
978,১৮০,১৮০
979,১৮১,১৮১
980,১৮১টি,১৮১
981,১৮২,১৮২
982,১৮২টি,১৮২
983,১৮২৭.২,১৮২৭২
984,১৮৩.৫৪,১৮৩৫৪
985,১৮৩টি,১৮৩
986,১৮৪,১৮৪
987,১৮৪০,১৮৪০
988,১৮৫,১৮৫
989,১৮৬,১৮৬
990,১৮৬১,১৮৬১
991,১৮৬২,১৮৬২
992,১৮৬৩.৪,১৮৬৩৪
993,১৮৭.৮৩,১৮৭৮৩
994,১৮৭২,১৮৭২
995,১৮৭৭,১৮৭৭
996,১৮৮,১৮৮
997,১৮৮০,১৮৮০
998,১৮৮৪,১৮৮৪
999,১৮৯,১৮৯
1000,"১৮৯/৯,",১৮৯৯
1001,১৮৯/৯।,১৮৯৯
1002,১৮৯টি,১৮৯
1003,১৮৯০,১৮৯০
1004,১৮৯৭,১৮৯৭
1005,১৯,১৯
1006,"১৯,",১৯
1007,"১৯,১১১",১৯১১১
1008,১৯-এ,১৯
1009,১৯টি,১৯
1010,১৯টিতে,১৯
1011,১৯তম,১৯
1012,১৯নং,১৯
1013,১৯০,১৯০
1014,১৯০টি,১৯০
1015,১৯০টির,১৯০
1016,১৯০৪টি,১৯০৪
1017,১৯০৯,১৯০৯
1018,১৯১,১৯১
1019,১৯১৩,১৯১৩
1020,১৯১৭-র,১৯১৭
1021,১৯২,১৯২
1022,১৯২০,১৯২০
1023,১৯২১,১৯২১
1024,১৯২৪,১৯২৪
1025,১৯২৬,১৯২৬
1026,১৯৩টি,১৯৩
1027,১৯৩২,১৯৩২
1028,১৯৩৫০,১৯৩৫০
1029,১৯৩৮,১৯৩৮
1030,১৯৩৯,১৯৩৯
1031,১৯৩৯-এ,১৯৩৯
1032,১৯৪,১৯৪
1033,১৯৪টি,১৯৪
1034,১৯৪২,১৯৪২
1035,১৯৪৩,১৯৪৩
1036,১৯৪৬,১৯৪৬
1037,১৯৪৭,১৯৪৭
1038,১৯৪৮,১৯৪৮
1039,১৯৪৯-এর,১৯৪৯
1040,১৯৪৯-৫০,১৯৪৯৫০
1041,১৯৫,১৯৫
1042,১৯৫)।,১৯৫
1043,১৯৫জন,১৯৫
1044,১৯৫টি।,১৯৫
1045,১৯৫০,১৯৫০
1046,১৯৫১,১৯৫১
1047,১৯৫২,১৯৫২
1048,১৯৫৩,১৯৫৩
1049,১৯৫৪,১৯৫৪
1050,১৯৫৫,১৯৫৫
1051,১৯৫৫-তে,১৯৫৫
1052,১৯৫৬,১৯৫৬
1053,১৯৫৭-৫৮,১৯৫৭৫৮
1054,১৯৫৮,১৯৫৮
1055,১৯৫৯,১৯৫৯
1056,১৯৬,১৯৬
1057,"১৯৬,",১৯৬
1058,১৯৬১,১৯৬১
1059,১৯৬২,১৯৬২
1060,১৯৬২-এর,১৯৬২
1061,১৯৬৩,১৯৬৩
1062,১৯৬৩-৬৪,১৯৬৩৬৪
1063,১৯৬৪-৬৫,১৯৬৪৬৫
1064,১৯৬৬,১৯৬৬
1065,১৯৬৭,১৯৬৭
1066,১৯৬৭-৬৮,১৯৬৭৬৮
1067,১৯৬৮,১৯৬৮
1068,১৯৬৯,১৯৬৯
1069,১৯৭,১৯৭
1070,১৯৭০,১৯৭০
1071,১৯৭১,১৯৭১
1072,১৯৭২,১৯৭২
1073,১৯৭২-৭৩,১৯৭২৭৩
1074,১৯৭৩,১৯৭৩
1075,১৯৭৪,১৯৭৪
1076,১৯৭৫,১৯৭৫
1077,১৯৭৬,১৯৭৬
1078,১৯৭৭,১৯৭৭
1079,১৯৭৭-৮০,১৯৭৭৮০
1080,১৯৭৮,১৯৭৮
1081,১৯৭৯,১৯৭৯
1082,১৯৭৯-৮০,১৯৭৯৮০
1083,১৯৮০,১৯৮০
1084,১৯৮০-৯০’র,১৯৮০৯০
1085,১৯৮০’র,১৯৮০
1086,১৯৮১,১৯৮১
1087,১৯৮২,১৯৮২
1088,১৯৮২-৮৩,১৯৮২৮৩
1089,১৯৮৩,১৯৮৩
1090,১৯৮৩-এর,১৯৮৩
1091,১৯৮৩-৮৪,১৯৮৩৮৪
1092,১৯৮৪,১৯৮৪
1093,১৯৮৪-৮৫,১৯৮৪৮৫
1094,১৯৮৫,১৯৮৫
1095,১৯৮৬,১৯৮৬
1096,১৯৮৭,১৯৮৭
1097,১৯৮৮,১৯৮৮
1098,১৯৮৮-এর,১৯৮৮
1099,১৯৮৯,১৯৮৯
1100,১৯৯০,১৯৯০
1101,১৯৯০।,১৯৯০
1102,১৯৯১,১৯৯১
1103,১৯৯১-৯২,১৯৯১৯২
1104,১৯৯২,১৯৯২
1105,১৯৯৩,১৯৯৩
1106,১৯৯৪,১৯৯৪
1107,১৯৯৪-৯৫’র,১৯৯৪৯৫
1108,১৯৯৫,১৯৯৫
1109,১৯৯৬,১৯৯৬
1110,১৯৯৬-এ,১৯৯৬
1111,১৯৯৭,১৯৯৭
1112,১৯৯৮,১৯৯৮
1113,১৯৯৯,১৯৯৯
1114,২,২
1115,২%,২
1116,২)।,২
1117,"২,",২
1118,"২,০০০",২০০০
1119,"২,০৬৯.৭১",২০৬৯৭১
1120,২-০,২০
1121,"২-০-৮-১,",২০৮১
1122,২-০তে,২০
1123,২-১,২১
1124,২-১-এ।,২১
1125,২-২,২২
1126,২-৩,২৩
1127,২-৩শ’,২৩
1128,২-৮,২৮
1129,২.,২
1130,২.০।,২০
1131,২.৩.৭,২৩৭
1132,২.৪৯,২৪৯
1133,২.৫,২৫
1134,২.৫০%,২৫০
1135,২.৭,২৭
1136,২.৭১।,২৭১
1137,২.৭৫।,২৭৫
1138,২.৯),২৯
1139,২/বি,২
1140,২/১,২১
1141,২/১০৪)।,২১০৪
1142,২/১৪)।,২১৪
1143,"২/১৫,",২১৫
1144,২/২১)।,২২১
1145,২/২৪)।,২২৪
1146,"২/২৫,",২২৫
1147,২/২৯)।,২২৯
1148,২/৩,২৩
1149,২/৩টি,২৩
1150,"২/৩০,",২৩০
1151,২/৩১)।,২৩১
1152,২/৩৫)।,২৩৫
1153,২/৩৭)।,২৩৭
1154,"২/৩৭,",২৩৭
1155,"২/৩৯,",২৩৯
1156,২/৪)।,২৪
1157,২/৪৩)।,২৪৩
1158,"২/৪৪,",২৪৪
1159,"২/৪৫,",২৪৫
1160,২/৪৭,২৪৭
1161,"২/৪৭,",২৪৭
1162,২/৪৮)।,২৪৮
1163,"২/৪৮,",২৪৮
1164,২/৬২)।,২৬২
1165,"২/৬২,",২৬২
1166,"২/৬৬,",২৬৬
1167,২/৬৭,২৬৭
1168,"২/৭৭,",২৭৭
1169,"২/৯৩,",২৯৩
1170,২ঘন্টা,২
1171,২চট্টগ্রাম,২
1172,২জনকে,২
1173,২টা,২
1174,২টা),২
1175,২টা।,২
1176,২টার,২
1177,২টায়,২
1178,"২টায়,",২
1179,২টি,২
1180,"২টি,",২
1181,২টিই,২
1182,২টিও,২
1183,২টিসহ,২
1184,২নং,২
1185,২শ,২
1186,২শ’,২
1187,২য়,২
1188,২০,২০
1189,২০%,২০
1190,"২০,",২০
1191,"২০,০০০",২০০০০
1192,"২০,৫০০",২০৫০০
1193,২০-তে,২০
1194,২০-র,২০
1195,"২০-২০,",২০২০
1196,২০-২২,২০২২
1197,২০-২৫,২০২৫
1198,২০-২৫টি,২০২৫
1199,২০-৩০,২০৩০
1200,২০.৬,২০৬
1201,২০/২২টি,২০২২
1202,২০/২৫,২০২৫
1203,২০।,২০
1204,২০জন,২০
1205,২০টি,২০
1206,২০টির,২০
1207,২০তম,২০
1208,২০তে,২০
1209,২০তেই,২০
1210,২০০,২০০
1211,২০০-এর,২০০
1212,২০০টি,২০০
1213,২০০টির,২০০
1214,২০০র,২০০
1215,২০০০,২০০০
1216,২০০০সালের,২০০০
1217,২০০১,২০০১
1218,২০০১-এ,২০০১
1219,২০০২,২০০২
1220,২০০৩,২০০৩
1221,২০০৪,২০০৪
1222,২০০৪-০৫,২০০৪০৫
1223,২০০৫,২০০৫
1224,২০০৬,২০০৬
1225,২০০৭,২০০৭
1226,"২০০৭,",২০০৭
1227,২০০৭-০৮,২০০৭০৮
1228,২০০৭-২০১১,২০০৭২০১১
1229,২০০৮,২০০৮
1230,"২০০৮,",২০০৮
1231,২০০৮-,২০০৮
1232,২০০৯,২০০৯
1233,২০০৯-এ,২০০৯
1234,২০০৯-এর,২০০৯
1235,২০০৯-১০,২০০৯১০
1236,২০০৯/২০১০,২০০৯২০১০
1237,২০১০,২০১০
1238,২০১০-এর,২০১০
1239,২০১০-১১,২০১০১১
1240,২০১০-১৪,২০১০১৪
1241,২০১১,২০১১
1242,২০১১-তে,২০১১
1243,২০১১-১২,২০১১১২
1244,২০১১-১৪,২০১১১৪
1245,২০১১-২০১২,২০১১২০১২
1246,২০১২,২০১২
1247,২০১২-তে,২০১২
1248,২০১২-১৩,২০১২১৩
1249,২০১৩,২০১৩
1250,২০১৩-১৪,২০১৩১৪
1251,"২০১৩-১৪,",২০১৩১৪
1252,২০১৪,২০১৪
1253,২০১৪)।,২০১৪
1254,২০১৪-তে,২০১৪
1255,২০১৪-র,২০১৪
1256,২০১৪-১৫,২০১৪১৫
1257,২০১৪’র,২০১৪
1258,২০১৫,২০১৫
1259,২০১৫-র,২০১৫
1260,২০১৫-১৬,২০১৫১৬
1261,২০১৬,২০১৬
1262,২০১৬-এর,২০১৬
1263,২০১৬-তে,২০১৬
1264,২০১৬-১৭,২০১৬১৭
1265,২০১৬-২০১৭,২০১৬২০১৭
1266,২০১৬।,২০১৬
1267,২০১৬এমআরএস,২০১৬
1268,২০১৬তে,২০১৬
1269,২০১৬সূত্র,২০১৬
1270,২০১৬’-এর,২০১৬
1271,২০১৭,২০১৭
1272,২০১৭-এ,২০১৭
1273,২০১৭-তে,২০১৭
1274,২০১৭-১৮,২০১৭১৮
1275,২০১৭-২০১৮,২০১৭২০১৮
1276,২০১৭-২০১৯,২০১৭২০১৯
1277,২০১৭।,২০১৭
1278,২০১৭’,২০১৭
1279,২০১৮,২০১৮
1280,২০১৮-এর,২০১৮
1281,২০১৯,২০১৯
1282,২০১৯-২০,২০১৯২০
1283,২০২,২০২
1284,২০২/৫,২০২৫
1285,২০২টি,২০২
1286,২০২০,২০২০
1287,২০২১,২০২১
1288,২০২২,২০২২
1289,২০২৫,২০২৫
1290,২০২৬,২০২৬
1291,২০৩,২০৩
1292,২০৩-এ,২০৩
1293,২০৩০,২০৩০
1294,২০৩৬,২০৩৬
1295,২০৪,২০৪
1296,২০৪১,২০৪১
1297,২০৫০,২০৫০
1298,"২০৫০২৭৪০২০১৮৫৬৩০৫,",২০৫০২৭৪০২০১৮৫৬৩০৫
1299,২০৬,২০৬
1300,২০৬.১,২০৬১
1301,২০৭,২০৭
1302,২০৭২,২০৭২
1303,২০৮,২০৮
1304,২০৯,২০৯
1305,২০’র,২০
1306,২১,২১
1307,২১)ভারোত্তোলনমেয়েদের,২১
1308,"২১,",২১
1309,২১-১০,২১১০
1310,২১-১৬,২১১৬
1311,২১-১৯,২১১৯
1312,"২১-২১,",২১২১
1313,২১.৫,২১৫
1314,২১টি,২১
1315,২১টি।,২১
1316,২১তম,২১
1317,"২১তম,",২১
1318,২১শ’,২১
1319,২১০,২১০
1320,২১১,২১১
1321,২১২,২১২
1322,২১২।,২১২
1323,২১৩,২১৩
1324,২১৩টি,২১৩
1325,২১৪,২১৪
1326,"২১৪,",২১৪
1327,২১৪০।,২১৪০
1328,২১৫,২১৫
1329,২১৬,২১৬
1330,২১৭টি,২১৭
1331,২১৮,২১৮
1332,২১৮টি,২১৮
1333,২২,২২
1334,২২%,২২
1335,"২২,",২২
1336,"২২,০০০-৫৩,০৬০",২২০০০৫৩০৬০
1337,২২-২০,২২২০
1338,২২-২৩,২২২৩
1339,২২.৪,২২৪
1340,২২টি,২২
1341,২২টিতেই,২২
1342,২২তম,২২
1343,২২০,২২০
1344,২২০টি।,২২০
1345,২২০০,২২০০
1346,২২১টি।,২২১
1347,২২২,২২২
1348,২২৩,২২৩
1349,২২৪।,২২৪
1350,২২৫,২২৫
1351,২২৬,২২৬
1352,২২৬১,২২৬১
1353,২২৭,২২৭
1354,২২৮,২২৮
1355,২২৮২২৪,২২৮২২৪
1356,২৩,২৩
1357,"২৩,",২৩
1358,২৩-১১,২৩১১
1359,"২৩-২২,",২৩২২
1360,২৩-২৩,২৩২৩
1361,২৩.১,২৩১
1362,২৩/বি,২৩
1363,২৩টি,২৩
1364,২৩টির,২৩
1365,২৩০,২৩০
1366,২৩০.৮।,২৩০৮
1367,২৩০/১৩২,২৩০১৩২
1368,"২৩০/৯,",২৩০৯
1369,২৩০২,২৩০২
1370,"২৩১/৮,",২৩১৮
1371,২৩১টি,২৩১
1372,২৩৩,২৩৩
1373,২৩৪,২৩৪
1374,২৩৪টি,২৩৪
1375,২৩৫,২৩৫
1376,২৩৬,২৩৬
1377,২৩৭,২৩৭
1378,২৩৮,২৩৮
1379,২৩৯,২৩৯
1380,২৩৯টি,২৩৯
1381,২৪,২৪
1382,২৪(২),২৪২
1383,২৪(৩),২৪৩
1384,"২৪,",২৪
1385,২৪-১৪,২৪১৪
1386,২৪-১৭,২৪১৭
1387,২৪-২৫,২৪২৫
1388,২৪.৫,২৪৫
1389,২৪.৭৬,২৪৭৬
1390,২৪টি,২৪
1391,২৪টি।,২৪
1392,২৪তম,২৪
1393,২৪নং,২৪
1394,২৪শ’,২৪
1395,২৪০,২৪০
1396,২৪১,২৪১
1397,২৪১।,২৪১
1398,২৪২,২৪২
1399,২৪৪০,২৪৪০
1400,২৪৫,২৪৫
1401,২৪৮,২৪৮
1402,২৪৯.৫,২৪৯৫
1403,২৪’র,২৪
1404,২৫,২৫
1405,২৫*,২৫
1406,২৫*।,২৫
1407,"২৫,",২৫
1408,২৫-২৩,২৫২৩
1409,২৫-২৬,২৫২৬
1410,২৫-২৮,২৫২৮
1411,২৫-৩০,২৫৩০
1412,২৫-৮,২৫৮
1413,২৫.,২৫
1414,২৫.২,২৫২
1415,২৫/৩০,২৫৩০
1416,২৫/৩০টি,২৫৩০
1417,২৫।,২৫
1418,২৫টি,২৫
1419,২৫তম,২৫
1420,২৫শ’,২৫
1421,২৫০,২৫০
1422,২৫০-১২৫০,২৫০১২৫০
1423,২৫০০,২৫০০
1424,২৫১,২৫১
1425,২৫১/এ,২৫১
1426,২৫২,২৫২
1427,২৫২টি,২৫২
1428,২৫৩,২৫৩
1429,২৫৪টি,২৫৪
1430,২৫৫,২৫৫
1431,২৫৬,২৫৬
1432,২৫৮.৯,২৫৮৯
1433,২৬,২৬
1434,২৬(১),২৬১
1435,"২৬,",২৬
1436,২৬.৪,২৬৪
1437,২৬/০৪/২০১৬।,২৬০৪২০১৬
1438,২৬/৪/১৭)।,২৬৪১৭
1439,২৬।,২৬
1440,২৬টি,২৬
1441,২৬টি।,২৬
1442,২৬তম,২৬
1443,২৬০,২৬০
1444,২৬০টি,২৬০
1445,২৬২,২৬২
1446,২৬২।,২৬২
1447,২৬৩,২৬৩
1448,"২৬৪/৮,",২৬৪৮
1449,২৬৪৯,২৬৪৯
1450,"২৬৫/৭,",২৬৫৭
1451,২৬৬টি,২৬৬
1452,২৬৭,২৬৭
1453,২৬৭৬টি,২৬৭৬
1454,২৬৮,২৬৮
1455,২৬৯,২৬৯
1456,২৭,২৭
1457,"২৭,",২৭
1458,২৭টি,২৭
1459,২৭নং,২৭
1460,২৭০,২৭০
1461,২৭০টি,২৭০
1462,২৭০টিতেই,২৭০
1463,২৭১,২৭১
1464,২৭১।,২৭১
1465,২৭২,২৭২
1466,২৭২টি,২৭২
1467,২৭৩,২৭৩
1468,২৭৪,২৭৪
1469,২৭৫,২৭৫
1470,২৭৫টি,২৭৫
1471,২৭৬,২৭৬
1472,২৭৮,২৭৮
1473,২৭৯,২৭৯
1474,২৮,২৮
1475,২৮*।,২৮
1476,"২৮,",২৮
1477,২৮-৩০,২৮৩০
1478,২৮.১,২৮১
1479,২৮টি,২৮
1480,২৮তম,২৮
1481,২৮মে,২৮
1482,২৮০,২৮০
1483,২৮১,২৮১
1484,২৮৩,২৮৩
1485,২৮৩টি,২৮৩
1486,২৮৪,২৮৪
1487,২৮৫,২৮৫
1488,২৮৬,২৮৬
1489,২৮৮,২৮৮
1490,২৮৯,২৮৯
1491,"২৮৯/৩,",২৮৯৩
1492,২৮’সহ,২৮
1493,২৯,২৯
1494,২৯%-এর,২৯
1495,"২৯,",২৯
1496,২৯-১৭,২৯১৭
1497,২৯.৪,২৯৪
1498,২৯।,২৯
1499,২৯টি,২৯
1500,২৯নং,২৯
1501,২৯০,২৯০
1502,২৯০০,২৯০০
1503,২৯২,২৯২
1504,২৯২জন।,২৯২
1505,২৯২৯,২৯২৯
1506,২৯৩,২৯৩
1507,"২৯৪/৯,",২৯৪৯
1508,২৯৪টি,২৯৪
1509,২৯৫,২৯৫
1510,"২৯৬/৫,",২৯৬৫
1511,২৯৭,২৯৭
1512,২৯৮,২৯৮
1513,২৯৯,২৯৯
1514,২’।,২
1515,৩,৩
1516,৩%,৩
1517,৩),৩
1518,৩+১,৩১
1519,"৩,",৩
1520,"৩,৪০০",৩৪০০
1521,৩-০,৩০
1522,"৩-০-১২-২,",৩০১২২
1523,"৩-০-১৮-১,",৩০১৮১
1524,"৩-০-১৮-২,",৩০১৮২
1525,৩-১,৩১
1526,৩-২,৩২
1527,৩-৩,৩৩
1528,৩-৪,৩৪
1529,৩-৪টি,৩৪
1530,৩-৪শ’,৩৪
1531,"৩-৬,",৩৬
1532,৩.,৩
1533,৩.৩,৩৩
1534,"৩.৪-০-২৬-২,",৩৪০২৬২
1535,৩/১,৩১
1536,৩/২১)।,৩২১
1537,"৩/৩০,",৩৩০
1538,"৩/৩১,",৩৩১
1539,৩/৩৪)।,৩৩৪
1540,"৩/৩৪,",৩৩৪
1541,"৩/৩৭,",৩৩৭
1542,"৩/৩৮,",৩৩৮
1543,৩/৪,৩৪
1544,৩/৪টি,৩৪
1545,৩/৫০)।,৩৫০
1546,৩।,৩
1547,৩ঘণ্টা,৩
1548,৩জনই,৩
1549,৩টা,৩
1550,"৩টা,",৩
1551,৩টা।,৩
1552,৩টার,৩
1553,৩টায়,৩
1554,"৩টায়,",৩
1555,৩টায়।,৩
1556,৩টি,৩
1557,৩টি।,৩
1558,৩নং,৩
1559,৩শ',৩
1560,৩শ’,৩
1561,৩শ’।,৩
1562,৩য়,৩
1563,৩০,৩০
1564,৩০*)।,৩০
1565,"৩০,",৩০
1566,৩০-এর,৩০
1567,৩০-এস,৩০
1568,৩০-০,৩০০
1569,৩০-২৫,৩০২৫
1570,৩০-২৭,৩০২৭
1571,৩০-৩৫,৩০৩৫
1572,৩০-৪০,৩০৪০
1573,৩০.৩৮।,৩০৩৮
1574,৩০/৪০,৩০৪০
1575,৩০।,৩০
1576,৩০টি,৩০
1577,৩০টির,৩০
1578,৩০তম,৩০
1579,৩০লৌহজং,৩০
1580,৩০০,৩০০
1581,৩০০-র,৩০০
1582,৩০০/১/এ,৩০০১
1583,৩০০টি,৩০০
1584,৩০০টির,৩০০
1585,৩০০০,৩০০০
1586,৩০১,৩০১
1587,৩০১টি,৩০১
1588,৩০২,৩০২
1589,৩০২/৩৪,৩০২৩৪
1590,৩০২টির,৩০২
1591,৩০৩,৩০৩
1592,৩০৩টি,৩০৩
1593,৩০৪,৩০৪
1594,৩০৪(বি),৩০৪
1595,৩০৪২,৩০৪২
1596,৩০৬,৩০৬
1597,"৩০৭,",৩০৭
1598,৩০৭/৩০৯,৩০৭৩০৯
1599,৩০৮টি,৩০৮
1600,৩১,৩১
1601,"৩১,",৩১
1602,৩১/বি,৩১
1603,৩১টি,৩১
1604,৩১টি।,৩১
1605,"৩১তম,",৩১
1606,৩১০,৩১০
1607,৩১১,৩১১
1608,৩১২,৩১২
1609,৩১২টি,৩১২
1610,৩১২২,৩১২২
1611,৩১৪,৩১৪
1612,৩১৪টি,৩১৪
1613,৩১৪টি।,৩১৪
1614,৩১৫,৩১৫
1615,৩১৬,৩১৬
1616,"৩১৬/৯,",৩১৬৯
1617,৩১৯টি,৩১৯
1618,৩২,৩২
1619,৩২.৩,৩২৩
1620,৩২.৫০,৩২৫০
1621,"৩২/১,",৩২১
1622,৩২।,৩২
1623,৩২টি,৩২
1624,৩২টির,৩২
1625,"৩২তম,",৩২
1626,৩২০,৩২০
1627,৩২২,৩২২
1628,৩২৩,৩২৩
1629,৩২৩টি,৩২৩
1630,৩২৪টি,৩২৪
1631,৩২৫,৩২৫
1632,৩২৫টি,৩২৫
1633,৩২৬,৩২৬
1634,৩২৭,৩২৭
1635,৩২৭টি,৩২৭
1636,৩২৯টি,৩২৯
1637,৩৩,৩৩
1638,"৩৩,",৩৩
1639,৩৩-১৮,৩৩১৮
1640,৩৩-২০,৩৩২০
1641,৩৩।,৩৩
1642,৩৩টি,৩৩
1643,৩৩তম,৩৩
1644,৩৩নং,৩৩
1645,৩৩০,৩৩০
1646,৩৩০০,৩৩০০
1647,৩৩১০,৩৩১০
1648,৩৩২টি,৩৩২
1649,৩৩৩,৩৩৩
1650,৩৩৫,৩৩৫
1651,৩৩৫টি,৩৩৫
1652,৩৩৭৬।,৩৩৭৬
1653,৩৩৮,৩৩৮
1654,৩৩৯টি।,৩৩৯
1655,৩৪,৩৪
1656,৩৪(৫),৩৪৫
1657,"৩৪,",৩৪
1658,৩৪.৮৫,৩৪৮৫
1659,৩৪।,৩৪
1660,৩৪টি,৩৪
1661,৩৪টির,৩৪
1662,৩৪তম,৩৪
1663,৩৪০,৩৪০
1664,৩৪১,৩৪১
1665,৩৪২,৩৪২
1666,৩৪৩,৩৪৩
1667,৩৪৩টি,৩৪৩
1668,৩৪৪৮,৩৪৪৮
1669,৩৪৫,৩৪৫
1670,৩৪৬,৩৪৬
1671,৩৪৭৮,৩৪৭৮
1672,৩৪৮,৩৪৮
1673,৩৫,৩৫
1674,৩৫(২),৩৫২
1675,"৩৫,",৩৫
1676,"৩৫,০০০",৩৫০০০
1677,৩৫.২,৩৫২
1678,৩৫।,৩৫
1679,৩৫টি,৩৫
1680,৩৫তম,৩৫
1681,৩৫শাই,৩৫
1682,৩৫০,৩৫০
1683,৩৫০টি,৩৫০
1684,৩৫০ডটঅর্গ।,৩৫০
1685,৩৫১টি,৩৫১
1686,৩৫২,৩৫২
1687,৩৫৩,৩৫৩
1688,৩৫৬টি,৩৫৬
1689,৩৫৮,৩৫৮
1690,৩৫৮.৪১,৩৫৮৪১
1691,৩৫৯,৩৫৯
1692,৩৬,৩৬
1693,"৩৬,",৩৬
1694,৩৬.,৩৬
1695,৩৬.৫,৩৬৫
1696,৩৬.৫২,৩৬৫২
1697,৩৬.৮,৩৬৮
1698,৩৬টি,৩৬
1699,৩৬তম,৩৬
1700,৩৬০,৩৬০
1701,৩৬১,৩৬১
1702,৩৬২,৩৬২
1703,৩৬৫,৩৬৫
1704,৩৬৭,৩৬৭
1705,৩৬৭।,৩৬৭
1706,৩৬৮,৩৬৮
1707,৩৬৯,৩৬৯
1708,৩৬৯।,৩৬৯
1709,৩৭,৩৭
1710,৩৭-২৪,৩৭২৪
1711,৩৭-৪২,৩৭৪২
1712,৩৭.১,৩৭১
1713,৩৭.৪,৩৭৪
1714,৩৭।,৩৭
1715,৩৭টি,৩৭
1716,৩৭তম,৩৭
1717,৩৭০,৩৭০
1718,৩৭০টি,৩৭০
1719,৩৭১,৩৭১
1720,৩৭১টি,৩৭১
1721,৩৭৩।,৩৭৩
1722,৩৭৪,৩৭৪
1723,৩৭৭,৩৭৭
1724,৩৭৮,৩৭৮
1725,৩৮,৩৮
1726,"৩৮,",৩৮
1727,৩৮-২৭,৩৮২৭
1728,৩৮.১,৩৮১
1729,৩৮.৫,৩৮৫
1730,৩৮টি,৩৮
1731,৩৮তম,৩৮
1732,৩৮০,৩৮০
1733,৩৮১,৩৮১
1734,৩৮২,৩৮২
1735,৩৮২টি,৩৮২
1736,৩৮৪,৩৮৪
1737,৩৮৬,৩৮৬
1738,৩৮৭টি,৩৮৭
1739,৩৯,৩৯
1740,"৩৯,",৩৯
1741,৩৯-৩১,৩৯৩১
1742,৩৯।,৩৯
1743,৩৯টি,৩৯
1744,৩৯টি।,৩৯
1745,৩৯তম,৩৯
1746,৩৯০,৩৯০
1747,৩৯২,৩৯২
1748,৩৯৩,৩৯৩
1749,৩৯৪,৩৯৪
1750,৩৯৭টি,৩৯৭
1751,৩৯৮,৩৯৮
1752,৩৯৯টি,৩৯৯
1753,৪,৪
1754,"৪,",৪
1755,"৪,৮৮৪",৪৮৮৪
1756,৪-০,৪০
1757,"৪-০-১৩-২,",৪০১৩২
1758,"৪-০-২২-১,",৪০২২১
1759,৪-০-২৬-১।,৪০২৬১
1760,"৪-০-৩৩-০,",৪০৩৩০
1761,৪-০তে,৪০
1762,৪-২,৪২
1763,৪-৩,৪৩
1764,৪-৫,৪৫
