,char
2485,负
2486,贡
2487,财
2488,责
2489,质
2490,贫
2491,贵
2492,费
2493,贺
2494,资
2495,赚
2496,赛
2497,赤
2498,走
2499,赵
2500,起
2501,超
2502,距
2503,跟
2504,跨
2505,路
2506,踊
2507,踏
2508,蹈
2509,蹟
2510,蹴
2511,身
2512,軍
2513,較
2514,輩
2515,车
2516,辈
2517,辉
2518,辑
2519,输
2520,辰
2521,边
2522,达
2523,迅
2524,过
2525,运
2526,近
2527,还
2528,这
2529,进
2530,远
2531,连
2532,迟
2533,迥
2534,迹
2535,送
2536,逃
2537,透
2538,逐
2539,這
2540,通
2541,造
2542,逢
2543,連
2544,進
2545,逻
2546,逼
2547,遇
2548,過
2549,道
2550,達
2551,違
2552,遗
2553,遠
2554,遵
2555,遷
2556,選
2557,還
2558,那
2559,邦
2560,邪
2561,邱
2562,郊
2563,郎
2564,部
2565,郭
2566,都
2567,鄉
2568,鄭
2569,配
2570,酒
2571,酸
2572,醉
2573,醋
2574,醮
2575,里
2576,重
2577,野
2578,量
2579,金
2580,釜
2581,釵
2582,鉄
2583,鋪
2584,錨
2585,鏡
2586,鐵
2587,钗
2588,钢
2589,钦
2590,钱
2591,铁
2592,铭
2593,银
2594,锁
2595,错
2596,锡
2597,镇
2598,镕
2599,長
2600,长
2601,門
2602,間
2603,関
2604,閣
2605,閱
2606,闘
2607,门
2608,闭
2609,问
2610,间
2611,阁
2612,队
2613,阪
2614,防
2615,阳
2616,阴
2617,阿
2618,际
2619,陈
2620,限
2621,院
2622,陳
2623,陵
2624,陸
2625,陽
2626,隆
2627,隋
2628,随
2629,隐
2630,隔
2631,際
2632,障
2633,隨
2634,难
2635,雁
2636,雅
2637,集
2638,雕
2639,雜
2640,雞
2641,難
2642,雨
2643,雪
2644,雯
2645,雲
2646,電
2647,需
2648,震
2649,霍
2650,露
2651,靑
2652,青
2653,静
2654,靜
2655,非
2656,靠
2657,面
2658,革
2659,鞋
2660,韋
2661,韓
2662,韩
2663,音
2664,響
2665,須
2666,題
2667,顕
2668,類
2669,顺
2670,须
2671,顾
2672,顿
2673,领
2674,颇
2675,题
2676,颜
2677,颠
2678,風
2679,飄
2680,风
2681,飞
2682,食
2683,飩
2684,飯
2685,餅
2686,餓
2687,館
2688,饂
2689,饭
2690,饰
2691,饺
2692,饿
2693,馅
2694,馆
2695,首
2696,香
2697,馬
2698,騙
2699,马
2700,驱
2701,骑
2702,骗
2703,骨
2704,高
2705,髭
2706,鬼
2707,魏
2708,鰻
2709,鱼
2710,鳖
2711,鴻
2712,鸟
2713,鸡
2714,鸽
2715,鹉
2716,鹏
2717,鹦
2718,鹿
2719,麗
2720,麦
2721,麵
2722,黃
2723,黄
2724,黎
2725,黑
2726,默
2727,點
2728,黨
2729,鼠
2730,齉
2731,齋
2732,龍
2733,龔
2734,龙
2735,ꟸ
2736,ꟹ
2737,가
2738,거
2739,건
2740,검
2741,경
2742,공
2743,과
2744,관
2745,광
2746,교
2747,구
2748,국
2749,굴
2750,권
2751,궤
2752,근
2753,기
2754,깃
2755,꾸
2756,꿈
2757,남
2758,내
2759,녀
2760,뇌
2761,는
2762,니
2763,다
2764,단
2765,대
2766,덕
2767,도
2768,돌
2769,동
2770,두
2771,득
2772,땅
2773,락
2774,란
2775,람
2776,래
2777,른
2778,리
2779,막
2780,말
2781,망
2782,면
2783,문
2784,바
2785,박
2786,반
2787,발
2788,밭
2789,백
2790,범
2791,보
2792,볼
2793,봉
2794,봐
2795,부
2796,북
2797,산
2798,삼
2799,상
2800,서
2801,성
2802,세
2803,소
2804,수
2805,슬
2806,시
2807,식
2808,심
2809,쓰
2810,아
2811,애
2812,앨
2813,야
2814,양
2815,에
2816,역
2817,영
2818,와
2819,욕
2820,우
2821,운
2822,울
2823,원
2824,유
2825,윤
2826,을
2827,의
2828,이
2829,인
2830,잔
2831,장
2832,재
2833,전
2834,정
2835,제
2836,좀
2837,주
2838,중
2839,지
2840,찬
2841,찰
2842,창
2843,천
2844,청
2845,치
2846,태
2847,특
2848,판
2849,평
2850,푸
2851,학
2852,한
2853,해
2854,현
2855,혜
2856,호
2857,홍
2858,화
2859,회
2860,훈
2861,희
2862,힌
2863,ﮐ
2864,ﯾ
2865,ﺍ
2866,ﺎ
2867,ﺔ
2868,ﺤ
2869,ﺮ
2870,ﺰ
2871,ﻟ
2872,ﻤ
2873,ﻥ
2874,ﻨ
2875,ﻳ
2876,ﻻ
2877,／
2878,＝
2879,＠
2880,Ｂ
2881,Ｄ
2882,Ｖ
2883,＼
2884,ｇ
2885,ｌ
2886,ｏ
2887,ﾟ
2888,￥
2889,￼
2890,𝆏
2891,𝆏𝆏
2892,𝆑
2893,𝆑𝆑
2894,𝑎𝑙𝑙𝑒𝑔𝑟𝑜
2895,𝑙𝑒𝑛𝑡𝑜
