word,ipa
যন্ত্রাংশ,ɟɔnt̪ɾɐŋʃo
যত্ন,ɟɔt̪no
যতদিন,ɟɔt̪od̪in
ময়লা-আবর্জনা,mɔʲlɐ-ɐbɔɾɟonɐ
ময়না,mɔʲnɐ
ম্যারাথনে,mɛɾɐt̪ʰone
ম্যানেজারের,mɛneɟɐɾeɾ
ম্যানিলায়,mɛnilɐʲ
ম্যাথু,mɛt̪ʰu
ম্যাচই,mɛci
ম্যাচ।,mɛc।
মৌসুমীর,mo͡u̯ʃumiɾ
মৌন,mo͡u̯no
মৌচাক,mo͡u̯cɐk
মোহনগঞ্জ,mohongɔnɟ
মোসলেম,moslem
মোরসেদ।,moɾoʃed̪।
মোমিন,momin
মোনাজাতে,monɐɟɐt̪e
মোদি।,mod̪i।
মোতায়েনের,mot̪ɐʲeneɾ
মোতাহার,mot̪ɐhɐɾ
মোটামুটি,motɐmuti
মোটরসাইকেলযোগে,motoɾsɐ͡i̯kelɟoge
মোকাররম,mokɐɾoɾom
মোকাম,mokɐm
মেয়েরা,meʲeɾɐ
মেহেরপুরের,meheɾpuɾeɾ
মেসে,meʃe
মেশিনের,meʃineɾ
মেশানো,meʃɐno
মেনন,mɛnon
মেধা,med̪ʱɐ
মেডিকেলে,medikele
মৃধার,mɾid̪ʱɐɾ
মৃধা,mɾid̪ʱɐ
"মৃগেল,","mɾigel,"
মূল্যে,mulle
মূল্যায়নে,mullɐʲone
মূর্তি,muɾt̪i
মুড়াপাড়া,muɽɐpɐɽɐ
মুহিবুর,muhibuɾ
মুহিত।,muhit̪o।
মুস্তাফিজকে,muʃt̪ɐpʰiɟke
মুসল্লিরা।,muʃɔlliɾɐ।
মুশফিকের,muʃpʰikeɾ
মুনির,muniɾ
মুনাফা,munɐpʰɐ
মুদি,mud̪i
মুঠোফোনে,mutʰopʰone
মুজিবুল,muɟibul
মুজিবনগর,muɟibɔngɔɾ
মুজিব,mujib
মুগ্ধ,mugd̪ʱo
মুখ্য,mukkʰo
মুখে।,mukʰe।
মুক্তিযোদ্ধা।,mukt̪iɟod̪d̪ʱɐ।
মুক্তিযুদ্ধ,mukt̪iɟud̪d̪ʱo
মীমাংসার,mimɐŋʃɐɾ
মীম,mim
মিয়াসহ,miʲɐʃɔho
মিয়ানমারকে,miʲɐnmɐɾke
মিষ্টির,miʃtiɾ
মিলস,mils
মিলনের,milɔneɾ
মির্জাগঞ্জ,miɾɟɐgɔnɟ
মিরাজ।,miɾɐɟ।
মিরাজ,miɾɐɟ
মিরসরাই,miɾoʃɾɐ͡i̯
মিনিবাস,minibɐʃ
মিথ্যাচার,mit̪t̪ɐcɐɾ
মিডিয়ার,midiʲɐɾ
মিটে,mite
মিছিলের,micʰileɾ
"মিছিল,","micʰilo,"
মায়া,mɐʲɐ
মাহমুদুর,mɐhmud̪uɾ
মাহমুদ।,mɐhmud̪।
"মাহমুদ,","mɐhmud̪,"
মাহবুবে,mɐhobube
"মাহফিল,","mɐhopʰil,"
মাস্টার্সের,mɐstɐɾseɾ
মাস্টার্স,mɐstɐɾs
মাসেও,mɐʃe͡o̯
মাসুদের,mɐʃud̪eɾ
মালেক।,mɐlek।
মার্কেটের,mɐɾketeɾ
মার্ক,mɐɾko
মারুফা,mɐɾupʰɐ
মারার,mɐɾɐɾ
মারামারি,mɐɾɐmɐɾi
মার,mɐɾ
মামুন।,mɐmun।
"মামুন,","mɐmun,"
মামলাগুলো,mɐmolɐgulo
মানোন্নয়নে,mɐnonnɔʲone
মানার,mɐnɐɾ
মানববন্ধনসহ,mɐnobbɔnd̪ʱonʃɔho
মানবতার,mɐnobɔt̪ɐɾ
মাধ্যমেও,mɐd̪d̪ʱome͡o̯
"মাদ্রাসা,","mɐd̪ɾɐʃɐ,"
মাদারীপুরের,mɐd̪ɐɾipuɾeɾ
মাদকসেবী,mɐd̪okʃebi
মাথাচাড়া,mɐt̪ʰɐcɐɽɐ
মাঠেও,mɐtʰe͡o̯
মাঠেই,mɐtʰe͡i̯
মাটির,mɐtiɾ
মাঝে।,mɐɟʱe।
মাঝির,mɐɟʱiɾ
মাঝারি,mɐɟʱɐɾi
মাঝামাঝি,mɐɟʱɐmɐɟʱi
মাঝখানে,mɐɟʱkʰɐne
মাজেদ,mɐɟed̪
মাগফেরাত,mɐgopʰeɾɐt̪
মাইলফলক,mɐ͡i̯lpʰɔlok
মাইন,mɐ͡i̯n
মাইক্রোসফটের,mɐ͡i̯kɾospʰɔteɾ
মাইক্রোবাসের,mɐ͡i̯kɾobɐʃeɾ
মাংসের,mɐŋʃeɾ
মহামারী,mɔhɐmɐɾi
মহানগরে,mɔhɐngoɾe
মহাদেবপুর,mɔhɐd̪ebpuɾ
মহসীন,mɔhosin
মহল।,mɔhol।
মস্তিষ্কের,mɔst̪iʃkeɾ
মস্তিষ্কে,mɔst̪iʃke
মর্মে,mɔɾme
মর্মান্তিক,mɔɾmɐnt̪ik
মরিয়া।,moɾiʲɐ।
মমতার,mɔmot̪ɐɾ
মন্দিরের,mond̪iɾeɾ
মন্দিরে,mond̪iɾe
মন্দার,mond̪ɐɾ
মন্ত্রীর,mɔnt̪ɾiɾ
মন্ত্রিসভার,mɔnt̪ɾisbʱɐɾ
মন্ত্রণালয়কে,mɔnt̪ɾonɐlɔʲke
মনোরম,monoɾɔm
মনোবল,monobol
মনোজ্ঞ,mɔnoggo
মনিরের,moniɾeɾ
মনিরুজ্জামানের,moniɾuɟɟɐmɐneɾ
মনিরা,moniɾɐ
মনির।,moniɾ।
মনি,moni
মনজুর,monoɟuɾ
মধ্যবিত্ত,mod̪d̪ʱobit̪t̪o
মধ্যবর্তী,mod̪d̪ʱoboɾt̪i
মধ্যপ্রাচ্যের,mod̪d̪ʱopɾɐcceɾ
মধু,mod̪ʱu
মদিনা,mod̪inɐ
মতিনের,mot̪ineɾ
মতবিনিময়কালে,mɔt̪obinimɔʲkɐle
"মণ্ডল,","mɔndol,"
মণিপুরী,monipuɾi
মঞ্জিল,mɔnɟil
মজিবুর,moɟibuɾ
মজিবর,moɟibɔɾ
মজা,mɔɟɐ
মঙ্গলবার।,moŋgolbɐɾ।
মঙ্গলপ্রদীপ,moŋgolpɾod̪ip
মওকুফ,mo͡u̯kupʰ
ভ্যাকসিন,bʱɛkʃin
ভৌমিক,bʱo͡u̯mik
ভোলা,bʱolɐ
ভোটগ্রহণ,bʱotogɾohon
ভৈরব,bʱo͡i̯ɾɔbo
ভুয়া।,bʱuʲɐ।
ভুগছেন।,bʱugcʰen।
ভীতিকর,bʱit̪ikɔɾ
ভিত্তিতেই,bʱit̪t̪it̪e͡i̯
ভিডিওগুলো,bʱidi͡o̯gulo
ভিটেমাটি,bʱitemɐti
ভিজিডি,bʱiɟidi
ভাড়াটে,bʱɐɽɐte
ভাড়াটিয়াদের,bʱɐɽɐtiʲɐd̪eɾ
ভালোলাগা,bʱɐlolɐgɐ
ভালোভাবেই,bʱɐlobʱɐbe͡i̯
ভালোবাসার,bʱɐlobɐʃɐɾ
ভালোবাসবে,bʱɐlobɐʃbe
ভালুকা,bʱɐlukɐ
ভারী,bʱɐɾi
ভারতসহ,bʱɐɾt̪ʃɔho
ভাবছি,bʱɐbcʰi
ভান,bʱɐn
ভাটির,bʱɐtiɾ
ভাঙ্গা,bʱɐŋgɐ
ভাগ্যে,bʱɐgge
ভস্মীভূত,bʱɔsibʱut̪o
ভরসা,bʱɔɾoʃɐ
ভরপুর,bʱɔɾpuɾ
ভর,bʱɔɾ
ভবানীপুর,bʱɔbɐnipuɾ
ভবনটির,bʱɔbontiɾ
ভন,bʱɔn
ভঙ্গের,bʱoŋgeɾ
ভগ্নিপতি,bʱɔgnipot̪i
বয়স্ক,bɔʲoʃko
বড়–য়া,bɔɽo–ʲɐ
বড়ুয়া,boɽuʲɐ
বড়দের,bɔɽod̪eɾ
ব্রিটেন,bɾiten
ব্রিজে,bɾiɟe
ব্রাজিল,bɾɐɟil
ব্যয়ের,bɛʲeɾ
ব্যাটিংয়ের,bɛtiŋʲeɾ
ব্যাটালিয়ন,bɛtɐliʲon
ব্যাটসম্যানরা,bɛtʃɔmɛnɾɐ
ব্যাজ,bɛɟ
ব্যাগেজ,bɛgeɟ
ব্যাংকটির,bɛŋktiɾ
ব্যাংককে,bɛŋkke
ব্যাংক।,bɛŋk।
ব্যস্ততার,bɛst̪ot̪ɐɾ
ব্যস্ততা,bɛst̪ot̪ɐ
ব্যর্থতা,bɛɾt̪ʰot̪ɐ
ব্যবহারে,bɛbohɐɾe
ব্যবহারকারীদের,bɛbohɐɾkɐɾid̪eɾ
ব্যবস্থায়,bɛbost̪ʰɐʲ
ব্যথায়,bɛt̪ʰɐʲ
ব্যক্তিত্ব,bekt̪it̪t̪o
"ব্যক্তি,","bekt̪i,"
বোলিংয়ে,boliŋʲe
বোরহান,boɾɔhɐn
বোধগম্য,bod̪ʱgommo
বোতল,bot̪ol
বোকা,bokɐ
বৈষম্যের,bo͡i̯ʃɔmmeɾ
বৈরী,bo͡i̯ɾi
বৈদ্য,bo͡i̯d̪d̪o
বেড়িয়ে,beɽiʲe
বেড়াচ্ছে।,beɽɐccʰe।
বেশিদিন,beʃid̪in
বেলকুচি,belkuci
বেপারীর,bɛpɐɾiɾ
বেপারির,bɛpɐɾiɾ
বেন,ben
বেধে,bed̪ʱe
বেঙ্গল,beŋgol
বেগ,bego
বেইজিংয়ের,be͡i̯ɟiŋʲeɾ
বেইজিং,be͡i̯ɟiŋ
বেআইনিভাবে,be͡ɐ̯inibʱɐbe
বৃহস্পতিবার।,bɾihospot̪ibɐɾ।
বুয়েটের,buʲeteɾ
বুট,but
বুঝা,buɟʱɐ
বুকিং,bukiŋ
বিয়ে।,biʲe।
বিস্ময়,biʃk
বিস্ফোরণে,biʃpʰoɾone
বিসিবি,biʃibi
বিষয়াদি,biʃɔʲɐd̪i
বিষয়টির,biʃɔʲtiɾ
বিষাক্ত,biʃɐkt̪o
বিষপানে,biʃpɐne
বিষধর,biʃɔd̪ʱɔɾ
বিশ্বাসে,biʃʃɐʃe
বিশ্বসেরা,biʃʃoʃeɾɐ
বিশেষায়িত,biʃeʃɐʲit̪o
বিশেষভাবে,biʃeʃbʱɐbe
বিশেষজ্ঞরা,biʃeʃggoɾɐ
বিশিষ্টজনরা।,biʃiʃtoɟɔnɾɐ।
বিলে,bile
বিলাসবহুল,bilɐʃbhul
বিরুদ্ধেও,biɾud̪d̪ʱe͡o̯
বিরতির,biɾot̪iɾ
বিরক্ত,biɾokt̪o
বিমানটি,bimɐnti
বিমানঘাঁটিতে,bimɐngʱɐ̃tit̪e
বিমানকে,bimɐnke
বিভক্তি,bibʱɔkt̪i
বিবেচনার,bibeconɐɾ
বিবেক,bibek
বিবি,bibi
বিবাদ,bibɐd̪
বিবরণ,bibɔɾon
বিপ্লবী,biplobi
বিপ্লব।,biplɔb।
বিপাকে।,bipɐke।
বিপর্যস্ত,bipɔɾɟost̪o
বিপত্তি।,bipɔt̪t̪i।
বিপণন,bipɔnon
বিপজ্জনক।,bipɔɟɟonk।
বিনয়,binɔʲ
বিনিময়ের,binimɔʲeɾ
বিধিমালা,bid̪ʱimɐlɐ
বিধায়,bid̪ʱɐʲ
বিদ্যুৎস্পৃষ্টে,bid̪d̪ut̪ʃpɾiʃte
বিদ্ধ,bid̪d̪ʱo
বিতরণকালে,bit̪ɔɾonkɐle
বিটিআরসির,biti͡ɐ̯ɾɔsiɾ
বিজেপির,biɟepiɾ
বিজিএমইএ,biɟit̪ɔmi͡e̯
বিচারিক,bicɐɾik
বিচারাধীন,bicɐɾɐd̪ʱin
বিচারপতিদের,bicɐɾpot̪id̪eɾ
বিঘ্নিত,bigʱnit̪o
বিঘ্ন,bigʱno
বিঘœ,bigʱ
বিক্রিতে,bikɾit̪e
বিএম,bi͡e̯m
বিএনপি-জামায়াত,bi͡e̯npi-ɟɐmɐʲɐt̪
বি.,bi.
বাড়েনি।,bɐɽeni।
বাড়িতেই,bɐɽit̪e͡i̯
বাড়ছিল।,bɐɽcʰilo।
বাহুল্য।,bɐhullo।
বাহুবল,bɐhubɔl
বাহিনীতে,bɐhinit̪e
বাহাদুর,bɐhɐd̪uɾ
বাসিন্দার,bɐʃind̪ɐɾ
বাসায়।,bɐʃɐʲ।
বাসযোগ্য,bɐʃɟoggo
বাসভবন,bɐʃbʱɔbɔn
বালুর,bɐluɾ
বালুখালী,bɐlukʰɐli
বার্সেলোনা,bɐɾselonɐ
বাবুলের,bɐbuleɾ
বাবাও,bɐbɐ͡o̯
বাবা-মাকে,bɐbɐ-mɐke
বাবর,bɐboɾ
বাফুফের,bɐpʰupʰeɾ
বাফুফে।,bɐpʰupʰe।
"বান্দরবান,","bɐnd̪oɾbɐn,"
বান্দরবান,bɐnd̪oɾbɐn
বানোয়াট,bɐnoʷɐt
বানিয়েছেন।,bɐniʲecʰen।
বানিয়ে,bɐniʲe
বানিয়াচং,bɐniʲɐcɔŋ
বাধ্যতামূলক,bɐd̪d̪ʱot̪ɐmulok
বাধে,bɐd̪ʱe
বাধার,bɐd̪ʱɐɾ
বাণিজ্যের,bɐniɟɟeɾ
বাজার।,bɐɟɐɾ।
বাছেদ,bɐcʰed̪
বাচ্চাদের,bɐccɐd̪eɾ
বাঙালি।,bɐŋɐli।
বাঘটিকে,bɐgʱotike
বাইপাস,bɐ͡i̯pɐʃ
বাংলাদেশি,bɐŋlɐd̪eʃi
বাংলাদেশকে।,bɐŋlɐd̪eʃke।
বাঁধের,bɐ̃d̪ʱeɾ
বাঁধা,bɐ̃d̪ʱɐ
বহুবার,bohubɐɾ
বহুদিন,bohud̪in
বহিষ্কৃত,bohiʃkɾit̪o
বস্ত্র,bost̪ɾo
বস্তুত,bost̪ut̪
বস্তির,bost̪iɾ
বস্তায়,bost̪ɐʲ
বসেন,bɔʃen
বসবাসের,bɔʃobɐʃeɾ
বলেননি।,bɔlenni।
বলেছে।,bolecʰe।
বলেছে,bolecʰe
বলাই,bɔlɐ͡i̯
বললেই,bolle͡i̯
"বলল,","bollo,"
বলবে,bolbe
বলছেন-,bolcʰen-
বর্ষণ,bɔɾʃɔn
বরেণ্য,bɔɾenno
বরাবরে,bɔɾɐboɾe
বরাদ্দকৃত,bɔɾɐd̪d̪okɾit̪o
বরদাশত,bɔɾd̪ɐʃɔt̪
বরগুনা,bɔɾgunɐ
বন্ধুরা,bond̪ʱuɾɐ
বন্ধুত্ব,bond̪ʱut̪t̪o
বন্ধুকে,bond̪ʱuke
বন্ধ।,bond̪ʱo।
বন্দরে,bond̪ɔɾe
বধ্যভূমির,bod̪d̪ʱobʱumiɾ
বদলির,bod̪liɾ
বদরুদ্দোজা,bɔd̪oɾud̪d̪oɟɐ
বটি,boti
বটতলা,bɔtt̪ɔlɐ
বজ্রপাতে,bɔɟɾopɐt̪e
বজলুর,boɟoluɾ
বছর।,bɔcʰoɾ।
বঙ্গবন্ধুকে,bɔŋgobond̪ʱuke
বগি,bogi
বখাটেরা,bɔkʰɐteɾɐ
বখাটেদের,bɔkʰɐted̪eɾ
বখাটেকে,bɔkʰɐteke
বক্সের,bɔkseɾ
বক্সে,bɔkse
বকুল,bokul
বইটি,bo͡i̯ti
বইছে।,bo͡i̯cʰe।
ফ্লাইটে,pʰlɐ͡i̯te
ফ্রিজ,pʰɾiɟ
ফ্রি,pʰɾi
ফ্রান্স,pʰɾɐnʃo
ফ্যান,pʰɛn
ফোকাস,pʰokɐʃ
ফেলেছেন।,pʰelecʰen।
ফেলেছেন,pʰelecʰen
ফেলেছে,pʰelecʰe
ফেলবে,pʰelbe
ফেলছেন।,pʰelcʰen।
ফেল,pʰel
ফেরেন,pʰeɾen
ফেরিঘাট,pʰeɾigʱɐt
ফেরানোর,pʰeɾɐnoɾ
ফেব্রুয়ারি,pʰebɾuʷɐɾi
ফেনসিডিলসহ,pʰensidilʃɔho
ফেদেরার,pʰed̪eɾɐɾ
ফেডারেশন।,pʰedɐɾeʃon।
ফুয়াদ,pʰuʲɐd̪
ফুলেল,pʰulel
ফুলের,pʰuleɾ
ফুলবাড়ী,pʰulbɐɽi
ফুলতলা,pʰult̪ɔlɐ
"ফুল,","pʰul,"
ফুটেজ,pʰuteɟ
ফুটপাত,pʰutpɐt̪
ফুঁসে,pʰũʃe
ফিরোজ।,pʰiɾoɟ।
ফিরবেন,pʰiɾben
ফিদে,pʰid̪e
ফাহিম,pʰɐhim
ফারুক।,pʰɐɾuk।
"ফারুক,","pʰɐɾuk,"
ফাজিল,pʰɐɟil
ফাইভ,pʰɐ͡i̯bʱ
ফাইনাল।,pʰɐ͡i̯nɐl।
ফাঁকির,pʰɐ̃kiɾ
ফলের,pʰɔleɾ
ফলাফলে,pʰɔlɐpʰle
ফলন,pʰɔlon
ফর্মে,pʰɔɾme
ফর্ম,pʰɔɾm
ফরিদুল,pʰoɾid̪ul
ফরিদা,pʰoɾid̪ɐ
"ফরিদপুর,","pʰoɾid̪puɾ,"
ফর,pʰɔɾ
ফখরুল।,pʰokʰɾul।
পড়েছিলেন।,poɽecʰilen।
পড়েছিল,poɽecʰilo
"পড়ে,","pɔɽe,"
পড়ছেন।,poɽcʰen।
প্লেসি,plesi
প্লাস্টিকের,plɐstikeɾ
প্লাটফর্ম,plɐtpʰɔɾm
প্রেসক্লাবের,pɾesklɐbeɾ
প্রেরণের,pɾeɾoneɾ
প্রেরণা,pɾeɾonɐ
প্রেমে,pɾeme
প্রি-অর্ডার,pɾi-ɔɾdɐɾ
প্রার্থীকে,pɾɐɾt̪ʰike
প্রার্থিতা,pɾɐɾt̪ʰit̪ɐ
প্রাপ্তি,pɾɐpt̪i
প্রান্ত,pɾɐnt̪o
প্রাণে,pɾɐne
প্রাণীর,pɾɐniɾ
প্রাণিসম্পদ,pɾɐniʃɔmpɔd̪
প্রাণহানির,pɾɐnhɐniɾ
প্রাণভোমরা,pɾɐnbʱomɾɐ
প্রাচীরের,pɾɐciɾeɾ
প্রাঙ্গণ,pɾɐŋgon
প্রাক-মৌসুম,pɾɐk-mo͡u̯ʃum
প্রস্তুতির,pɾost̪ut̪iɾ
প্রস্তুতিতে,pɾost̪ut̪it̪e
প্রস্তুতিকালে,pɾost̪ut̪ikɐle
প্রস্তুতকৃত,pɾost̪ut̪kɾit̪o
"প্রসঙ্গত,","pɾoʃɔŋgɔt̪o,"
প্রশ্নোত্তর,pɾoʃnot̪t̪oɾ
প্রশ্নবিদ্ধ,pɾoʃnobid̪d̪ʱo
প্রশিক্ষক,pɾoʃikkʰɔk
প্রশাসনে,pɾoʃɐʃɔne
প্রলোভনে,pɾolobʱɔne
প্রযোজক,pɾoɟoɟok
প্রযুক্তিমন্ত্রী,pɾoɟukt̪imɔnt̪ɾi
প্রভৃতি,pɾobʱɾit̪i
প্রভাবিত,pɾobʱɐbit̪o
প্রভাবশালীরা,pɾobʱɐbʃɐliɾɐ
প্রবেশে,pɾobeʃe
প্রবাসে,pɾobɐʃe
প্রফেশনাল,pɾopʰeʃonɐl
প্রধানরা,pɾod̪ʱɐnɾɐ
প্রদর্শনীতে,pɾod̪oɾʃonit̪e
প্রথা,pɾot̪ʰɐ
প্রথমেই,pɾot̪ʰome͡i̯
"প্রথমত,","pɾot̪ʰomɔt̪,"
প্রত্যাশার,pɾot̪t̪ɐʃɐɾ
"প্রতিযোগিতা,","pɾot̪iɟogit̪ɐ,"
প্রতিভা,pɾot̪ibʱɐ
প্রতিবেশীদের,pɾot̪ibeʃid̪eɾ
প্রতিবেদনও,pɾot̪ibed̪ono
প্রতিবেদন।,pɾot̪ibed̪ɔn।
প্রতিবন্ধকতা,pɾot̪ibɔnd̪ʱokɔt̪ɐ
প্রতিফলিত,pɾot̪ipʰolit̪o
প্রতিনিয়ত।,pɾot̪iniʲot̪।
প্রতিদ্বন্দ্বিতায়,pɾot̪id̪d̪ɔnd̪it̪ɐʲ
প্রতিদান,pɾot̪id̪ɐn
প্রতিও,pɾot̪i͡o̯
প্রতিই,pɾot̪i͡i̯
প্রতারিত,pɾot̪ɐɾit̪ɔ
প্রতারণার,pɾot̪ɐɾonɐɾ
প্রণব,pɾonbo
প্রজেক্ট,pɾoɟektɔ
প্রজাপতি,pɾoɟɐpot̪i
প্রজাতি।,pɾoɟɐt̪i।
প্রজনন,pɾoɟɔnon
প্রক্রিয়ার,pɾokɾiʲɐɾ
প্রক্রিয়া।,pɾokɾiʲɐ।
প্রকৌশলীর,pɾoko͡u̯ʃoliɾ
প্রকৃতি,pɾokɾit̪i
প্যারিস,pɛɾis
প্যারাডাইস,pɛɾɐdɐ͡i̯ʃ
প্যাকেজ,pɛkeɟ
পৌরশহরের,po͡u̯ɾoʃohoɾeɾ
পোপের,popeɾ
পোনা,ponɐ
পৈতৃক,po͡i̯t̪ɾik
পেয়েও,peʲe͡o̯
পৌঁছে।,pẽcʰe।
পৌঁছালে,pẽcʰɐle
পৌঁছার,pẽcʰɐɾ
পৌঁছানোর,pẽcʰɐnoɾ
পৌঁছান,pẽcʰɐn
পৌঁছাতে,pẽcʰɐt̪e
পৌঁছতে,pẽcʰt̪e
পেসারদের,pesɐɾd̪eɾ
পেশাজীবীদের,peʃɐɟibid̪eɾ
পেশাজীবী,peʃɐɟibi
পেল,pelo
পেরেছেন।,peɾecʰen।
পেপার,pepɐɾ
পেকুয়া,pekuʲɐ
পৃথকভাবে,pɾit̪ʰɔkbʱɐbe
পূর্ববর্তী,puɾbobɔɾt̪i
পূর্বনির্ধারিত,puɾboniɾd̪ʱɐɾit̪ɔ
পূর্ণিমা,puɾnimɐ
পুড়িয়ে,puɽiʲe
পুরুষের,puɾuʃeɾ
পুরস্কারটি,puɾoʃkɐɾti
পুনর্মিলনী,punɔɾmiloni
পুনর্গঠন,punɔɾgɔtʰon
পুঁজি,pũɟi
পিয়ার,piʲɐɾ
পিলারের,pilɐɾeɾ
পিপিএম,pipi͡e̯m
পিঠে,pitʰe
পিটার,pitɐɾ
পিছলে,picʰole
পিছপা,picʰpɐ
পিচ,pic
পিএসজিতে,pi͡e̯sɟit̪e
পিঁড়িতে,pĩɽit̪e
পাড়ের,pɐɽeɾ
পাড়ায়।,pɐɽɐʲ।
পাড়ার,pɐɽɐɾ
পাহারায়,pɐhɐɾɐʲ
পাসের,pɐʃeɾ
পাল্লা,pɐllɐ
পাল্টে,pɐlte
পালিয়েছে।,pɐliʲecʰe।
পালনের,pɐloneɾ
পাল।,pɐlo।
পার্লারে,pɐɾlɐɾe
পার্টিকে,pɐɾtike
"পারেন,","pɐɾen,"
পারে-,pɐɾe-
পারুল,pɐɾul
"পারি,","pɐɾi,"
পারফরমেন্স,pɐɾpʰɔɾmens
পারতেন,pɐɾt̪en
পাম্প,pɐmp
পানিসম্পদমন্ত্রী,pɐniʃɔmpod̪mɔnt̪ɾi
পাঠিয়েছেন।,pɐtʰiʲecʰen।
পাঠিয়েছি।,pɐtʰiʲecʰi।
পাঠান,pɐtʰɐn
পাঠশালা,pɐtʰʃɐlɐ
পাটোয়ারী,pɐtoʷɐɾi
পাট,pɐt
পাচ্ছেন।,pɐccʰen।
পাখির,pɐkʰiɾ
পাকিস্তানে,pɐkist̪ɐne
পাওনা,pɐ͡o̯nɐ
পাই,pɐ͡i̯
পাঁচজনকে,pɐ̃cɟɔnke
পশ্চিমবঙ্গের,poʃcimbɔŋgeɾ
পশ্চিমবঙ্গে,poʃcimbɔŋge
পলিসি,poliʃi
পলি,poli
পলাতক।,pɔlɐt̪ok।
পর্যায়,poɾɟɐʲ
পর্যটনের,poɾɟotoneɾ
পর্যটকের,poɾɟotokeɾ
পর্ব।,pɔɾbo।
পর্দার,pɔɾd̪ɐɾ
পরোক্ষভাবে,pɔɾokkʰobʱɐbe
পরীক্ষাসহ,poɾikkʰɐʃɔho
পরীক্ষার্থীদের,poɾikkʰɐɾt̪ʰid̪eɾ
পরীক্ষা।,poɾikkʰɐ।
পরিমাণও,poɾimɐno
পরিদফতরের,poɾid̪ɔpʰot̪ɔɾeɾ
পরিণতির,poɾinot̪iɾ
পরিণতি,poɾinot̪i
পরিজন,poɾiɟɔn
পরিচ্ছন্নতা,poɾiccʰɔnnot̪ɐ
পরিকল্পনামন্ত্রী,poɾikɔlponɐmɔnt̪ɾi
পরামর্শও,pɔɾɐmɔɾʃo͡o̯
পরস্পরবিরোধী,pɔɾoʃpɔɾbiɾod̪ʱi
পরস্পর,pɔɾoʃpɔɾ
পররাষ্ট্রমন্ত্রী।,pɔɾɔɾɐʃtɾomɔnt̪ɾi।
পদ্ধতির,pɔd̪d̪ʱot̪iɾ
পদার্থ,pɔd̪ɐɾt̪ʰo
পদক্ষেপে,pɔd̪okkʰepe
পথরোধ,pɔt̪ʰoɾod̪ʱ
পথনাটক,pɔt̪ʰonɐtɔk
পণ্যগুলো,ponnogulo
পটুয়াখালীর,potu͡ɐ̯ʷkʰɐliɾ
পটুয়াখালী,potu͡ɐ̯ʷkʰɐli
পচে,pɔce
পক্ষকে,pokkʰɔke
নয়া,nɔʲɐ
নয়তো,nɔʲt̪o
নড়ে,noɽe
নড়িয়া,noɽiʲɐ
নড়বড়ে,nɔɽbɔɽe
ন্যাচারাল,nɛcɐɾɐl
নোবেল,nobel
নোঙর,noŋoɾ
নৈতিক,no͡i̯t̪ik
নেশাগ্রস্ত,neɟɐgɾost̪o
নেশা,neʃɐ
নেভানোর,nebʱɐnoɾ
নেপালের,nepɐleɾ
নেপালে,nepɐle
নেতারাও,net̪ɐɾɐ͡o̯
নেতাকর্মীসহ,net̪ɐkɔɾmiʃɔho
নেতাকর্মীর,net̪ɐkɔɾmiɾ
নেইমারকে,ne͡i̯mɐɾke
নেইমার।,ne͡i̯mɐɾ।
নুরুজ্জামান,nuɾuɟɟɐmɐn
নীল,nil
নীতিমালার,nit̪imɐlɐɾ
নীতিনির্ধারণী,nit̪iniɾd̪ʱɐɾoni
নীতিগত,nit̪igɔt̪o
নিয়োগপ্রাপ্ত,niʲogpɾɐpt̪o
নিয়োগপত্র,niʲogpɔt̪ɾo
নিয়া,niʲɐ
নিুমানের,ni͡u̯mɐneɾ
নিু,ni͡u̯
নিষ্কাশনের,niʃkɐʃoneɾ
নিষিদ্ধ।,niʃid̪d̪ʱo।
নিশ্চয়তা,niʃcɔʲt̪ɐ
নিশ্চয়ই,niʃcoʲi
নিলুফা,nilupʰɐ
নিল,nil
নির্মাতা।,niɾmɐt̪ɐ।
নির্মাণকাজ,niɾmɐnkɐɟ
নির্মল,niɾmɔl
নির্মম,niɾmɔm
নির্বিঘ্নে,niɾbigʱne
নির্বাহ,niɾbɐho
নির্ধারণে,niɾd̪ʱɐɾone
নির্দেশিকা,niɾd̪eʃikɐ
নির্দেশনার,niɾd̪eʃonɐɾ
নির্জন,niɾɟɔn
নির্গত,niɾgɔt̪o
নিরূপণ,niɾupon
নিরুপায়,niɾupɐʲ
নিরাপত্তাকর্মী,niɾɐpɔt̪t̪ɐkɔɾmi
নিরলসভাবে,niɾɔlɔʃbʱɐbe
নিম্ন,nimno
নিমজ্জিত,nimɔɟɟit̪o
নিভিয়ে,nibʱiʲe
নিবেদনের,nibed̪ɔneɾ
"নিন,","nin,"
নিধন,nid̪ʱɔn
নিত্যপ্রয়োজনীয়,nit̪t̪opɾoʲoɟoniʲo
নিতান্তই,nit̪ɐnt̪o͡i̯
নিকটতম,niktt̪omo
নিউমার্কেট,ni͡u̯mɐɾket
নিউজ,ni͡u̯ɟ
নিউইয়র্ক,ni͡u̯͡i̯ʲoɾko
নিঃসরণের,niʃʃɔɾɔneɾ
নিঃশ্বাস,niʃʃʃɐʃ
নাসের,nɐʃeɾ
নাসিমা,nɐʃimɐ
নাশতা,nɐʃt̪ɐ
নাশকতা,nɐʃokɔt̪ɐ
নার্সিং,nɐɾsiŋ
