,sentence
682,১৮৭৪ সালে প্রথম হাওড়া সেতু নির্মিত হয়
683,রবীন্দ্র সেতু বঙ্গোপসাগরীয় প্রবল ঝড়ঝঞ্জাগুলি সহ্য করতে সক্ষম
684,এই সেতু দিয়ে দৈনিক ৮০ ০০০ যানবাহনও প্রায় ১০ লক্ষ পথচারী চলাচল করে
685,এই জাতীয় সেতুগুলির মধ্যে রবীন্দ্র সেতু বিশ্বে ষষ্ঠ বৃহত্তম
686,ভোডাফোন এসারের মালিক ভোডাফোন গোষ্ঠী  ৬৭  ও এসার গোষ্ঠী  ৩৩
687,এসার গোষ্ঠীর হাতে রয়ে যায় মাত্র ৩৩  ভাগ
688,সমগ্র কোম্পানিটির মূল্য ছিল ১৮ ৮ বিলিয়ন মার্কিন ডলার
689,২০০৮ সালের ৮ মে হস্তান্তর সমাপ্ত হয়
690,মহানগরগুলিতে এই সংস্থার উপস্থিতি লক্ষ্যণীয়
691,খেমেদ খেমেদ   টিনটিন কমিক্সের একটি কল্পিত দেশ
692,এটি মধ্য প্রাচ্যএর প্রজাতন্ত্রী দেশ
693,এটিকে সৌদী আরব আদলে দেখানো হয়েছে
694,আমীর বিন কলিশ এযাবএর সাথে টিনটিনএর ভালো বন্ধুত্ব
695,পরে ক্ষমতা ফিরে পান আমীর বিন কলিশ এযাব
696,একে অনেক সময় আফিয়ন বলা হয়
697,এই প্রদেশের প্রাদেশিক রাজধানী আফিয়নকারাহিসার
698,জেলা  আফিয়নকারাহিসার প্রদেশ ১৮ টি জেলায় বিভক্ত
699,এগুলো হলঃ
700,১৯৯১ সাল পর্যন্ত এই সংবাদপত্রের মালিক ছিলেন রামনাথ গোয়েঙ্কা
701,এই সংস্করণটির নাম হয়  দি ইন্ডিয়ান এক্সপ্রেস
702,ভারতের প্রত্যেকটি প্রধান শহর থেকে এই পত্রিকার সংস্করণ প্রকাশিত হয়
703,দি ইন্ডিয়ান এক্সপ্রেস  পত্রিকাটির মালিক ইন্ডিয়ান এক্সপ্রেস গোষ্ঠী
704,এই গোষ্ঠীর চেয়ারম্যান তথা ম্যানেজিং ডিরেক্টর হলেন বিবেক গোয়েঙ্কা
705,ট্রাম ট্রাম একপ্রকার রেলবোর্ড যান
706,ট্রেনের তুলনায় এই যান অনেক হালকা ও ছিমছাম
707,এটি মূলত যাত্রীবাহী যান
708,তবে কোনো কোনো ক্ষেত্রে ট্রামের মাধ্যমে পণ্যপরিবহণও করা হয়
709,গ্রাম  মফস্বল ও মহানগরের রাজপথে স্থায়ী ট্র্যাকের উপর ট্রাম চালানো হয়
710,কোনো কোনো কেবল কারও ট্রাম নামে পরিচিত
711,আমস্টারডাম  বাসেল ও জুরিখ শহরেও বৃহৎ ট্রাম নেটওয়ার্ক বর্তমান
712,১৯৩৪ সালে এই ট্রামরাস্তার মোট আয়তন ছিল ৫২৬ কিলোমিটার
713,কিন্তু ইউরোপের অন্যান্য অনেক দেশে ট্রাম পরিবহন ব্যবস্থা চালু রাখা হয়
714,তবে নেদারল্যান্ড সহ কয়েকটি দেশে ট্রামরাস্তার আয়তন সংকুচিত করা হয়
715,কুগার কুগার  Puma concolor  হল বিড়াল জাতীয় একটি বড় হিংস্র প্রাণী
716,উত্তর ও দক্ষিণ আমেরিকাতে এর আবাসস্থল
717,জাগুয়ারের পর এটি নতুন পৃথিবীর দ্বিতীয় বৃহত্তম বিড়াল
718,আকার  বাঘের চেয়ে ছোট
719,খাদ্য  বিভিন্ন ধরনের নিরামিষভোজী প্রাণী
720,পারিবারিক জীবন  এরা একা থাকতেই ভালবাসে
721,পুম্পার্ড  পুমা ও চিতাবাঘের মিলিত অপত্য
722,এঁরা আধুনিক হাতির খুব ঘনিষ্ঠ পূর্বসূরী
723,এই প্রাণীটিকে হাতির আদিরূপ মনে করা হয়
724,বিস্তার  এশিয়া  আফ্রিকা ও উত্তর আমেরিকায় পাওয়া যেত
725,আকার  এটি আকারে হাতির চেয়ে বড় ছিল
726,এর দাঁত ছিল বিশাল
727,বিবর্তন  নিচের ক্ল্যাডোগ্রামটি  ম্যামুথুস  গণের অবস্থান দেখাচ্ছে
728,ডোডো ডোডো   Raphus cucullatus   একপ্রজাতির বিলুপ্ত উড্ডয়ন অক্ষম পাখি
729,জিনগতভাবে আরেক বিলুপ্ত প্রজাতি রড্রিগেজ সলিটেয়ার এর নিকটতম আত্মীয়
730,বর্তমানে জীবিত প্রজাতিগুলোর মধ্যে নিকোবর কবুতর ডোডোর নিকটতম আত্মীয়
731,একসময় ধারণা ছিল রেউনিওঁ দ্বীপে একটি সাদা ডোডো বাস করে
732,দুঃখজনক হলেও সত্য  ধাণাটি ভুল
733,চরিত্র  এই পাখি উড়তে পারতো না
734,ভালো সাতার কাটতে পারতো
735,এই পাখির মাংস ছিল সুস্বাদু
736,আকার  এই পাখি মুরগীর চেয়ে সামান্য বড় ছিল
737,নীচে একটি তালিকা দেওয়া হল
738,এই প্রাণীর নাম ছিল থাইলাসিন
739,একে নেকড়ে বাঘ নামেও ডাকা হত
740,এই প্রাণীকে পশু পালনের আতঙ্ক মানা হত
741,আকার  বড় আকারের কুকুরের মত
742,এর পেছনে সরু ডোরাকাটা লেজ ছিল
743,গায়ের রং ছিল বাদামি
744,বৈশিষ্ট্য  এটি সবচেয়ে বড় মারসুপিয়াল ছিল
745,একই সঙ্গে ব্রহ্মপুত্র উপত্যকার অসমীয়া ভাষী জাতি বলে অভিহিত করা হয়
746,অতীতে  অসমীয়া জাতি  কথাটির সংজ্ঞা ছিল সতত পরিবর্তনশীল
747,এই রাজ্যের অধিবাসীদেরই  অসমীয়া  বলা হত
748,তিনি ভিটামিন আবিষ্কারের জন্য বিখ্যাত
749,এই ভাবেই আবিষ্কার হয় ভিটামিন
750,প্রথমে এর নাম ছিল Vita Amine
751,কিন সাম্রাজ্যের পরে হানরা প্রায় ৪০০ বছর রাজত্ব করে
752,এই রাজ্য পরে তিন রাজ্যে  ২২০–২৮০ খ্রিঃ  ভেংগে যায়
753,পূর্ব চীনের সমভুমিতে হানরা রাজত্ব করত
754,এই সাম্রাজ্যের প্ৰতিষ্ঠাতা ছিলেন বিদ্ৰোহী নেতা লিউ বাং
755,মৃত্যুর পর তিনি হান সম্ৰাট গাউজু হিসেবে পরিচিতি লাভ করেন
756,চাং আনকে হান সামাজ্যের নতুন রাজধানী করা হয়
757,মেসিডেনীয় সভ্যতা প্রাচীন বল্কান অনচলীয় সাম্রাজ্য
758,দিগ্বিজয়ী আলেকজান্ডার এই সাম্রাজ্যের রাজা ছিলেন
759,স্কুলটি চার্চ অফ নর্থ ইন্ডিয়ার নিয়ন্ত্রণাধীন
760,১৮৬৪ সালে বিশপ কটন স্কুলটি প্রতিষ্ঠা করেন
761,ভারতের অ্যাংলিকান চার্চের চার বিশপের নামে স্কুলের হাউসগুলি নামাঙ্কিত
762,প্রথম স্থানাধিকারী হাউসকে পয়েন্ট দেওয়া হয়
763,তারই পুরস্কার স্বরূপ এই প্রথম ককহাউস কাপটি চালু হয়
764,১৯০০ সালে সেন্ট জেমস স্কুল বেইটন কাপ জয় করেছিল
765,ডেট্রয়েট বলতে অনেক সময় মেট্রো ডেট্রয়েটকেও বোঝানো হয়
766,এই নদীটি হিউরন এবং এরি লেককে সংযুক্ত করেছে
767,এই বসতি ফ্রান্সের ষোড়শ রাজা লুইসের নামে নামকরণ করা হয়েছে
768,১৮০৫ সালে অগ্ল্যুৎপাতের ফলে শহরটির অধিকাংশ এলাকা ধ্বংশ করে ফেলে
769,১৮০৫ থেকে ১৮৪৭ সাল পর্যন্ত ডেট্রয়েট মিশিগান অঙ্গরাজ্যের রাজধানী ছিল
770,এটি পুরোপুরি একটি শহর হিসেবে গঠিত হয়
771,টমাস আলভা এডিসন শহরে বিদ্যুতায়ন করেন
772,১৮৩০ থেকে পরবর্তী সময়ে ডেট্রয়েটের অগ্রগতি অব্যাহত থাকে
773,এসময় শহরে জাহাজ নির্মাণ শিল্প গড়ে ওঠে
774,১৯০৪ সালে হেনরি ফোর্ড ফোর্ড মোটর কোম্পানি প্রতিষ্ঠা করেন
775,আসন ধারণক্ষমতা বলতে বোঝায় কোনো স্টেডিয়ামে সর্বোচ্চ দর্শকাসন সংখ্যা
776,প্রাচীন রোমের সার্কাস ম্যাক্সিমাসের আনুমানিক ২ ৭০ ০০০ দর্শকাসন ছিল
777,বর্তমানে প্রাগের স্টারহোভ স্টেডিয়ামটির দর্শকাসন সংখ্যা ২ ২০ ০০০
778,কিন্তু এটি খেলাধূলার জন্য নিয়মিত ব্যবহার করা হয় না
779,নিচে পৃথক একটি তালিকায় মোটর রেসিং স্টেডিয়ামগুলির বর্ণনা দেওয়া হল
780,উল্লেখ্য  এগুলি অন্যান্য স্টেডিয়ামের থেকে অনেক বড়ো আকারের হয়ে থাকে
781,ফলে কোনো একটি আসন থেকে সমগ্র ট্র্যাকটি দেখা সম্ভব হয় না
782,পোলো খেলার জন্ম ভারতের মণিপুরে
783,এই অঞ্চলে  সাগোল কাংজেই  নামে একটি খেলা প্রচলিত ছিল
784,এই খেলার অপর নাম ছিল  কাঞ্জাই বাজী  বা  পুলু
785,ব্রিটিশরা এই খেলাটিকে নিয়মায়িত ও জনপ্রিয় করে তোলেন
786,তাঁরা এই খেলায় কাঠের বল প্রবর্তন করেন
787,ইংরেজিকৃত এই খেলাটিই ধীরে ধীরে সমগ্র পাশ্চাত্য বিশ্বে ছড়িয়ে পড়ে
788,পরে ইংল্যান্ডের অভিজাত সমাজে তাঁরা এই খেলার প্রবর্তন করেছিলেন
789,পাশাপাশি এই ক্লাব কারমাইকেল কাপ  ১৯১০  ও স্টিউয়ার্ট কাপও চালু করেছিল
790,প্রথম দুইটি হচ্ছে কাস্পিয়ান সাগর ও লেহ্রদমিশিগান হিউরন
791,ক্ষেত্রফলের দিক দিয়ে হ্রদ সুপিরিয়র বিশ্বের সর্ববৃহৎ স্বাদু জলের হ্রদ
792,হ্রদ হিউরন  সেন্ট মেরিস নদী এবং সু লকস এর মধ্য দিয়ে এটি শেষ হয়েছে
793,আয়তনের দিক দিয়ে হ্রদ সুপিরিয়র বিশ্বের বৃহত্তম হ্রদ হচ্ছে বৈকাল হ্রদ
794,হ্রদ সুপিরিয়রের ক্ষেত্রফল   যা পুরো সাউথ ক্যারোলাইনার থেকেও বড়
795,এর সর্বোচ্চ দৈর্ঘ্য এবং প্রস্থ
796,এছাড়াও এর গড় গভীরতা প্রায়   এবং সর্বোচ্চ গভীরতা প্রায়
797,হ্রদটির উপকূল এলাকার দৈর্ঘ্য প্রায়  দ্বীপগুলো সহ
798,এটি গ্রেট হ্রদসগুলোর মধ্যে সবচেয়ে বড়  গভীর  এবং শীতলতম হ্রদ
799,গ্র্যান্ড স্ল্যামকে মেজরও বলা হয়
800,চারটি গ্র্যান্ড স্ল্যাম হলঃ
801,অস্ট্রেলিয়ান ওপেন ও উইম্বলেডন এ দুটি স্ল্যামই কেবল ইনডোরে খেলা হয়
802,এটি গ্রীষ্মের মাঝামাঝি অনুষ্ঠিত হয়
803,অস্ট্রেলিয়ান ওপেনে সাধারণত প্রচুর দর্শকের সমাগম ঘটে
804,এই টুর্নামেন্ট প্রথমে অস্ট্রেলেশিয়ান চ্যাম্পিয়নশিপ নামে পরিচিত ছিল
805,এবছর ৯০ শতাংশ দর্শক বেড়ে যায়
806,১৯৮৭ সালের পর থেকে নিয়মিত জানুয়ারি মাসে অনুষ্ঠিত হয়ে আসছে
807,নীল তিমি নীল তিমি পৃথিবীর সবচেয়ে বড় প্রাণী
808,নীল তিমি সামুদ্রিক এবং স্তন্যপায়ী প্রাণী
809,আকার  এই প্রাণী মানুষের চেয়ে বহুগুণ বড়
810,এটির ওজন প্রায় ১৫০ টন এবং এরা দৈর্ঘ্যে ৩০ মিটারের  ৯৮ ফিট  হতে পারে
811,খাদ্যাভাস  বিভিন্ন ক্রিল জাতীয় জীব
812,একটি পূর্ণবয়স্ক নীল তিমি দিনে গড়ে প্রায় ৮ টন ক্রিল খেতে পারে
813,প্রথম মুদ্রিত সহায়িকা প্রকাশিত হয় ২০০৮ সালের ১ ফেব্রুয়ারি
814,আকার  পুরুষ দের দৈর্ঘ্য ২৭০ সে মি  আর ওজন ১৫০ ১৯৫ কেজি পর্যন্ত হয়
815,আর স্ত্রীরা ২৪০ সে মি  পর্যন্ত লম্বা আর ওজনে ৯০ ১৪০ কেজি পর্যন্ত হয়
816,শক্তিপীঠ শক্তিপীঠ হিন্দুধর্মের পবিত্রতম তীর্থগুলির অন্যতম
817,পীঠনির্ণয় তন্ত্র  গ্রন্থে শক্তিপীঠের সংখ্যা ৫১
818,কুব্জিকাতন্ত্র  গ্রন্থে এই সংখ্যা ৪২
819,আবার  জ্ঞানার্ণবতন্ত্র  গ্রন্থে পীঠের সংখ্যা ৫০
820,ভারতীয় উপমহাদেশের নানা স্থানে এই শক্তিপীঠগুলি ছড়িয়ে ছিটিয়ে রয়েছে
821,দক্ষ মহাদেব ও সতী দেবী ছাড়া প্রায় সকল দেব দেবীকে নিমন্ত্রণ করেছিলেন
822,অধিকন্তু দক্ষ মহাদেবকে অপমান করেন
823,সকল শক্তিপীঠসমূহে শক্তিদেবী ভৈরবের সাথে অবস্থান করেন
824,শক্তিপীঠের সংখ্যা ৫১ টি
825,বর্তমানে এটি কলকাতা বিশ্ববিদ্যালয়ের অধিভুক্ত একটি স্বশাসিত কলেজ
826,২০০৬ সালের জুলাই মাসে কলেজটির স্বশাসন মঞ্জুর হয়
827,ফলে এটি পশ্চিমবঙ্গের প্রথম স্বশাসিত কলেজে পরিণত হয়
828,জেসুইটরা ছিলেন একটি খ্রিষ্টীয় ধর্মীয় গোষ্ঠী
829,১৫৪০ সালে সেন্ট ইগনেটিয়াস অফ লয়োলা এই গোষ্ঠীর প্রবর্তন করেন
830,এক সময়ে তাঁদের  ইউরোপের স্কুল মাস্টার  বলেও অভিহিত করা হত
831,প্রথমে তিনটি শ্রেণিতে মাত্র ৪০ জন ছাত্র নিয়ে কলেজের কাজ শুরু হয়েছিল
832,অনেক ধনী অ্যাংলো ইন্ডিয়ান কলেজের উন্নতিতে বহু অর্থ দান করেছিলেন
833,১৯৩৪ থেকে ১৯৪০ সালের মধ্যে বর্তমান পাঁচ তলা কলেজ ভবনটি নির্মিত হয়
834,এই ব্যাঙ্কের প্রধান কার্যালয় কলকাতায় অবস্থিত
835,বর্তমানে সারা দেশে এলাহাবাদ ব্যাংকের মোট ২২৬০টি শাখা রয়েছে
836,১৯২০ সালে পিঅ্যান্ডও ব্যাংক এলাহাবাদ ব্যাংক কিনে নেয়
837,যদিও তারা এলাহাবাদ ব্যাংককে একটি পৃথক ব্যাংক হিসেবেই চালাতে থাকে
838,১৯৪৩ সালে কলকাতায় এই ব্যাংক প্রতিষ্ঠিত হয়
839,সেই সময় এই ব্যাংকের নাম ছিল ইউনাইটেড কমার্শিয়াল ব্যাংক
840,বর্তমানে সারা দেশে ব্যাংকের প্রায় দুই হাজার পরিষেবা কেন্দ্র রয়েছে
841,সিঙ্গাপুর ও হংকং শহরেও এই ব্যাংকের দুটি শাখা বর্তমান
842,এটি তুরস্কের অন্যতম দ্রুত বর্ধমান শহর
843,এই শহরের অধিকাংশ মানুষ ইসলাম ধর্মাবলম্বী  ধার্মিক এবং রক্ষণশীল
844,এখানকার রন্ধনশৈলী তুরস্কের দক্ষিণ পূর্বাঞ্চলের রন্ধনশৈলীর অনুরূপ
845,আদিয়ামানের লোকনৃত্য তুরস্কে বেশ জনপ্রিয়
846,এই নৃত্যে ঐতিহ্যবাহী পোশাক পরিধান করা হয়
847,আদিয়ামানস্পোর এই শহরের একটি ফুটবল দল
848,স্যাটারিকন ব্যান্ডের মোট দুইজন সদস্য আছে
849,এ পর্যন্ত ৭টি স্টুডিও অ্যালবাম বের হয়েছে এ ব্যান্ডটির
850,বহিঃসংযোগ  স্যাটারিকন এর ওয়েব সাইট
851,মেসোপটেমিয় সভ্যতা পৃথিবীর প্রাচীনতম সভ্যতার অন্যতম
852,মুসলিম খিলাফত শাসনে এই অঞ্চল পরবর্তীতে ইরাক নামে পরিচিতি লাভ করে
853,এই অঞ্চলটি প্রধানত জলাভূমি ছিল
854,নলখাগড়ার জঙ্গল আর খেজুর গাছই ছিল এ প্রধান বনস্পতি
855,কালক্রমে এরাই মেসোপটেমিয়া সভ্যতার বীজ বপন করে
856,এর ফলে এই সভ্যতায় কয়েকটি সম্রাজ্যের উন্মেষ ঘটে
857,উত্তরাংশের নাম ছিল এশেরীয়া এবং দক্ষিণাংশের নাম ছিল ব্যাবিলনিয়া
858,ব্যাবিলোনিয়ার উত্তরে আক্কাদ ও দক্ষিণে সুমের নামে দুটি অংশে বিভক্ত ছিল
859,প্রকৃতপক্ষে এই দুটিজনগোষ্ঠির সৃজনশীলতার ফসলই হল মেসোপটেমিয়া সভ্যতা
860,তারা আরও বিশ্বাস করত যে আকাশে স্বর্গ এবং মাটির নিচে রয়েছে নরক
861,মানুষ সুপ্রাচীন কাল থেকে ধূমকেতু পর্যবেক্ষণ করছে
862,ধুমকেতু উল্কা বা গ্রহাণু থেকে পৃথক কারণ এর কমা ও লেজের উপস্থিতি
863,এপ্রিল ২০১৫ এর পর্যবেক্ষণ অনুযায়ী ৫৩৮৪ টি ধূমকেতু আমাদের জানা
864,খালি চোখে দেখা যাওয়া উজ্জ্বল ধূমকেতুকে বৃহৎ ধূমকেতু বলা হয়
865,কিছু ধুমকেতু নির্দিষ্ট সময় পরপর একই স্থানে ফিরে আসে
866,যেমন হ্যালীর ধুমকেতু
867,এজন্য কিছু ধূমকেতুকে কক্ষপথের পর্যায়কালের ওপর ভাগ করা হয়
868,স্বল্পকালীন ধূমকেতু হল যাদের পর্যায়কাল ২০০ বছরের কম
869,সাধারণত এগুলো গ্রহগুলোর মত একটি উপবৃত্তাকার তলে ঘোরে
870,বিভিন্ন দেশে এই চন্দ্রনিবাসসমূহের নাম বিভিন্ন
871,আরবীয়রা একে বলে মঞ্জিল আর চীনাদের কাছে এ সিউ নামে পরিচিত
872,গ্রিসে এধরণের কোন চন্দ্রনিবাস চর্চার কথা জানা যায় না
873,চাঁদ প্রত্যেক তিথিতে একেকটি নক্ষত্রের সীমানায় অবস্থান করে
874,প্রত্যেক নক্ষত্রের আকাশস্থানের পরিমাণ  ৩৬০   ২৮   ১২ ডিগ্রী ৮৬ মিনিট
875,শাস্ত্রে নক্ষত্রের অবস্থান এবং যোগতারা নির্দিষ্ট করা আছে
876,তাই প্রত্যেক নক্ষত্রের ভোগ নির্দিষ্ট
877,এর কোন পরিবর্তন হয়না
878,হিন্দু পুরাণ  ২৮ টি নক্ষত্র নিয়ে গল্প আছে
879,ইসলামের ইতিহাসে এটি প্রথম প্রধান যুদ্ধ
880,এতে জয়ের ফলে মুসলিমদের ক্ষমতা পূর্বের তুলনায় বৃদ্ধি পায়
881,বদর ছিল দুই বাহিনীর মধ্যে প্রথম বড় আকারের যুদ্ধ
882,যুদ্ধে সুসংগঠিত মুসলিমরা মক্কার সৈনিকদের সারি ভেঙে ফেলতে সক্ষম হয়
883,যুদ্ধে মুসলিমদের প্রধান প্রতিপক্ষ আবু জাহল নিহত হয়
884,মুসলিমদের উপর নির্যাতনের কারণে মুসলিমরা মদিনায় হিজরত করে
885,মুহাম্মাদ  সা  নিজেও এক পর্যায়ে মদিনায় হিজরত করেন
886,মদিনায় আসার পর মুহাম্মাদ  সা  তিনটি প্রধান সামরিক পদক্ষেপ নিয়েছিলেন
887,এই কাফেলায় কুরাইশদের অনেক মূল্যবান দ্রব্যসামগ্রী ছিল
888,মুসলিম বাহিনীর সদস্য ছিল ১৫০ থেকে ২০০ জন এবং আরোহণের উট ছিল ৩০টি
889,দ্বিতীয় বিশ্বযুদ্ধের ঘটনাপঞ্জি
890,বেথুন কলেজ ভারতীয় উপমহাদেশের প্রথম মহিলা কলেজ
891,জন্ম ও শিক্ষাজীবন  ইংল্যেন্ড এর ইলিং শহরে বিটন এর জন্ম
892,ছোটবেলা থেকেই জুনিয়র বিটন মেধাবী ছাত্র ছিলেন
893,তিনি প্রথমে ওয়েস্টমিনিস্টার স্কুল থেকে পড়াশুনা করেন
894,এছাড়া কবি হিসেবেও তার বেশ সুনাম ছিল
895,কঙ্গো  দ্ব্যর্থতা নিরসন  কঙ্গো নামে আফ্রিকায় দুইটি রাষ্ট্র রয়েছে
896,প্রোক্যারিওটিক কোষ হচ্ছে এক কক্ষ বিশিষ্ট রুমের মত
897,আদি কোষের ক্রোমোসোম একটি বৃত্তাকার অণু
898,এধরণের কোষের দৈর্ঘ্য ১ মাইক্রোমিটার থেকে ১০ মাইক্রোমিটার হয়
899,কোষ প্রাচীর  এইটি মৃত বা জড় বস্তু দ্বারা গঠিত
900,কোষ প্রাচীর বাহিরের আঘাত থেকে রক্ষা করে
901,কোষকে দৃঢ়তা প্রদান করে
902,কোষের আকার আকৃতি বজায় রাখে
903,পানি ও খনিজ চলাচল নিয়ন্ত্রণ করে
904,পুরু কোষ ঝিল্লি তিনটি স্তর দিয়ে গঠিত
905,মাঝে একটি পাতলা স্তর থাকে এবং তার দুই পাশে দুটি পাতলা স্তর থাকে
906,নাথু গিরিবর্ত্ম নাথুলা পাস ভারত ও চীনের মধ্যে একমাত্র স্থল সীমান্ত পথ
907,ভারত চীন পথটি হিমালয়ের ১৪ ৪২৫ ফুট উচুতে অবস্থিত
908,এটি প্রদান করে সুইডেনের কারোলিন্‌স্কা সমিতি
909,১৯০১ সাল থেকে নিয়মিত এই পুরস্কারটি প্রদান করা হচ্ছে
910,এই পুরস্কারের প্রশাসনিক দায়িত্ব পালন করে নোবেল ফাউন্ডেশন
911,চিকিৎসাবিজ্ঞানের সবচেয়ে সম্মানজনক পুরস্কার হিসেবে এটি সর্বজনস্বীকৃত
912,তবে অন্য পাশটা আলাদা
913,বদিউল আলম মজুমদার বাংলাদেশের বহুল পরিচিত একটি নাম
914,ছুটি কাটানো বা আমোদ প্রমোদের জন্যে এটি বিলেতবাসীদের কাছে জনপ্রিয়
915,বোর্নমাথ শহরটি বোর্নমতথ বরোতে অবস্থিত
916,২০০১ সালের আদমশুমারি অনুসারে এর জনসংখ্যা ১৬৩ ৪৪৪ জন
917,এটি ডরসেটের বৃহত্তম শহর
918,রেলওয়ের আবির্ভাবের সাথে সাথে এই শহরের আকার বাড়তে থাকে
919,১৮৭০ সালে এটি নগর হিসাবে স্বীকৃতি পায়
920,শুরুতে এটি হ্যাম্পশায়ারের অংশ ছিলো
921,১৯৭৪ সাল থেকে এটি ডরসেটের অন্তর্গত
922,ছুটি কাটানো বা আমোদ প্রমোদের জন্যে এটি বিলেতবাসীদের কাছে জনপ্রিয়
923,ছুটি কাটানো বা আমোদ প্রমোদের জন্যে এটি বিলেতবাসীদের কাছে জনপ্রিয়
924,জলবায়ু  ব্রাইটনের জলবায়ু শান্ত
925,এই শহরের কৌপেন জলবায়ু শ্রেণীবিভাগ হল সিএফবি
926,সমতল ভূমির উচ্চতা বৃদ্ধির সাথে সাথে গড় বৃষ্টিপাতের হার বেড়েছে
927,সল্‌স্‌বারি সল্‌স্‌বারি  Salisbury  ইংল্যান্ডের একটি ঐতিহ্যবাহী শহর
928,সল্‌স্‌বারি ক্যাথিড্রাল নামক প্রখ্যাত গির্জা এখানে অবস্থিত
929,তাঁর প্রকৃত নাম ছিল টুনি হালদার
930,বাবার নাম খোকন হালদার ও মা টুলু হালদার
931,ওস্তাদ হালিম বয়াতির শিষ্যত্ব গ্রহণ করেন ১৯৭৮ সালে
932,সে সময় তিনি ইসলাম ধর্ম গ্রহণ করে  সুফিয়া খাতুন  নাম ধারণ করেন
933,তাঁর গুরু দেবেন থাপা  গৌর মোহন্ত
934,সুফিয়ার মোট রচিত গানের সংখ্যা প্রায় ৫০০
935,তিনি  রাজ সিংহাসন  চলচ্চিত্রে প্রথম কণ্ঠ দেন
936,বিখ্যাত গান  এ পর্যন্ত তার প্রায় পাঁচশ একক গানের অ্যালবাম বের হয়েছে
937,পাশাপাশি তিনটি মিশ্র অ্যালবামে গান গেয়েছেন তিনি
938,ফকির আলমগীর ফকির আলমগীর বাংলাদেশের একজন প্রখ্যাত সঙ্গীত শিল্পী
939,গণ সঙ্গীত ও দেশীয় পপ সঙ্গীতে তার রয়েছে ব্যাপক অবদান
940,তিনি ঋষিজ শিল্পী গোষ্ঠীর প্রতিষ্ঠাতা
941,তার পিতা মোঃ হাচেন উদ্দিন ফকির  মা বেগম হাবিবুন্নেছা
942,৬৯ এর গণঅভ্যুত্থানে এক বিশেষ ভূমিকা পালন করেন
943,সত্তর ও আশির দশকে দেশীয় পপ সঙ্গীতের ধারায় তিনি অগ্রগামী ছিলেন
944,এই অ্যালবামের সঙ্গীতায়োজন করেছেন আবিদ হোসাইন
945,পিলু লেফটেন্যান্ট কর্নেল আনোয়ারুজ্জামানের সাথে বিবাহবন্ধনে আবদ্ধ হন
946,তাদের এক কন্যা  হোমায়রা জামান মৌ
947,মৃত্যু  পিলু ২০১১ সালের ২৩ মে ঢাকার অ্যাপোলো হাসপাতালে মৃত্যুবরণ করেন
948,তাকে বনানী কবরস্থানে সমাহিত করা হয়
949,তিনি বিভিন্ন ভাষার পরিসংখ্যানগত ঘটনাবলী নিয়ে গবেষণা করেন
950,জিফের বিধি তাঁর নামেই দেওয়া
951,জিফ হার্ভার্ড বিশ্ববিদ্যালয়ে কাজ করতেন
952,গোলামাদ লাসা রেলপথ গোলামাদ লাসা রেলপথ বিশ্বের সবচেয়ে উঁচু রেলপথ
953,দৈর্ঘ্য ১২০০ কিলোমিটার
954,সে সময় এর উচ্চতা হবে ৫ ০৭২ মিটার বা ১৬ ৮০০ ফুট
955,১ জুলাই  ২০০৬ এ রেলপথটির উদ্বোধন করা হয়
956,মেক্সিকো সিটি মেক্সিকো সিটি উত্তর আমেরিকার দেশ মেক্সিকোর রাজধানী
957,পানামা পানামা উত্তর আমেরিকা মহাদেশের দক্ষিণাংশের একটি রাষ্ট্র
958,পানামার রাজধানীর নাম পানামা সিটি
959,যারা পানামা রকিতিক লুতীক রিক রিপ ভাগ্ কুকীদা রর সুগুক কীকা দ্কলং িরীগ
960,কিন্তু এর মধ্যে কোনোটাই সেই রকম সাফল্যপূর্ণ ছিল না
961,কিছু প্রযুক্তি নিজস্ব জায়গায় প্রসিদ্ধি লাভ করে ব্যবহৃত হয়ে গেছে
962,কোটি কোটি ভারতীয় উপমহাদেশে ব্যবহৃত একটি সংখ্যাবাচক শব্দ
963,১ কোটি হল ১ ০০ ০০ ০০০ বা ১০০ লাখ এর সমান
964,অনেক সময় এটিকে  ক্রোর  ও বলা হয়ে থাকে
965,ইরানেও কিছুদিন পূর্বে পর্যন্ত এর প্রচলন ছিল
966,তবে ইরানী কোটি  ফার্সি ভাষায়کرور  Korur    ৫ লাখ বা ৫ ০০ ০০০ এর সমান
967,লাখ লাখ বা লক্ষ ভারতীয় উপমহাদেশে ব্যবহৃত একটি সংখ্যাবাচক শব্দ
968,১ লাখ   ১০০ হাজার  ১০০ ০০০
969,ভারতীয় সংখ্যা গণনা পদ্ধতিতে ১ লাখ লেখা হয় ১ ০০ ০০০ এভাবে
970,এর বৈজ্ঞানিক রূপ হল ১০
971,উৎপত্তি   লাখ  কথাটি সম্ভবত পালি লক্ষ থেকে এসেছে
972,নিযুত নিযুত ভারতীয় উপমহাদেশে ব্যবহৃত একটি সংখ্যাবাচক শব্দ
973,বিজ্ঞানের পরিভাষায় একে ১০ লেখা হয়
974,ভৌত একক হিসেবে একে প্রকাশ করার জন্য মেগা ব্যবহার করা হয়
975,একে  হাজার  বা  সহস্র  দ্বারা ভারতীয় উপমহাদেশে বোঝানো হয়
976,১ হাজার হল ১ ০০০ বা ১ ১০০ লাখ
