,Inflected_Word,POS,Lemma
1986,দেশমুখো,NNP,দেশমুখো
1987,গ্রামে,NN,গ্রাম
1988,রামহরির,NNP,রামহরি
1989,পৌত্র,NN,পৌত্র
1990,যাদবচন্দ্র,NNP,যাদবচন্দ্র
1991,চট্টোপাধ্যায়ের,NNP,চট্টোপাধ্যায়ের
1992,তৃতীয়,JJ,তৃতীয়
1993,পুত্র,NN,পুত্র
1994,বঙ্কিমচন্দ্র,NNP,বঙ্কিমচন্দ্র
1995,শিক্ষা,NN,শিক্ষা
1996,জন্মের,NN,জন্ম
1997,পর,IN,পর
1998,ছয়,CD,ছয়
1999,বছর,NNS,বছর
2000,বঙ্কিমচন্দ্র,NNP,বঙ্কিমচন্দ্র
2001,কাঁটালপাড়াতেই,NNP,কাঁটাল
2002,অতিবাহিত,VB,অতিবাহন
2003,করেন,VB,করা
2004,শিশু,NN,শিশু
2005,বয়সেই,NN,বয়স
2006,তাঁর,PRP,তি
2007,অসামান্য,JJ,অসামান্য
2008,মেধার,NN,মেধারা
2009,পরিচয়,NN,পরিচয়
2010,পাওয়া,VB,পাওয়া
2011,যায়,VB,যায়
2012,যদিও,JJ,যদি
2013,গ্রামের,NN,গ্রাম
2014,পাঠশালায়,NN,পাঠশালা
2015,বঙ্কিম,NNP,বঙ্কিম
2016,কোনওদিনই,RB,কোন
2017,যান,VB,যাওয়া
2018,নি,VB,না
2019,তাকে,PRP,তাক
2020,বাংলাভাষার,NNP,বাংলাভাষা
2021,শুদ্ধতম,JJS,শুদ্ধ
2022,কবি,NN,কবি
2023,বলে,VB,বলে
2024,আখ্যায়িত,VBN,আখ্যাত
2025,করা,VB,ক
2026,হয়ে,VB,হয়ে
2027,থাকে,VB,থাকা
2028,তিনি,PRP,তিনি
2029,বাংলা,NNP,বাংলা
2030,কাব্যে,NN,কাব্য
2031,আধুনিকতার,NN,আধুনিক
2032,পথিকৃতদের,NNS,পথিকৃত
2033,মধ্যে,RB,মধ্য
2034,অগ্রগণ্য,JJ,অগ্রগণ্য
2035,তিনি,PRP,তিনি
2036,প্রধানত,RB,প্রধান
2037,কবি,VB,কবি
2038,হলেও,CC,হওয়া
2039,বেশ,JJ,বেশ
2040,কিছু,PRP,কিছু
2041,প্রবন্ধ,NN,প্রবন্ধ
2042,নিবন্ধ,NN,নিবন্ধ
2043,রচনা,VB,রচনা
2044,ও,CC,ও
2045,প্রকাশ,VB,প্রকাশ
2046,করেছেন,VB,করা
2047,তাঁর,PRP,তি
2048,জীবন,NN,জীবন
2049,কেটেছে,VB,কাটা
2050,চরম,JJ,চরম
2051,দারিদ্রের,NN,দারি
2052,মধ্যে,RB,মধ্য
2053,তাকে,PRP,তাক
2054,বাংলাভাষার,NNP,বাংলাভাষা
2055,শুদ্ধতম,JJS,শুদ্ধ
2056,কবি,NN,কবি
2057,অভিধায়,JJ,অভিধায়
2058,আখ্যায়িত,VB,আখ্যাত
2059,করা,VB,ক
2060,হয়েছে,VB,হওয়া
2061,জীবনানন্দের,NNP,জীবনানন্দ
2062,পিতা,NN,পিতা
2063,সত্যানন্দ,NNP,সত্যান
2064,দাশগুপ্ত,NNP,দাশগুপ্ত
2065,সর্বানন্দের,NNP,সর্বানন্দ
2066,দ্বিতীয়,JJ,দ্বিতীয়
2067,পুত্র,NN,পুত্র
2068,জীবনানন্দ,NNP,জীবনানন্দন
2069,ছিলেন,VB,ছিলেন
2070,পিতামাতার,NN,পিতামাতা
2071,জ্যেষ্ঠ,JJ,জ্যেষ্ঠ
2072,সন্তান,NN,সন্তান
2073,তার,PRP,তার
2074,ডাকনাম,NN,ডাকনাম
2075,ছিল,VB,ছিল
2076,মিলু,NNP,মিলু
2077,ভোরে,NN,ভোর
2078,ঘুম,NN,ঘুম
2079,থেকে,VB,থেকে
2080,উঠেই,VB,ওঠা
2081,পিতার,NN,পিতা
2082,কণ্ঠে,NN,কণ্ঠ
2083,উপনিষদ,NN,উপনিষ
2084,আবৃত্তি,VB,আবৃত্তি
2085,ও,CC,ও
2086,মায়ের,NN,মা
2087,গান,VB,গান
2088,শুনতেন,VB,শোনা
2089,ছেলেবেলায়,NN,ছেলেবেলা
2090,মামার,NN,মামার
2091,সঙ্গে,IN,সঙ্গ
2092,বহু,JJ,বহু
2093,জায়গায়,NNS,জায়গা
2094,বেড়িয়েছেন,VB,বেড়ানো
2095,জন্ম,NN,জন্ম
2096,ও,CC,ও
2097,পরিবার,NN,পরিবা
2098,পিতা,NNP,পিতা
2099,নিবারন,NNP,নিবারন
2100,ভট্টাচার্য,NNP,ভট্টাচার্য
2101,মা,NNP,মা
2102,সুনীতি,NNP,সুনী
2103,দেবী,NNP,দেব
2104,এক,DT,এক
2105,নিম্নবিত্ত,JJ,নিম্নবিত্ত
2106,পরিবারে,NN,পরিবার
2107,জন্ম,NNP,জন্ম
2108,সুকান্তের,NNP,সুকান্ত
2109,বাল্যবন্ধু,NN,বাল্যবন্ধু
2110,ছিলেন,VB,ছিলেন
2111,কবি,VB,কবি
2112,অরুনাচল,NNP,অরুনাচল
2113,বসু,NNP,বসু
2114,সুকান্ত,NNP,সুকান্ত
2115,সমগ্রতে,JJ,সমগ্রত
2116,লেখা,VB,লেখা
2117,সুকান্তের,NNP,সুকান্ত
2118,চিঠিগুলির,NNS,চিঠি
2119,বেশিরভাগই,JJS,বেশিরভাগ
2120,অরুনাচল,NNP,অরুনাচল
2121,বসুকে,NNP,বসুক
2122,লেখা,VB,লেখা
2123,অরুনাচল,NNP,অরুনাচল
2124,বসুর,NNP,বসু
2125,মাতা,NN,মাতা
2126,কবি,NNP,কবি
2127,সরলা,NNP,সরলা
2128,বসু,NNP,বসু
2129,সুকান্তকে,NNP,সুকান্ত
2130,পুত্রস্নেহে,NN,পুত্রস্ন
2131,দেখতেন,VB,দেখা
2132,সেই,DT,সেই
2133,বাড়িটি,NN,বাড়ি
2134,এখনো,RB,এখন
2135,অক্ষত,JJ,অক্ষত
2136,আছে,VB,আছে
2137,১৯৪৪,NUM,ে
2138,সালে,NN,সাল
2139,তিনি,PRP,তিনি
2140,ভারতের,NNP,ভারত
2141,কমিউনিস্ট,NNP,কমিউনিস্ট
2142,পার্টির,NNP,পার্টি
2143,সদস্যপদ,NN,সদস্যপদ
2144,লাভ,VB,লাভ
2145,করেন,VB,করা
2146,সেই,DT,সেই
2147,বছর,NN,বছর
2148,আকাল,NNP,আকাল
2149,নামক,VB,নাম
2150,একটি,DT,একটি
2151,সংকলনগ্রন্থ,NN,সংকলন
2152,তাঁর,PRP,তি
2153,সম্পাদনায়,NN,সম্পাদনা
2154,প্রকাশিত,VB,প্রকাশ
2155,হয়,VB,হয়
2156,সেখানে,EX,সেখান
2157,প্রথমে,RB,প্রথম
2158,তিনি,PRP,তিনি
2159,রবীন্দ্রনাথের,NNP,রবীন্দ্রনাথ
2160,কবিতা,NN,কবিতা
2161,আবৃত্তি,VB,আবৃত্তি
2162,করেন,VB,করা
2163,সুকান্তকে,NNP,সুকান্ত
2164,আমরা,PRP,আমি
2165,কবি,NN,কবি
2166,হিসেবেই,IN,হিসাব
2167,জানি,VB,জানা
2168,এটি,PRP,এ
2169,বাংলাদেশের,NNP,বাংলাদেশ
2170,অন্যতম,RB,অন্যত
2171,একটি,DT,একটি
2172,ছাত্র,NN,ছাত্র
2173,সংগঠন,NNS,সংগঠন
2174,সংগঠনটি,NN,সংগঠন
2175,১৯৫২,NUM,তিন
2176,সালের,NN,সাল
2177,২৬শে,NUM,২৬শে
2178,এপ্রিল,NNP,এপ্রিল
2179,প্রতিষ্ঠিত,VB,প্রতিষ্ঠিত
2180,হয়েছিল,VB,হওয়া
2181,বাংলাদেশের,NNP,বাংলাদেশ
2182,স্বাধীনতা,NNP,স্বাধীনতা
2183,যুদ্ধের,NNP,যুদ্ধ
2184,সময়,NN,সময়
2185,সংগঠনটির,NN,সংগঠন
2186,নিজস্ব,PRF,নিজস্ব
2187,গেরিলা,NN,গেরিলা
2188,বাহিনী,NN,বাহিনী
2189,ছিল,VB,ছিল
2190,সংগঠনটির,NN,সংগঠন
2191,বর্তমান,JJ,বর্তমান
2192,সভাপতি,NN,সভাপতি
2193,জিলানী,NNP,জিলান
2194,শুভ,NNP,শুভ
2195,ও,CC,ও
2196,সাধারণ,JJ,সাধারণ
2197,সম্পাদক,NN,সম্পাদক
2198,লিটন,NNP,লিটন
2199,নন্দী,NNP,নন্দী
2200,এটি,PRP,এ
2201,প্রগতিশীল,RB,প্রগতিশীল
2202,ছাত্র,NN,ছাত্র
2203,জোটভুক্ত,unk,জোটভুক্ত
2204,সংগঠন,NN,সংগঠন
2205,পাট,NNP,পাট
2206,পাট,NNP,পাট
2207,একটি,DT,একটি
2208,বর্ষাকালীন,NN,বর্ষাকালী
2209,ফসল,NN,ফসল
2210,এটি,PRP,এ
2211,Tiliaceae,NNP,ত্র্যা
2212,পরিবারের,NN,পরিবার
2213,অন্তর্গত,NN,অন্তর্গত
2214,একটি,DT,একটি
2215,উদ্ভিদ,RB,উদ্ভিদ
2216,মনে,VB,মন
2217,করা,VB,ক
2218,হয়,VB,হয়
2219,সংস্কৃত,NNP,সংস্কৃত
2220,শব্দ,NN,শব্দ
2221,পট্ট,NN,পট্ট
2222,থেকে,IN,থেকে
2223,পাট,NN,পাট
2224,শব্দের,NN,শব্দ
2225,উদ্ভব,VB,উদ্ভব
2226,হয়েছে,VB,হওয়া
2227,পাটের,NNP,পাট
2228,ইংরেজি,NNP,ইংরেজি
2229,নাম,NN,নাম
2230,জুট,NN,জুট
2231,Jute,NN,তিত
2232,সম্ভবতঃ,RB,সম্ভবন
2233,উড়ে,NN,উড়া
2234,উড়িষ্যা,NNP,উড়িষ্যা
2235,ভারত,NNP,ভারত
2236,ভাষা,NN,ভাষা
2237,থেকে,IN,থেকে
2238,এসেছে,VB,আসা
2239,পাটের,NNP,পাট
2240,পরিচিতি,NN,পরিচয়তি
2241,পাট,NNP,পাট
2242,একটি,DT,একটি
2243,বর্ষজীবী,JJ,বর্ষজীবী
2244,ফসল,NN,ফসল
2245,এর,PRP,এ
2246,জীবনকাল,NN,জীবন
2247,১০০,NUM,তির
2248,থেকে,IN,থেকে
2249,১২০,NUM,তির
2250,দিন,NNS,দিন
2251,পর্যন্ত,TO,পর্যন্ত
2252,চৈত্র,NNP,চৈত্র
2253,বৈশাখ,NNP,বৈশাখ
2254,থেকে,VB,থেকে
2255,আষাঢ়,NNP,আষঢ়ৎ
2256,শ্রবণ,NNP,শ্রবণ
2257,পাট,NNP,পাট
2258,বৃষ্টি,NN,বৃষ্টি
2259,নির্ভর,JJ,নির্ভর
2260,ফসল,NN,ফসল
2261,বায়ুর,NN,বায়ু
2262,আদ্রতা,NN,আদ্র
2263,৬০,NUM,ে
2264,থেকে,I,থেকে
2265,৯০,NUM,ে
2266,এর,PRP,এ
2267,পছন্দ,RB,পছন্দ
2268,a,NN,ত্
2269,ও,CC,ও
2270,b,NN,ত্
2271,কে,PRP,কে
2272,যথাক্রমে,RB,যথা
2273,জটিল,JJ,জটিল
2274,সংখ্যার,NNS,সংখ্যা
2275,বাস্তব,JJ,বাস্তব
2276,অংশ,NN,অংশ
2277,এবং,CC,এবং
2278,কাল্পনিক,JJ,কাল্পনিক
2279,অংশ,NN,অংশ
2280,বলা,VB,বলা
2281,হয়,VB,হয়
2282,জটিল,JJ,জটিল
2283,সংখ্যাগুলি,NNS,সংখ্যা
2284,একটি,DT,একটি
2285,ফিল্ড,NN,ফিল্ড
2286,তৈরি,VB,তৈরি
2287,করে,VB,করা
2288,তিনি,PRP,তিনি
2289,এগুলিকে,PRP,এগুলি
2290,কাল্পনিক,JJ,কাল্পনিক
2291,অভিধা,VB,অভিধা
2292,দিয়েছিলেন,VB,দেওয়া
2293,এই,DT,এ
2294,পর্যবেক্ষণ,NN,পর্যবেক্ষণ
2295,থেকেই,IN,থেকে
2296,বীজগণিতের,NN,বীজগণিত
2297,মৌলিক,JJ,মৌলিক
2298,উপপাদ্যের,NN,উপপাদ্য
2299,সৃষ্টি,NN,সৃষ্টি
2300,তিনি,PRP,তিনি
2301,জটিল,JJ,জটিল
2302,সংখ্যার,NNS,সংখ্যা
2303,তত্ত্বকে,NN,তত্ত্ব
2304,চতুষ্টির,NNS,চতুষ্টি
2305,তত্ত্বে,NN,তত্ত্ব
2306,উন্নীত,VB,উন্নী
2307,করেন,VB,করা
2308,যেমন,JJ,যেমন
2309,জটিল,JJ,জটিল
2310,বিশ্লেষণ,NN,বিশ্লেষণ
2311,জটিল,JJ,জটিল
2312,ম্যট্রিক্স,NN,ম্যট্রিক্স
2313,জটিল,JJ,জটিল
2314,বহুপদী,NNS,বহুপদী
2315,এবং,CC,এবং
2316,জটিল,JJ,জটিল
2317,লি,NNP,লি
2318,বীজগণিত,NN,বীজগণিত
2319,যেমন,JJ,যেমন
2320,3,CD,ত্
2321,2i,CD,ে
2322,একটা,DT,একটা
2323,জটিল,JJ,জটিল
2324,সংখ্যা,NN,সংখ্যা
2325,যার,PRP,যা
2326,বাস্তব,JJ,বাস্তব
2327,অংশ,NN,অংশ
2328,3,CD,ত্
2329,এবং,CC,এবং
2330,কাল্পনিক,JJ,কাল্পনিক
2331,অংশ,NN,অংশ
2332,2,CD,ত্
2333,জটিল,JJ,জটিল
2334,সংখ্যার,NNS,সংখ্যা
2335,সার্বিক,JJ,সার্বিক
2336,সেটকে,NN,সেটক
2337,C,NNP,ত্
2338,বা,CC,বা
2339,formula,VB,ত্রুণ
2340,3,CD,ত্
2341,প্রতীক,NN,প্রতীক
2342,দিয়ে,IN,দাওয়া
2343,প্রকাশ,VB,প্রকাশ
2344,করা,VB,ক
2345,হয়,VB,হয়
2346,অর্থাৎ,DT,অর্থাৎ
2347,বাস্তব,JJ,বাস্তব
2348,সংখ্যা,NN,সংখ্যা
2349,a,NN,ত্
2350,কে,PRP,কে
2351,a,NN,ত্
2352,0i,CD,ে
2353,ভাবা,VB,ভাবা
2354,যেতে,VB,যাওয়া
2355,পারে,VB,পার
2356,তাই,RB,তা
2357,জটিল,JJ,জটিল
2358,সংখ্যাকে,NNS,সংখ্যা
2359,কখনো,RB,কখন
2360,কখনো,RB,কখন
2361,a,NN,ত্
2362,bj,NN,ে
2363,আকারে,NN,আকার
2364,লিখতে,VB,লেখা
2365,দেখা,VB,দেখা
2366,যায়,VB,যায়
2367,এর,PRP,এ
2368,বিপরীতে,NN,বিপরীতে
2369,আর,CC,আর
2370,এক,DT,এক
2371,ধরনের,NN,ধরন
2372,সংখ্যা,NNS,সংখ্যা
2373,আছে,VB,আছে
2374,যাদের,PRP,যাদে
2375,বলা,VB,বলা
2376,হয়,VB,হয়
2377,অবাস্তব,JJ,অবাস্তব
2378,সংখ্যা,NN,সংখ্যা
2379,যেখানে,WRB,যেখান
2380,p,NN,ত্
2381,এবং,CC,এবং
2382,q,NN,ত্
2383,উভয়,DT,উভয়
2384,পূর্ণ,NNS,পূর্ণ
2385,সংখ্যা,NN,সংখ্যা
2386,এবং,CC,এবং
2387,q≠0,CD,তিত
2388,সাধারণ,JJ,সাধারণ
2389,ধারণা,NN,ধারণা
2390,যেকোন,PRP,যেকোন
2391,পূর্ণ,JJ,পূর্ণ
2392,সংখ্যা,NN,সংখ্যা
2393,একটি,DT,একটি
2394,মূলদ,JJ,মূলদ
2395,সংখ্যা,NN,সংখ্যা
2396,অর্থাৎ,DT,অর্থাৎ
2397,formula,NN,ত্রুণ
2398,5,CD,ত্
2399,ইত্যাদি,NN,ইত্যাদি
2400,সবই,DT,সব
2401,মূলদ,JJ,মূলদ
2402,সংখ্যা,NN,সংখ্যা
2403,হিপ্পসাস,NNP,হিপ্পসাস
2404,নামক,NN,নাম
2405,পীথাগোরাসের,NNP,পীথাগোরাস
2406,শিষ্য,NN,শিষ্য
2407,formula,NN,ত্রুণ
2408,1,CD,ত্
2409,আবিস্কার,VB,আবিস্কা
2410,করেন,VB,করা
2411,পরবর্তিতে,RBR,পরবর্তিত
2412,আরো,JJ,আর
2413,এরকম,JJ,এরকম
2414,সংখ্যা,NN,সংখ্যা
2415,আবিস্কৃত,VB,আবিস্কৃত
2416,হয়,VB,হয়
2417,আর,CC,আর
2418,গণিতবিদেরা,NNS,গণিতবিদ
2419,এদের,PRP,এ
2420,নাম,NN,নাম
2421,দেন,VB,দেওয়া
2422,অমুলদ,JJ,অমুল
2423,সংখ্যা,NN,সংখ্যা
2424,শ্রীনিবাস,NNP,শ্রীনি
2425,রামানুজন,NNP,রামানুজন
2426,বলেচিলেন,VB,বলা
2427,যে,IN,যে
2428,formula,NN,ত্রুণ
2429,1,CD,ত্
2430,এর,PRP,এ
2431,মান,NN,মান
2432,যতো,JJ,যত
2433,খুশি,RB,খুশি
2434,ততো,JJ,তত
2435,ঘর,NN,ঘর
2436,সেট,NNP,সেট
2437,সেট,NNP,সেট
2438,বলতে,VB,বলা
2439,সুনির্দিষ্টভাবে,RB,সুনির্দিষ্ট
2440,সংজ্ঞায়িত,VB,সংজ্ঞায়
2441,বস্তুর,NNS,বস্তু
2442,সমাহারকে,NN,সমাহার
2443,বোঝায়,VB,বোঝানো
2444,আধুনিক,JJ,আধুনিক
2445,হাতিয়ার,NN,হাতানো
2446,হিসেবে,IN,হিসাব
2447,সেট,NN,সেট
2448,এর,PRP,এ
2449,ব্যবহার,VB,ব্যবহার
2450,ব্যাপক,RB,ব্যাপক
2451,সেট,NN,সেট
2452,প্রকাশের,VB,প্রকাশ
2453,জন্য,TO,জন্য
2454,ইংরেজি,NN,ইংরেজি
2455,বড়,NN,বড়
2456,হাতের,NN,হাত
2457,অক্ষর,NN,অক্ষর
2458,ব্যবহার,VB,ব্যবহার
2459,করা,VB,ক
2460,হয়,VB,হয়
2461,যেমন,JJ,যেমন
2462,A,NNP,ত্
2463,a,NN,ত্
2464,b,NN,ত্
2465,c,NN,ত্
2466,এখানে,RB,এখান
2467,A,NNP,ত্
2468,হল,VB,হয়
2469,সেট,NN,সেট
2470,a,NN,ত্
2471,b,NN,ত্
2472,c,NN,ত্
2473,হল,VB,হয়
2474,সেটের,NN,সের
2475,উপাদান,NN,উপাদান
2476,শর্ত,NNS,শর্ত
2477,দুটি,CD,দুই
2478,হচ্ছে,VB,হওয়া
2479,সুনির্দিষ্টতা,JJ,সুনির্দিষ্ট
2480,ও,CC,ও
2481,সুসংজ্ঞায়িত,JJ,সুসংজ্ঞায়
2482,হওয়া,VB,হওয়া
2483,আমরা,PRP,আমি
2484,এখন,RB,এখন
2485,দুটো,CD,দুই
2486,শর্ত,NNS,শর্ত
2487,বিস্তারিত,NN,বিস্তার
2488,আলোচনা,VB,আলোচনা
2489,করব,VB,করা
2490,প্রথমে,JJ,প্রথম
2491,সেট,VBN,সেট
2492,হবার,VB,হওয়া
2493,জন্য,JJ,জন্য
2494,উপাদানগুলো,NNS,উপাদান
2495,সুনির্দিষ্ট,JJ,সুনির্দিষ্ট
2496,হতে,VB,হতে
2497,হবে,VB,হওয়া
2498,অর্থাৎ,DT,অর্থাৎ
2499,উপাদানগুলোর,NNS,উপাদান
2500,মাঝে,IN,মাঝ
2501,কোন,DT,কোন
2502,না,VB,না
2503,কোন,DT,কোন
2504,মিল,NN,মিল
2505,থাকতে,VB,থাকা
2506,হবে,VB,হওয়া
2507,উপরের,JJ,উপর
2508,উদাহরণে,NN,উদাহরণ
2509,a,NN,ত্
2510,b,NN,ত্
2511,c,NN,ত্
2512,সবাই,PRP,সবাই
2513,ইংরেজি,NN,ইংরেজি
2514,বর্ণমালার,NN,বর্ণ
2515,অক্ষর,NN,অক্ষর
2516,আরেকটি,DT,আরেক
2517,হচ্ছে,VB,হওয়া
2518,তালিকা,NN,তালিকা
2519,পদ্ধতি,NN,পদ্ধতি
2520,১৮৮৭,NUM,তিত
2521,সালে,NN,সাল
2522,সুকুমার,NNP,সুকুমা
2523,রায়ের,NNP,রায়
2524,জন্ম,VBN,জন্ম
2525,সুবিনয়,NNP,সুবিনয়
2526,রায়,NNP,রায়
2527,ও,CC,ও
2528,সুবিমল,NNP,সুবিমল
2529,রায়,NNP,রায়
2530,তাঁর,PRP,তি
2531,দুই,CD,দুই
2532,ভাই,NNS,ভাই
2533,এছাড়াও,RB,এছাড়া
2534,তাঁর,PRP,তি
2535,ছিল,VB,ছিল
2536,তিন,CD,তিন
2537,বোন,NNS,বোন
2538,সুকুমার,NNP,সুকুমা
2539,রায়,NNP,রায়
2540,জন্মেছিলেন,VBN,জন্মা
2541,বাঙ্গালী,NNP,বাঙ্গালী
2542,নবজাগরণের,NN,নবজাগরণ
2543,স্বর্ণযুগে,JJ,স্বর্ণযুগ
2544,মেসার্স,NNP,মেসার্স্স
2545,ইউ,NNP,ই
2546,রয়,NNP,রা
2547,এন্ড,CC,এন্ড
2548,সন্স,NNP,সন্সস
2549,নামে,NN,নাম
2550,ঐ,JJ,ঐ
2551,প্রতিষ্ঠানের,NN,প্রতিষ্ঠান
2552,সাথে,IN,সাথে
2553,সুকুমার,NNP,সুকুমা
2554,যুক্ত,VB,যুক্ত
2555,ছিলেন,VB,ছিলেন
2556,শিক্ষাজীবন,NN,শিক্ষাজীবন্ন
2557,কলকাতার,NNP,কলকাতা
2558,সিটি,NNP,সিটি
2559,স্কুল,NNP,স্কুল
2560,থেকে,IN,থেকে
2561,এন্ট্রাস,NNP,রন্ট্রাস
2562,পাশ,VB,পাশ
2563,করেন,VB,করা
2564,১৯১৩,NUM,তিত
2565,সালে,NN,সাল
2566,সুকুমার,NNP,সুকুমা
2567,কলকাতাতে,NNP,কলকাতা
2568,ফিরে,VB,ফির
2569,আসেন,VB,আসা
2570,তিনি,PRP,তিনি
2571,ছোটদের,NNS,ছোট
2572,একটি,DT,একটি
2573,মাসিক,JJ,মাসিক
2574,পত্রিকা,NN,পত্রিকা
2575,সন্দেশ,NNP,সন্দেশ
2576,এই,DT,এ
2577,সময়,NN,সময়
2578,প্রকাশনা,VB,প্রকাশনা
2579,শুরু,VB,শুরু
2580,করেন,VB,করা
2581,শুরু,VB,শুরু
2582,হয়,VB,হয়
2583,বাংলা,NNP,বাংলা
2584,শিশুসাহিত্যের,NN,শিশুসাহিত্য
2585,এক,DT,এক
2586,নতুন,JJ,নতুন
2587,অধ্যায়,NN,অধ্যায়
2588,তাঁর,PRP,তি
2589,বহুমুখী,RB,বহুমুখ
2590,প্রতিভার,NN,প্রতিভা
2591,অনন্য,NN,অনন্য
2592,প্রকাশ,NN,প্রকাশ
2593,তাঁর,PRP,তি
2594,অসাধারণ,JJ,সাধারণ
2595,ননসেন্স,NN,ননসেন্স
2596,ছড়াগুলোতে,NNS,ছড়াগুলো
2597,তাঁকে,PRP,তিনি
2598,বাংলাদেশের,NNP,বাংলাদেশ
2599,স্বাধীনতা,NN,স্বাধীনতা
2600,পরবর্তী,IN,পরবর্তী
2601,শ্রেষ্ঠ,JJS,শ্রেষ্ঠ
2602,লেখক,NN,লেখা
2603,গণ্য,VB,গণ্য
2604,করা,VB,ক
2605,হয়,VB,হয়
2606,বলা,VB,বলা
2607,হয়,VB,হয়
2608,আধুনিক,JJ,আধুনিক
2609,বাংলা,NNP,বাংলা
2610,কল্পবিজ্ঞান,NN,কল্পবিজ্ঞান
2611,সাহিত্যের,NN,সাহিত্য
2612,তিনি,PRP,তিনি
2613,পথিকৃৎ,NN,পথিকৃৎ
2614,নাটক,NN,নাটক
2615,ও,CC,ও
2616,চলচ্চিত্র,NN,চলচ্চিত্র
2617,পরিচালক,NN,পরিচাল
2618,হিসাবেও,IN,হিসাব
2619,তিনি,PRP,তিনি
2620,সমাদৃত,VB,সমারৃত
2621,তাঁর,PRP,তি
2622,প্রকাশিত,VB,প্রকাশ
2623,গ্রন্থের,NNS,গ্রন্থ
2624,সংখ্যা,NN,সংখ্যা
2625,তিন,CD,তিন
2626,শতাধিক,VBD,শতাধিক
2627,বাংলা,NNP,বাংলা
2628,কথাসাহিত্যে,NN,কথাসাহিত্য
2629,তিনি,PRP,তিনি
2630,সংলাপপ্রধান,NN,সংলাপপ্রাধন
2631,নতুন,JJ,নতুন
2632,শৈলীর,NN,শিলী
2633,জনক,NN,জনক
2634,এই,DT,এ
2635,কালপর্বে,NN,কালপর্ব
2636,তাঁর,PRP,তি
2637,গল্প,NN,গল্প
2638,উপন্যাসের,NNS,উপন্যাস
2639,জনপ্রিয়তা,NN,জনপ্রিয়
2640,ছিল,VB,ছিল
2641,তুলনারহিত,JJ,তুলনার
2642,বৈজ্ঞানিক,NN,বৈজ্ঞানিক
2643,কল্পকাহিনীও,NNS,কল্পকাহ
2644,তাঁর,PRP,তি
2645,সৃষ্টিকর্মের,NNS,সৃষ্টি
2646,অন্তর্গত,NNS,অন্তর্গত
2647,ধরা,VB,ধরা
2648,হয়,VB,হয়
2649,বাংলাদেশে,NNP,বাংলাদেশ
2650,বৈজ্ঞানিক,NN,বৈজ্ঞানিক
2651,কল্পকাহিনীর,NN,কল্পকাহ
2652,জনপ্রিয়তা,NN,জনপ্রিয়
2653,তিনি,PRP,তিনি
2654,শুরু,VB,শুরু
2655,করেন,VB,করা
2656,তবে,JJ,তব
2657,তাঁর,PRP,তি
2658,টেলিভিশন,NN,টেলিভিশন
2659,নাটকগুলি,NN,নাটক
2660,ছিল,VB,ছিল
2661,সর্বাধিক,RBS,সর্বঅধিক
2662,জনপ্রিয়,JJ,জনপ্রিয়
2663,সংখ্যায়,NNS,সংখ্যা
2664,বেশী,JJ,বেশী
2665,না,VB,না
2666,হলেও,CC,হওয়া
2667,তাঁর,PRP,তি
2668,রচিত,VB,রচনা
2669,গানগুলোও,NNS,গানগুলো
2670,সবিশেষ,JJ,সবিশেষ
2671,জনপ্রিয়তা,NN,জনপ্রিয়
2672,লাভ,VB,লাভ
2673,করে,VB,করা
2674,১৯৭১,NUM,তিত
2675,১৯৭১,NUM,তিত
2676,সালের,NN,সাল
2677,ঘটনাপঞ্জী,NNP,ঘটনাপঞ্জী
2678,এটি,PRP,এ
2679,ময়মনসিংহ,NNP,ময়মনসিংহ
2680,শহরে,NN,শহর
2681,অবস্থিত,VBN,অবস্থিত
2682,রাজধানী,NN,রাজধানী
2683,ঢাকা,NNP,ঢাকা
2684,থেকে,VB,থেকে
2685,১২০,NUM,তির
2686,কিলোমিটার,JJ,কিলোমিটার
2687,উত্তরে,NN,উত্তর
2688,এ,JJ,এ
2689,ক্যাম্পাসের,NN,ক্যাম্পাস
2690,অবস্থান,VBN,অবস্থান
2691,যার,PRP,যা
2692,মাঝে,RB,মাঝ
2693,৪টি,NUM,ড
2694,হল,VB,হয়
2695,ছাত্রীদের,NNS,ছাত্রী
2696,জন্য,IN,জন্য
2697,এছাড়াও,EX,এছাড়া
2698,রয়েছে,VB,রওয়া
2699,ড,NNP,ড
2700,ওয়াজেদ,NNP,ওয়াজ
2701,মিয়া,NNP,মিয়া
2702,ডরমিটরী,NNP,ডরমিট
2703,ভেটেরিনারি,NNP,ভেটেরিনা
2704,অনুষদ,NNP,অনুষ
2705,আটটি,CD,আট
2706,ডিপার্টমেন্ট,NNS,ডিপার্টমেন্টন
2707,নিয়ে,IN,নিয়ে
2708,গঠিত,VB,গঠিত
2709,এস্‌আই,NNP,এস্্আ
2710,একক,NN,একক
2711,পদ্ধতির,NN,পদ্ধতি
2712,পরিমাপে,JJ,পরিমাপ
2713,ক্ষমতার,NN,ক্ষমতা
2714,একক,NN,একক
2715,ওয়াট,JJ,ওয়াট
2716,জেমস,NNP,জেমস
2717,ওয়াট,NNP,ওয়াট
2718,নিজে,PRF,নিজ
2719,ক্ষমতার,NNP,ক্ষমতা
2720,একক,NN,একক
2721,অশ্ব,NN,অশ্ব
2722,শক্তি,NN,শক্তি
2723,স্থির,VB,স্থির
2724,করেছিলেন,VB,করা
2725,১,NUM,ত
