,Inflected_Word,POS
6802,একে,PRP
6803,বলে,VB
6804,মঞ্জিল,NN
6805,আর,CC
6806,চীনাদের,NNS
6807,কাছে,JJ
6808,এ,DT
6809,সিউ,NNP
6810,নামে,VB
6811,পরিচিত,RB
6812,গ্রিসে,NNP
6813,এধরণের,PRP
6814,কোন,JJ
6815,চন্দ্রনিবাস,NNP
6816,চর্চার,JJ
6817,কথা,NN
6818,জানা,VB
6819,যায়,VB
6820,না,DT
6821,চাঁদ,NN
6822,প্রত্যেক,JJ
6823,তিথিতে,NN
6824,একেকটি,RB
6825,নক্ষত্রের,NN
6826,সীমানায়,NN
6827,অবস্থান,VB
6828,করে,VB
6829,প্রত্যেক,JJ
6830,নক্ষত্রের,NN
6831,আকাশস্থানের,NN
6832,পরিমাণ,NN
6833,৩৬০,CD
6834,২৮,CD
6835,১২,CD
6836,ডিগ্রী,NN
6837,৮৬,CD
6838,মিনিট,NN
6839,শাস্ত্রে,NN
6840,নক্ষত্রের,NN
6841,অবস্থান,NN
6842,এবং,CC
6843,যোগতারা,NN
6844,নির্দিষ্ট,JJ
6845,করা,VB
6846,আছে,VB
6847,তাই,JJ
6848,প্রত্যেক,JJ
6849,নক্ষত্রের,NN
6850,ভোগ,NN
6851,নির্দিষ্ট,JJ
6852,এর,PRP
6853,কোন,JJ
6854,পরিবর্তন,VB
6855,হয়না,VB
6856,হিন্দু,NNP
6857,পুরাণ,NNP
6858,২৮,CD
6859,টি,DT
6860,নক্ষত্র,NN
6861,নিয়ে,JJ
6862,গল্প,NN
6863,আছে,VB
6864,ইসলামের,NNP
6865,ইতিহাসে,NNP
6866,এটি,PRP
6867,প্রথম,JJ
6868,প্রধান,JJ
6869,যুদ্ধ,NN
6870,এতে,PRP
6871,জয়ের,JJ
6872,ফলে,VB
6873,মুসলিমদের,NNS
6874,ক্ষমতা,NN
6875,পূর্বের,JJ
6876,তুলনায়,JJ
6877,বৃদ্ধি,VB
6878,পায়,VB
6879,বদর,NN
6880,ছিল,VB
6881,দুই,CD
6882,বাহিনীর,NN
6883,মধ্যে,RB
6884,প্রথম,RB
6885,বড়,JJ
6886,আকারের,JJ
6887,যুদ্ধ,NN
6888,যুদ্ধে,NN
6889,সুসংগঠিত,JJ
6890,মুসলিমরা,NNS
6891,মক্কার,NNP
6892,সৈনিকদের,NNS
6893,সারি,NN
6894,ভেঙে,VB
6895,ফেলতে,VB
6896,সক্ষম,VB
6897,হয়,VB
6898,যুদ্ধে,NN
6899,মুসলিমদের,NNS
6900,প্রধান,JJ
6901,প্রতিপক্ষ,NN
6902,আবু,NNP
6903,জাহল,NNP
6904,নিহত,RB
6905,হয়,VB
6906,মুসলিমদের,NNS
6907,উপর,JJ
6908,নির্যাতনের,NN
6909,কারণে,IN
6910,মুসলিমরা,NNS
6911,মদিনায়,NNP
6912,হিজরত,VB
6913,করে,VB
6914,মুহাম্মাদ,NNP
6915,সা,NNP
6916,নিজেও,PRF
6917,এক,DT
6918,পর্যায়ে,NN
6919,মদিনায়,NNP
6920,হিজরত,VB
6921,করেন,VB
6922,মদিনায়,NNP
6923,আসার,VB
6924,পর,RB
6925,মুহাম্মাদ,NNP
6926,সা,NNP
6927,তিনটি,CD
6928,প্রধান,JJ
6929,সামরিক,JJ
6930,পদক্ষেপ,VB
6931,নিয়েছিলেন,VB
6932,এই,DT
6933,কাফেলায়,NN
6934,কুরাইশদের,NNS
6935,অনেক,JJ
6936,মূল্যবান,JJ
6937,দ্রব্যসামগ্রী,NNS
6938,ছিল,VB
6939,মুসলিম,NNP
6940,বাহিনীর,NNS
6941,সদস্য,NN
6942,ছিল,VB
6943,১৫০,CD
6944,থেকে,IN
6945,২০০,CD
6946,জন,JJ
6947,এবং,CC
6948,আরোহণের,VB
6949,উট,NN
6950,ছিল,VB
6951,৩০টি,CD
6952,দ্বিতীয়,JJ
6953,বিশ্বযুদ্ধের,NNS
6954,ঘটনাপঞ্জি,NNS
6955,বেথুন,NNP
6956,কলেজ,NNP
6957,ভারতীয়,NNP
6958,উপমহাদেশের,NNS
6959,প্রথম,JJ
6960,মহিলা,NN
6961,কলেজ,NN
6962,জন্ম,NN
6963,ও,CC
6964,শিক্ষাজীবন,NN
6965,ইংল্যেন্ড,NNP
6966,এর,PRP
6967,ইলিং,NNP
6968,শহরে,NN
6969,বিটন,NNP
6970,এর,PRP
6971,জন্ম,NN
6972,ছোটবেলা,NN
6973,থেকেই,IN
6974,জুনিয়র,NN
6975,বিটন,NNP
6976,মেধাবী,JJ
6977,ছাত্র,NN
6978,ছিলেন,VB
6979,তিনি,PRP
6980,প্রথমে,JJ
6981,ওয়েস্টমিনিস্টার,NNP
6982,স্কুল,NN
6983,থেকে,IN
6984,পড়াশুনা,VB
6985,করেন,VB
6986,এছাড়া,RB
6987,কবি,NN
6988,হিসেবেও,IN
6989,তার,PRP
6990,বেশ,JJ
6991,সুনাম,NN
6992,ছিল,VB
6993,কঙ্গো,NNP
6994,দ্ব্যর্থতা,NNP
6995,নিরসন,NNP
6996,কঙ্গো,NNP
6997,নামে,VB
6998,আফ্রিকায়,NNP
6999,দুইটি,CD
7000,রাষ্ট্র,NN
7001,রয়েছে,VB
7002,প্রোক্যারিওটিক,JJ
7003,কোষ,NN
7004,হচ্ছে,VB
7005,এক,CD
7006,কক্ষ,NN
7007,বিশিষ্ট,JJ
7008,রুমের,NN
7009,মত,PRP
7010,আদি,JJ
7011,কোষের,NN
7012,ক্রোমোসোম,NN
7013,একটি,DT
7014,বৃত্তাকার,RB
7015,অণু,NN
7016,এধরণের,IN
7017,কোষের,NN
7018,দৈর্ঘ্য,NN
7019,১,CD
7020,মাইক্রোমিটার,NN
7021,থেকে,IN
7022,১০,CD
7023,মাইক্রোমিটার,NN
7024,হয়,VB
7025,কোষ,NN
7026,প্রাচীর,NN
7027,এইটি,PRP
7028,মৃত,NN
7029,বা,CC
7030,জড়,JJ
7031,বস্তু,NN
7032,দ্বারা,IN
7033,গঠিত,VB
7034,কোষ,NN
7035,প্রাচীর,NN
7036,বাহিরের,JJ
7037,আঘাত,NN
7038,থেকে,IN
7039,রক্ষা,VB
7040,করে,VB
7041,কোষকে,NN
7042,দৃঢ়তা,NN
7043,প্রদান,VB
7044,করে,VB
7045,কোষের,NN
7046,আকার,NN
7047,আকৃতি,NN
7048,বজায়,VB
7049,রাখে,VB
7050,পানি,NN
7051,ও,CC
7052,খনিজ,NN
7053,চলাচল,VB
7054,নিয়ন্ত্রণ,VB
7055,করে,VB
7056,পুরু,NN
7057,কোষ,NN
7058,ঝিল্লি,NN
7059,তিনটি,CD
7060,স্তর,NN
7061,দিয়ে,IN
7062,গঠিত,VB
7063,মাঝে,RB
7064,একটি,DT
7065,পাতলা,JJ
7066,স্তর,NN
7067,থাকে,VB
7068,এবং,CC
7069,তার,PRP
7070,দুই,CD
7071,পাশে,RB
7072,দুটি,CD
7073,পাতলা,NN
7074,স্তর,NN
7075,থাকে,VB
7076,নাথু,NN
7077,গিরিবর্ত্ম,NN
7078,নাথুলা,NN
7079,পাস,VB
7080,ভারত,NN
7081,ও,CC
7082,চীনের,NN
7083,মধ্যে,IN
7084,একমাত্র,RB
7085,স্থল,NN
7086,সীমান্ত,NN
7087,পথ,NN
7088,ভারত,NNP
7089,চীন,NNP
7090,পথটি,NN
7091,হিমালয়ের,NN
7092,১৪,CD
7093,৪২৫,CD
7094,ফুট,NN
7095,উচুতে,JJ
7096,অবস্থিত,VB
7097,এটি,PRP
7098,প্রদান,NN
7099,করে,VB
7100,সুইডেনের,NNP
7101,কারোলিন্‌স্কা,NNP
7102,সমিতি,NNP
7103,১৯০১,CD
7104,সাল,NN
7105,থেকে,IN
7106,নিয়মিত,JJ
7107,এই,DT
7108,পুরস্কারটি,NN
7109,প্রদান,VB
7110,করা,VB
7111,হচ্ছে,VB
7112,এই,DT
7113,পুরস্কারের,NN
7114,প্রশাসনিক,JJ
7115,দায়িত্ব,NN
7116,পালন,NN
7117,করে,VB
7118,নোবেল,NNP
7119,ফাউন্ডেশন,NNP
7120,চিকিৎসাবিজ্ঞানের,NN
7121,সবচেয়ে,JJ
7122,সম্মানজনক,JJ
7123,পুরস্কার,NN
7124,হিসেবে,IN
7125,এটি,PRP
7126,সর্বজনস্বীকৃত,JJ
7127,তবে,CC
7128,অন্য,JJ
7129,পাশটা,NN
7130,আলাদা,JJ
7131,বদিউল,NNP
7132,আলম,NNP
7133,মজুমদার,NNP
7134,বাংলাদেশের,NNP
7135,বহুল,JJ
7136,পরিচিত,NN
7137,একটি,CD
7138,নাম,NN
7139,ছুটি,NN
7140,কাটানো,VB
7141,বা,CC
7142,আমোদ,NN
7143,প্রমোদের,NN
7144,জন্যে,IN
7145,এটি,PRP
7146,বিলেতবাসীদের,NNS
7147,কাছে,JJ
7148,জনপ্রিয়,JJ
7149,বোর্নমাথ,NNP
7150,শহরটি,NN
7151,বোর্নমতথ,NNP
7152,বরোতে,NN
7153,অবস্থিত,VB
7154,২০০১,CD
7155,সালের,NN
7156,আদমশুমারি,NN
7157,অনুসারে,RB
7158,এর,PRP
7159,জনসংখ্যা,NN
7160,১৬৩,CD
7161,৪৪৪,CD
7162,জন,NN
7163,এটি,PRP
7164,ডরসেটের,NN
7165,বৃহত্তম,JJ
7166,শহর,NN
7167,রেলওয়ের,NN
7168,আবির্ভাবের,NN
7169,সাথে,IN
7170,সাথে,IN
7171,এই,DT
7172,শহরের,NN
7173,আকার,NN
7174,বাড়তে,JJ
7175,থাকে,VB
7176,১৮৭০,CD
7177,সালে,NN
7178,এটি,PRP
7179,নগর,NN
7180,হিসাবে,IN
7181,স্বীকৃতি,NN
7182,পায়,VB
7183,শুরুতে,NN
7184,এটি,PRP
7185,হ্যাম্পশায়ারের,NNP
7186,অংশ,NN
7187,ছিলো,VB
7188,১৯৭৪,CD
7189,সাল,NN
7190,থেকে,IN
7191,এটি,PRP
7192,ডরসেটের,NN
7193,অন্তর্গত,JJ
7194,ছুটি,NN
7195,কাটানো,VB
7196,বা,CC
7197,আমোদ,NN
7198,প্রমোদের,NN
7199,জন্যে,IN
7200,এটি,PRP
7201,বিলেতবাসীদের,NNS
7202,কাছে,IN
7203,জনপ্রিয়,JJ
7204,ছুটি,NN
7205,কাটানো,VB
7206,বা,CC
7207,আমোদ,NN
7208,প্রমোদের,NN
7209,জন্যে,IN
7210,এটি,PRP
7211,বিলেতবাসীদের,NNS
7212,কাছে,IN
7213,জনপ্রিয়,JJ
7214,জলবায়ু,NN
7215,ব্রাইটনের,NNP
7216,জলবায়ু,NN
7217,শান্ত,JJ
7218,এই,DT
7219,শহরের,NN
7220,কৌপেন,NN
7221,জলবায়ু,NN
7222,শ্রেণীবিভাগ,NN
7223,হল,VB
7224,সিএফবি,NN
7225,সমতল,RB
7226,ভূমির,NN
7227,উচ্চতা,NN
7228,বৃদ্ধির,JJ
7229,সাথে,IN
7230,সাথে,IN
7231,গড়,NN
7232,বৃষ্টিপাতের,NN
7233,হার,NN
7234,বেড়েছে,VB
7235,সল্‌স্‌বারি,NNP
7236,সল্‌স্‌বারি,NNP
7237,Salisbury,NNP
7238,ইংল্যান্ডের,NNP
7239,একটি,DT
7240,ঐতিহ্যবাহী,JJ
7241,শহর,NN
7242,সল্‌স্‌বারি,NNP
7243,ক্যাথিড্রাল,NNP
7244,নামক,NN
7245,প্রখ্যাত,JJ
7246,গির্জা,NN
7247,এখানে,RB
7248,অবস্থিত,VB
7249,তাঁর,PRP
7250,প্রকৃত,JJ
7251,নাম,NN
7252,ছিল,VB
7253,টুনি,NNP
7254,হালদার,NNP
7255,বাবার,NN
7256,নাম,NN
7257,খোকন,NNP
7258,হালদার,NNP
7259,ও,CC
7260,মা,NN
7261,টুলু,NNP
7262,হালদার,NNP
7263,ওস্তাদ,NNP
7264,হালিম,NNP
7265,বয়াতির,NNP
7266,শিষ্যত্ব,NN
7267,গ্রহণ,VB
7268,করেন,VB
7269,১৯৭৮,CD
7270,সালে,NN
7271,সে,PRP
7272,সময়,NN
7273,তিনি,PRP
7274,ইসলাম,NN
7275,ধর্ম,NN
7276,গ্রহণ,VB
7277,করে,VB
7278,সুফিয়া,NNP
7279,খাতুন,NNP
7280,নাম,NN
7281,ধারণ,VB
7282,করেন,VB
7283,তাঁর,PRP
7284,গুরু,NN
7285,দেবেন,NN
7286,থাপা,NNP
7287,গৌর,NNP
7288,মোহন্ত,NNP
7289,সুফিয়ার,NNP
7290,মোট,NN
7291,রচিত,NN
7292,গানের,NN
7293,সংখ্যা,NN
7294,প্রায়,IN
7295,৫০০,CD
7296,তিনি,PRP
7297,রাজ,NN
7298,সিংহাসন,NN
7299,চলচ্চিত্রে,NN
7300,প্রথম,JJ
7301,কণ্ঠ,NN
7302,দেন,VB
7303,বিখ্যাত,JJ
7304,গান,NN
7305,এ,IN
7306,পর্যন্ত,JJ
7307,তার,PRP
7308,প্রায়,IN
7309,পাঁচশ,CD
7310,একক,JJ
7311,গানের,NN
7312,অ্যালবাম,NN
7313,বের,VB
7314,হয়েছে,VB
7315,পাশাপাশি,RB
7316,তিনটি,CD
7317,মিশ্র,JJ
7318,অ্যালবামে,NN
7319,গান,NN
7320,গেয়েছেন,VB
7321,তিনি,PRP
7322,ফকির,NNP
7323,আলমগীর,NNP
7324,ফকির,NNP
7325,আলমগীর,NNP
7326,বাংলাদেশের,NNP
7327,একজন,DT
7328,প্রখ্যাত,JJ
7329,সঙ্গীত,NN
7330,শিল্পী,NN
7331,গণ,NN
7332,সঙ্গীত,NN
7333,ও,CC
7334,দেশীয়,JJ
7335,পপ,NN
7336,সঙ্গীতে,NN
7337,তার,PRP
7338,রয়েছে,VB
7339,ব্যাপক,JJ
7340,অবদান,NN
7341,তিনি,PRP
7342,ঋষিজ,NN
7343,শিল্পী,NN
7344,গোষ্ঠীর,NN
7345,প্রতিষ্ঠাতা,NN
7346,তার,PRP
7347,পিতা,NN
7348,মোঃ,NNP
7349,হাচেন,NNP
7350,উদ্দিন,NNP
7351,ফকির,NNP
7352,মা,NN
7353,বেগম,NNP
7354,হাবিবুন্নেছা,NNP
7355,৬৯,CD
7356,এর,PRP
7357,গণঅভ্যুত্থানে,NN
7358,এক,NN
7359,বিশেষ,RB
7360,ভূমিকা,NN
7361,পালন,VB
7362,করেন,VB
7363,সত্তর,CD
7364,ও,CC
7365,আশির,CD
7366,দশকে,CD
7367,দেশীয়,JJ
7368,পপ,NN
7369,সঙ্গীতের,NN
7370,ধারায়,NN
7371,তিনি,PRP
7372,অগ্রগামী,VB
7373,ছিলেন,VB
7374,এই,DT
7375,অ্যালবামের,NNP
7376,সঙ্গীতায়োজন,JJ
7377,করেছেন,VB
7378,আবিদ,NNP
7379,হোসাইন,NNP
7380,পিলু,NN
7381,লেফটেন্যান্ট,NN
7382,কর্নেল,NN
7383,আনোয়ারুজ্জামানের,NN
7384,সাথে,IN
7385,বিবাহবন্ধনে,NN
7386,আবদ্ধ,VB
7387,হন,VB
7388,তাদের,PRP
7389,এক,DT
7390,কন্যা,NN
7391,হোমায়রা,NNP
7392,জামান,NNP
7393,মৌ,NNP
7394,মৃত্যু,NN
7395,পিলু,NNP
7396,২০১১,CD
7397,সালের,NN
7398,২৩,CD
7399,মে,NNP
7400,ঢাকার,NNP
7401,অ্যাপোলো,NNP
7402,হাসপাতালে,NN
7403,মৃত্যুবরণ,VB
7404,করেন,VB
7405,তাকে,PRP
7406,বনানী,NNP
7407,কবরস্থানে,NNP
7408,সমাহিত,VB
7409,করা,VB
7410,হয়,VB
7411,তিনি,PRP
7412,বিভিন্ন,RB
7413,ভাষার,NN
7414,পরিসংখ্যানগত,JJ
7415,ঘটনাবলী,NNS
7416,নিয়ে,IN
7417,গবেষণা,NN
7418,করেন,VB
7419,জিফের,NN
7420,বিধি,NN
7421,তাঁর,PRP
7422,নামেই,NN
7423,দেওয়া,VB
7424,জিফ,NNP
7425,হার্ভার্ড,NNP
7426,বিশ্ববিদ্যালয়ে,NNP
7427,কাজ,VB
7428,করতেন,VB
7429,গোলামাদ,NNP
7430,লাসা,NNP
7431,রেলপথ,NNP
7432,গোলামাদ,NNP
7433,লাসা,NNP
7434,রেলপথ,NNP
7435,বিশ্বের,NN
7436,সবচেয়ে,JJ
7437,উঁচু,JJ
7438,রেলপথ,NN
7439,দৈর্ঘ্য,NN
7440,১২০০,CD
7441,কিলোমিটার,NN
7442,সে,PRP
7443,সময়,NN
7444,এর,PRP
7445,উচ্চতা,NN
7446,হবে,VB
7447,৫,CD
7448,০৭২,CD
7449,মিটার,NN
7450,বা,CC
7451,১৬,CD
7452,৮০০,CD
7453,ফুট,NN
7454,১,CD
7455,জুলাই,NNP
7456,২০০৬,CD
7457,এ,IN
7458,রেলপথটির,NN
7459,উদ্বোধন,VB
7460,করা,VB
7461,হয়,VB
7462,মেক্সিকো,NNP
7463,সিটি,NNP
7464,মেক্সিকো,NNP
7465,সিটি,NNP
7466,উত্তর,NNP
7467,আমেরিকার,NNP
7468,দেশ,NN
7469,মেক্সিকোর,NNP
7470,রাজধানী,NNP
7471,পানামা,NNP
7472,পানামা,NNP
7473,উত্তর,NNP
7474,আমেরিকা,NNP
7475,মহাদেশের,NNP
7476,দক্ষিণাংশের,NNP
7477,একটি,DT
7478,রাষ্ট্র,NN
7479,পানামার,NNP
7480,রাজধানীর,NN
7481,নাম,NN
7482,পানামা,NNP
7483,সিটি,NNP
7484,যারা,PRP
7485,পানামা,NNP
7486,রকিতিক,NNP
7487,লুতীক,NNP
7488,রিক,NNP
7489,রিপ,NNP
7490,ভাগ্,NNP
7491,কুকীদা,NNP
7492,রর,NNP
7493,সুগুক,NNP
7494,কীকা,NNP
7495,দ্কলং,NNP
7496,িরীগ,NNP
7497,কিন্তু,CC
7498,এর,PRP
7499,মধ্যে,IN
7500,কোনোটাই,NN
7501,সেই,DT
7502,রকম,NN
7503,সাফল্যপূর্ণ,JJ
7504,ছিল,VB
7505,না,DT
7506,কিছু,PRP
7507,প্রযুক্তি,NN
7508,নিজস্ব,PRF
7509,জায়গায়,NN
7510,প্রসিদ্ধি,NN
7511,লাভ,VB
7512,করে,VB
7513,ব্যবহৃত,VB
7514,হয়ে,VB
7515,গেছে,VB
7516,কোটি,NN
7517,কোটি,NN
7518,ভারতীয়,NNP
7519,উপমহাদেশে,NNP
7520,ব্যবহৃত,VB
7521,একটি,DT
7522,সংখ্যাবাচক,NN
7523,শব্দ,NN
7524,১,CD
7525,কোটি,NN
7526,হল,VB
7527,১,CD
7528,০০,CD
7529,০০,CD
7530,০০০,CD
7531,বা,CC
7532,১০০,CD
7533,লাখ,NN
7534,এর,PRP
7535,সমান,JJ
7536,অনেক,JJ
7537,সময়,NN
7538,এটিকে,PRP
7539,ক্রোর,NN
7540,ও,CC
7541,বলা,VB
7542,হয়ে,VB
7543,থাকে,VB
7544,ইরানেও,NNP
7545,কিছুদিন,NNP
7546,পূর্বে,RB
7547,পর্যন্ত,JJ
7548,এর,PRP
7549,প্রচলন,VB
7550,ছিল,VB
7551,তবে,CC
7552,ইরানী,NNP
7553,কোটি,NN
7554,ফার্সি,NNP
7555,ভাষায়کرور,NN
7556,Korur,NNP
7557,৫,CD
7558,লাখ,NN
7559,বা,CC
7560,৫,CD
7561,০০,CD
7562,০০০,CD
7563,এর,PRP
7564,সমান,JJ
7565,লাখ,NN
7566,লাখ,NN
7567,বা,CC
7568,লক্ষ,NN
7569,ভারতীয়,NNP
7570,উপমহাদেশে,NNP
7571,ব্যবহৃত,VB
7572,একটি,DT
7573,সংখ্যাবাচক,NN
7574,শব্দ,NN
7575,১,CD
7576,লাখ,NN
7577,১০০,CD
7578,হাজার,NN
7579,১০০,CD
7580,০০০,CD
7581,ভারতীয়,NNP
7582,সংখ্যা,NN
7583,গণনা,NN
7584,পদ্ধতিতে,NN
7585,১,CD
7586,লাখ,NN
7587,লেখা,VB
7588,হয়,VB
7589,১,CD
7590,০০,CD
7591,০০০,CD
7592,এভাবে,RB
7593,এর,PRP
7594,বৈজ্ঞানিক,JJ
7595,রূপ,NN
7596,হল,VB
7597,১০,CD
7598,উৎপত্তি,NN
7599,লাখ,NN
7600,কথাটি,NN
7601,সম্ভবত,RB
7602,পালি,NNP
7603,লক্ষ,NNP
7604,থেকে,IN
7605,এসেছে,VB
7606,নিযুত,NN
7607,নিযুত,NN
7608,ভারতীয়,NNP
7609,উপমহাদেশে,NNP
7610,ব্যবহৃত,VB
7611,একটি,DT
7612,সংখ্যাবাচক,NN
7613,শব্দ,NN
7614,বিজ্ঞানের,NN
7615,পরিভাষায়,NN
7616,একে,PRP
7617,১০,CD
7618,লেখা,VB
7619,হয়,VB
7620,ভৌত,NN
7621,একক,NN
7622,হিসেবে,VB
7623,একে,PRP
7624,প্রকাশ,VB
7625,করার,VB
7626,জন্য,IN
7627,মেগা,NN
7628,ব্যবহার,NN
7629,করা,VB
7630,হয়,VB
7631,একে,PRP
7632,হাজার,NN
7633,বা,CC
7634,সহস্র,NN
7635,দ্বারা,IN
7636,ভারতীয়,NNP
7637,উপমহাদেশে,NNP
7638,বোঝানো,VB
7639,হয়,VB
7640,১,CD
7641,হাজার,NN
7642,হল,VB
7643,১,CD
7644,০০০,CD
7645,বা,CC
7646,১,CD
7647,১০০,CD
7648,লাখ,NN
7649,যোজন,NN
7650,যোজন,NN
7651,প্রাচীন,RB
7652,ভারতের,NN
7653,দূরত্বের,NN
7654,একক,NN
7655,একে,PRP
7656,গলিয়ে,NN
7657,ছাচে,NN
7658,ঢালাই,NN
7659,করা,VB
7660,যায়,VB
7661,thermoplastic,JJ
7662,কঠিন,JJ
7663,গালা,NN
7664,কমলা,NN
7665,খয়েরী,NN
7666,রঙের,NN
7667,ভঙ্গুর,JJ
7668,পদার্থ,NN
7669,গন্ধরস,NN
7670,গন্ধরস,NN
7671,একরকম,PRP
7672,সুগন্ধী,JJ
7673,রজন,NN
7674,মূল,NN
7675,গন্ধরস,NN
7676,আরব,NNP
7677,ও,CC
7678,আফ্রিকার,NNP
7679,একটি,DT
7680,গাছের,NN
7681,থেকে,IN
7682,পাওয়া,VB
7683,যায়,VB
7684,এটির,PRP
7685,স্বাদ,NN
7686,তিক্ত,JJ
7687,ও,CC
7688,কষা,JJ
7689,এর,PRP
7690,রঙ,NN
7691,হলদেটে,NN
7692,বাদামী,JJ
7693,থেকে,IN
7694,লালচে,JJ
7695,বাদামী,JJ
7696,হতে,VB
7697,পারে,VB
7698,প্রাচীনকালে,RB
7699,সুগন্ধীর,NN
7700,একটি,DT
7701,উপাদান,NN
7702,হিসেবে,IN
7703,গন্ধরসের,NN
7704,কদর,NN
7705,ছিল,VB
7706,বাইবেলের,NNP
7707,Psalms,NNP
7708,45,CD
7709,8,CD
7710,এবং,CC
7711,Song,NN
7712,4,CD
7713,14,CD
7714,এ,IN
7715,এর,PRP
7716,উল্লেখ,NN
7717,আছে,VB
7718,যিশুখ্রিস্টকে,NNP
7719,তিন,CD
7720,জ্ঞানী,NN
7721,যে,JJ
7722,তিনটি,CD
7723,উপহার,NN
7724,দেন,VB
7725,তার,PRP
7726,একটি,DT
7727,ছিল,VB
7728,গন্ধরস,NN
7729,গন্ধরস,NN
7730,আগে,RB
7731,টনিক,NN
7732,হিসেবেও,IN
7733,ব্যবহৃত,VB
7734,হত,VB
7735,প্যারাফিন,NNP
7736,Paraffin,NNP
7737,কৃত্রিম,JJ
7738,মোমের,NN
7739,উদাহরণ,NN
7740,কোন,JJ
7741,কোন,JJ
7742,উদ্ভিদে,NN
7743,প্রাপ্ত,NN
7744,মোম,NN
7745,২৪,CD
7746,থেকে,IN
7747,৩৬,CD
7748,কার্বনবিশিষ্ট,NN
7749,হয়,VB
7750,উপাদান,NN
7751,মৌমোম,NN
7752,প্রধাতঃ,JJ
7753,দীর্ঘ,JJ
7754,শৃঙ্খল,NN
7755,অ্যালকোহল,NN
7756,ও,CC
7757,ফ্যাটি,NN
7758,অ্যাসিডের,NN
7759,এস্টার,NN
7760,মোম,NN
7761,জ্বালালে,VB
7762,খুব,RB
7763,কম,JJ
7764,ধোঁয়া,NN
7765,হয়,VB
7766,রাবার,NN
7767,টানলে,VB
7768,লম্বা,JJ
7769,হয়,VB
7770,ইলাস্টিক,NN
7771,এমন,PRP
7772,কয়েকটি,DT
7773,নরম,JJ
7774,পদার্থ,NN
7775,মানবসভ্যতার,NN
7776,বিকাশকাল,NN
7777,হতে,IN
7778,পোড়ামাটির,NN
7779,ভাস্কর্যের,NN
7780,ব্যবহার,NN
7781,পরিলক্ষিত,JJ
7782,হচ্ছে,VB
7783,প্রাচীন,JJ
7784,কালে,NN
7785,এই,DT
7786,পদ্ধতিতে,NN
7787,নানাধরনের,NNS
7788,পাত্র,NN
7789,তাবিজ,NN
7790,ইট,NN
7791,তৈরি,VB
7792,করা,VB
7793,হতো,VB
7794,এই,DT
7795,সূত্রে,NN
7796,মসজিদেও,NN
7797,টেরাকোটা,NN
7798,ব্যবহৃত,VB
7799,হয়েছে,VB
7800,মূলত,RB
7801,টেরাকোটা,NN
7802,সাংসরিক,JJ
7803,কাজে,NN
7804,ব্যবহারের,VB
7805,জন্য,IN
7806,তৈরি,VB
7807,কথা,NN
7808,হয়,VB
7809,গৃহাদি,NN
7810,অলঙ্করণ,NN
7811,বা,CC
7812,কোনো,PRP
7813,শৈল্পিক,JJ
7814,প্রদর্শনের,NN
7815,জন্য,IN
7816,টেরাকোটা,NN
7817,তৈরি,VB
7818,করা,VB
7819,হয়,VB
7820,কিছু,PRP
7821,কুশলী,JJ
7822,শিল্পীরা,NNS
7823,টেরাকোটা,NN
7824,তৈরি,VB
7825,করে,VB
7826,থাকেন,VB
7827,বাগদাদ,NNP
7828,ইরাকের,NNP
7829,রাজধানী,NN
7830,প্রধানমন্ত্রী,NNP
7831,হলেন,VB
7832,সরকার,NN
7833,প্রধান,NN
7834,ইরাকের,NNP
7835,জাতীয়,JJ
7836,সংসদের,NN
7837,আসনসংখ্যা,NN
7838,২৭৫,CD
7839,নির্বাচিত,JJ
7840,সরকার,NN
7841,২০০৬,CD
7842,২০১০,CD
7843,সালের,NN
7844,জন্য,IN
7845,ক্ষমতায়,NN
7846,থাকবে,VB
7847,হায়দার,NNP
7848,আল,NNP
7849,আবাদি,NNP
7850,ইরাকের,NNP
7851,বর্তমান,JJ
7852,প্রধানমন্ত্রী,NNP
7853,ফুয়াদ,NNP
7854,মাসুম,NNP
7855,দেশের,NN
7856,রাষ্ট্রপতি,NNP
7857,এটি,PRP
7858,প্রথম,DT
7859,উপসাগরীয়,NN
7860,যুদ্ধ,NN
7861,নামেও,NN
7862,পরিচিত,VB
7863,ইতিহাসে,NN
7864,এ,DT
7865,ঘটনা,NN
7866,দ্বিতীয়,CD
7867,উপসাগরীয়,NN
7868,যুদ্ধ,NN
7869,নামে,VB
7870,পরিচির,NN
7871,প্রশাসনিক,JJ
7872,অঞ্চলসমূহ,NNS
7873,ইরাক,NNP
7874,উনিশ,CD
7875,গভর্নরেট,NNP
7876,বা,CC
7877,প্রদেশ,NN
7878,দ্বারা,IN
7879,গঠিত,VB
7880,হয়,VB
7881,২০১১,CD
7882,সালের,NN
7883,হিসেবে,IN
7884,বাগদাদের,NNP
7885,জনসংখ্যা,NN
7886,প্রায়,IN
7887,৭,CD
7888,২১৬,CD
7889,০৪০,CD
7890,জন,NN
7891,রাজধানীর,NN
7892,নাম,NN
7893,কুয়েত,NNP
7894,সিটি,NNP
7895,জনসংখ্যা,NN
7896,আদর্শ,NN
7897,আরবি,NNP
7898,ভাষা,NNP
7899,কুয়েতের,NNP
7900,সরকারি,NNP
7901,ভাষা,NNP
7902,আদর্শ,NN
7903,আরবি,NNP
7904,ভাষাটি,NNP
7905,ধ্রুপদী,NNP
7906,আরবি,NNP
7907,ভাষার,NNP
