,vocab_all
2540,녀
2541,뇌
2542,는
2543,니
2544,다
2545,단
2546,대
2547,덕
2548,도
2549,돌
2550,동
2551,두
2552,득
2553,땅
2554,락
2555,란
2556,람
2557,래
2558,른
2559,리
2560,막
2561,말
2562,망
2563,면
2564,문
2565,바
2566,박
2567,반
2568,발
2569,밭
2570,백
2571,범
2572,보
2573,볼
2574,봉
2575,봐
2576,부
2577,북
2578,산
2579,삼
2580,상
2581,서
2582,성
2583,세
2584,소
2585,수
2586,슬
2587,시
2588,식
2589,심
2590,쓰
2591,아
2592,애
2593,앨
2594,야
2595,양
2596,에
2597,역
2598,영
2599,와
2600,욕
2601,우
2602,운
2603,울
2604,원
2605,유
2606,윤
2607,을
2608,의
2609,이
2610,인
2611,잔
2612,장
2613,재
2614,전
2615,정
2616,제
2617,좀
2618,주
2619,중
2620,지
2621,찬
2622,찰
2623,창
2624,천
2625,청
2626,치
2627,태
2628,특
2629,판
2630,평
2631,푸
2632,학
2633,한
2634,해
2635,현
2636,혜
2637,호
2638,홍
2639,화
2640,회
2641,훈
2642,희
2643,힌
2644,ﮐ
2645,ﯾ
2646,ﺍ
2647,ﺎ
2648,ﺔ
2649,ﺤ
2650,ﺮ
2651,ﺰ
2652,ﻟ
2653,ﻤ
2654,ﻥ
2655,ﻨ
2656,ﻳ
2657,ﻻ
2658,／
2659,＝
2660,＠
2661,Ｂ
2662,Ｄ
2663,Ｖ
2664,＼
2665,ｇ
2666,ｌ
2667,ｏ
2668,ﾟ
2669,￥
2670,￼
