,word,ipa,cnt
11199,মেস,meʃ,2
11200,মেশিনে,meʃɪne,2
11201,মেলামেশা,melɐmeʃɐ,2
11202,মেলা।,mɛlɐ।,2
11203,মেরুদণ্ডে,meɾud̪ɔnde,2
11204,মেরুদণ্ড,meɾud̪ɔnd̪o,2
11205,মেরিনার্স,meɾɪnɐɾs,2
11206,মেরাদিয়া,meɾɐd̪ɪʲɐ,2
11207,মেরাজুল,meɾɐzul,2
11208,মেরাজ,meɾɐz,2
11209,মেম্বাররা,membɐɾɾɐ,2
11210,মেনেই,meneɪ̯,2
11211,মেনস,mɛnʃ,2
11212,মেধার,med̪ʱɐɾ,2
11213,মেডিসিন,medɪsɪn,2
11214,মেডিকেলের,medɪkeleɾ,2
11215,মেট্রো,metɾo,2
11216,মেটানোর,metɐnoɾ,2
11217,মেটাতে,metɐt̪e,2
11218,মেজাজ,meɟɐɟ,2
11219,মেজবাহ।,mezbɐh।,2
11220,মেজবাহ,mezbɐh,2
11221,মেঘে,megʱe,2
11222,মেঘনায়,megʱnɐe̯,2
11223,মেখে,mekʰe,2
11224,মেক্সিকোর,meksɪkoɾ,2
11225,মেক্সিকো,meksɪko,2
11226,মৃধাকে,mɾɪd̪ʱɐke,2
11227,মৃধা।,mɾɪd̪ʱɐ।,2
11228,"মৃধা,","mɾɪd̪ʱɐ,",2
11229,মৃত্যুবার্ষিকী।,mɾɪt̪t̪ubɐɾʃɪkɪ।,2
11230,মৃত্যুদণ্ডের,mɾɪt̪t̪ud̪ɔndeɾ,2
11231,মৃত্যুদণ্ডপ্রাপ্ত,mɾɪt̪t̪ud̪ɔndopɾɐpt̪o,2
11232,মূর্তিগুলো,muɾt̪ɪgulo,2
11233,মুড়ির,muɽɪɾ,2
11234,মুহুর্তে,muhuɾt̪e,2
11235,মুহিত,muhɪt̪o,2
11236,মুস্তাফিজের,muʃt̪ɐpʰɪɟeɾ,2
11237,মুস্তাফিজ।,must̪ɐpʰɪɟ।,2
11238,মুস্তাফিজ,must̪ɐpʰɪɟ,2
11239,মুসাকে,musɐke,2
11240,মুসা,musɐ,2
11241,মুসলিমরা,muslɪmɾɐ,2
11242,মুসলমানরা,musɔlmɐnoɾɐ,2
11243,মুসলমান,musɔlmɐn,2
11244,মুসতাক,muʃt̪ɐk,2
11245,মুষ্টিমেয়,muʃtɪmeŏ,2
11246,মুষলধারে,muʃɔld̪ʱɐɾe,2
11247,মুশফিকরা।,muʃpʰɪkɾɐ।,2
11248,মুশফিক,muʃpʰɪk,2
11249,মুশকিল।,muʃkɪl।,2
11250,মুর্তজা,muɾt̪ozɐ,2
11251,মুরাদ।,muɾɐd̪।,2
11252,মুরব্বি,muɾobbɪ,2
11253,মুম্বাই।,mumbɐɪ̯।,2
11254,মুমিনুল।,mumɪnul।,2
11255,মুমিনুল,mumɪnul,2
11256,মুভমেন্টের,muvmenteɾ,2
11257,মুন্সীর,munʃɪɾ,2
11258,মুন্সী,munʃɪ,2
11259,মুন্সির,munʃɪɾ,2
11260,মুনীর,munɪɾ,2
11261,মুনাফ,munɐpʰ,2
11262,মুন,mun,2
11263,মুদ্রায়,mud̪ɾɐe̯,2
11264,মুদ্রানীতি,mud̪ɾɐnɪt̪ɪ,2
11265,মুদ্রাক্ষরিক,mud̪ɾɐkkʰoɾɪk,2
11266,মুদ্রণ,mud̪ɾon,2
11267,মুজিবের,muɟɪbeɾ,2
11268,মুচকি,muckɪ,2
11269,মুগদা,mugd̪ɐ,2
11270,মুখোমুখি।,mukʰomukʰɪ।,2
11271,মুখেও,mukʰeo̯,2
11272,মুখিয়ে,mukʰɪʲe,2
11273,মুখরোচক,mukʰoɾocɔk,2
11274,মুখর,mukʰoɾ,2
11275,মুখমণ্ডলে,mukʰmɔndole,2
11276,মুখপত্র,mukʰpot̪ɾo,2
11277,মুখ।,mukʰ।,2
11278,মুক্তিযোদ্ধাকে,mukt̪ɪɟod̪d̪ʱɐke,2
11279,মুক্তিযুদ্ধকে,mukt̪ɪɟud̪d̪ʱoke,2
11280,মুক্তিপণের,mukt̪ɪpɔneɾ,2
11281,মুক্তমঞ্চে,mukt̪omɔnce,2
11282,মীরুকে,mɪɾuke,2
11283,মিহির,mɪhɪɾ,2
11284,মিসর,mɪʃoɾ,2
11285,মিসবাহ,mɪsbɐh,2
11286,মিশ্রিত,mɪsɾɪt̪o,2
11287,মিশ্রণ।,mɪsɾɔn।,2
11288,মিশেল,mɪʃel,2
11289,মিশে,mɪʃe,2
11290,মিলে।,mɪle।,2
11291,মিলিটারি,mɪlɪtɐɾɪ,2
11292,মিলার,mɪlɐɾ,2
11293,মিললেও,mɪlleo̯,2
11294,মিলবে।,mɪlbe।,2
11295,"মিলন,","mɪlon,",2
11296,মিন্টুর,mɪntuɾ,2
11297,মিনু,mɪnu,2
11298,মিনিবাসটি,mɪnɪbɐstɪ,2
11299,"মিনার,","mɪnɐɾ,",2
11300,মিনা,mɪnɐ,2
11301,মিনহাজ,mɪnhɐɟ,2
11302,মিথ্যা।,mɪt̪t̪ʰɐ।,2
11303,মিতুকে,mɪt̪uke,2
11304,মিডিয়াম,mɪdɪʲɐm,2
11305,মিডিয়াতে,mɪdɪʲɐt̪e,2
11306,মিডল,mɪdol,2
11307,মিটিয়ে,mɪtɪʲe,2
11308,মিটারে,mɪtɐɾe,2
11309,মিজির,mɪɟɪɾ,2
11310,মিজানের,mɪɟɐneɾ,2
11311,মিছিলকারীরা,mɪcʰɪlokɐɾɪɾɐ,2
11312,মিচেল,mɪcel,2
11313,মিউজিয়াম,mɪu̯ɟɪʲɐm,2
11314,মিংক,mɪŋk,2
11315,মায়েরা,mɐʲeɾɐ,2
11316,মায়াকান্না,mɐʲɐkɐnnɐ,2
11317,মাড়ির,mɐɽɪɾ,2
11318,মাহাবুব,mɐhɐbub,2
11319,মাহমুদুল,mɐhmud̪ul,2
11320,মাহমুদা,mɐhmud̪ɐ,2
11321,মাহমুদকে,mɐhmud̪ke,2
11322,মাহমুদউল্লাহ।,mɐhmud̪ullɐh।,2
11323,মাহমুদউল্লাহ,mɐhmud̪ullɐh,2
11324,মাহবুবউল,mɐhobubɔu̯l,2
11325,মাহফুজা,mɐhpʰuɟɐ,2
11326,মাস্টারের,mɐstɐɾeɾ,2
11327,মাস্টার।,mɐstɐɾ।,2
11328,"মাস্টার,","mɐstɐɾ,",2
11329,মাস্ক,mɐsko,2
11330,মাসুদ।,mɐʃud̪।,2
11331,মাসখানেক,mɐʃkʰɐnek,2
11332,মাশরাফির,mɐʃɾɐpʰɪɾ,2
11333,মাল্টিমিডিয়া।,mɐltɪmɪdɪʲɐ।,2
11334,মাল্টিমিডিয়া,mɐltɪmɪdɪʲɐ,2
11335,মালিহা,mɐlɪhɐ,2
11336,মালিকানার,mɐlɪkɐnɐɾ,2
11337,মালিকরা।,mɐlɪkɔɾɐ।,2
11338,মালিককে,mɐlɪkke,2
11339,মালিকও,mɐlɪko,2
11340,মালামালসহ,mɐlɐmɐlʃɔh,2
11341,মালামালও,mɐlɐmɐlo,2
11342,মালাক্কা,mɐlɐkkɐ,2
11343,মালা,mɐlɐ,2
11344,মালনীছড়া,mɐlonɪcʰɔɽɐ,2
11345,মার্চেন্টকে,mɐɾcentke,2
11346,মার্কেটিং,mɐɾketɪŋ,2
11347,মার্কিনিদের,mɐɾkɪnɪd̪eɾ,2
11348,মার্কাস,mɐɾkɐs,2
11349,মার্কা,mɐɾkɐ,2
11350,মারেন।,mɐɾen।,2
11351,মারে,mɐɾe,2
11352,মারিয়ার,mɐɾɪʲɐɾ,2
11353,মারামারিতে,mɐɾɐmɐɾɪt̪e,2
11354,মারলে,mɐɾle,2
11355,মারমা।,mɐɾmɐ।,2
11356,মারপিট,mɐɾpɪt,2
11357,মারজান,mɐɾɟɐn,2
11358,মামুনকে,mɐmunke,2
11359,মামলায়ও,mɐmlɐʲo,2
11360,মামলাসহ,mɐmlɐʃɔho,2
11361,মামলাটির,mɐmlɐtɪɾ,2
11362,মামলাগুলোর,mɐmolɐguloɾ,2
11363,মাফিক,mɐpʰɪk,2
11364,মাপের,mɐpeɾ,2
11365,মাপে,mɐpe,2
11366,মাপার,mɐpɐɾ,2
11367,মান্নানকে,mɐnnɐnke,2
11368,মানেন,mɐnen,2
11369,"মানে,","mɐne,",2
11370,মানুষটি,mɐnuʃtɪ,2
11371,মানুষজন,mɐnuʃɟɔn,2
11372,মানুষগুলোকে,mɐnuʃguloke,2
11373,মানুষ-,mɐnuʃ-,2
11374,"মানুষ,","mɐnuʃ,",2
11375,মানিকগঞ্জের,mɐnɪkgɔnɟeɾ,2
11376,মানিকগঞ্জ,mɐnɪkgɔkɟ,2
11377,মানানসই।,mɐnɐnʃɪ।,2
11378,মানানসই,mɐnɐnʃɪ,2
11379,মানহানির,mɐnhɐnɪɾ,2
11380,মানসিকতার,mɐnoʃɪkɔt̪ɐɾ,2
11381,মানলে,mɐnle,2
11382,মানবেতর,mɐnbet̪oɾ,2
11383,মানবাধিকারের,mɐnobɐd̪ʱɪkɐɾeɾ,2
11384,মানবাধিকার।,mɐnobɐd̪ʱɪkɐɾ।,2
11385,"মানবাধিকার,","mɐnobɐd̪ʱɪkɐɾ,",2
11386,মানবদেহে,mɐnobd̪ehe,2
11387,মানদণ্ডের,mɐnod̪ɔndeɾ,2
11388,"মান,","mɐn,",2
11389,মাধ্যমিকে,mɐd̪d̪ʱomɪke,2
11390,মাধ্যম।,mɐd̪d̪ʱom।,2
11391,মাধুরী,mɐd̪ʱuɾɪ,2
11392,মাধবপুরে,mɐd̪ʱobopuɾe,2
11393,মাদকসেবীরা,mɐd̪okʃebɪɾɐ,2
11394,মাথাটি,mɐt̪ʰɐtɪ,2
11395,"মাথা,","mɐt̪ʰɐ,",2
11396,মাত্রাতিরিক্ত,mɐt̪ɾɐt̪ɪɾɪkt̪o,2
11397,মাতৃভাষার,mɐt̪ɾɪbʱɐʃɐɾ,2
11398,মাতৃত্বকালীন,mɐt̪ɾɪt̪t̪okɐlɪn,2
11399,মাতুব্বরের,mɐt̪ubbɔɾeɾ,2
11400,"মাতুব্বর,","mɐt̪ubbɔɾ,",2
11401,মাতুব্বর,mɐt̪ubbɔɾ,2
11402,মাতা,mɐt̪ɐ,2
11403,মাতলুব,mɐt̪olub,2
11404,মাতবরদের,mɐt̪bɔɾd̪eɾ,2
11405,মাঠে।,mɐtʰe।,2
11406,মাঠপর্যায়ে,mɐtʰpoɾɟɐʲe,2
11407,মাঠ।,mɐtʰ।,2
11408,মাটিতে।,mɐtɪt̪e।,2
11409,মাঝেও,mɐɟʱeo̯,2
11410,মাঝেই,mɐɟʱeɪ̯,2
11411,মাঝে-মধ্যে,mɐɟʱe-mod̪d̪ʱe,2
11412,মাঝপথে,mɐɟʱɔpɔt̪ʰe,2
11413,মাজেদা,mɐɟed̪ɐ,2
11414,মাজারের,mɐɟɐɾeɾ,2
11415,মাছুম,mɐcʰum,2
11416,মাছগুলো,mɐcʰgulo,2
11417,"মাছ,","mɐcʰ,",2
11418,মাগরিবের,mɐgoɾɪbeɾ,2
11419,মাখিয়ে,mɐkʰɪʲe,2
11420,মাখানো,mɐkʰɐno,2
11421,মাকসুদা,mɐkʃud̪ɐ,2
11422,মাওয়া,mɐo̯ʷɐ,2
11423,মাঈন,mɐɪ̯n,2
11424,মাইলের,mɐɪ̯leɾ,2
11425,মাইলসের,mɐɪ̯lʃeɾ,2
11426,মাইল,mɐɪ̯l,2
11427,মাইরা,mɐɪ̯ɾɐ,2
11428,মাংসসহ,mɐŋʃoʃɔho,2
11429,মা-বাবার,mɐ-bɐbɐɾ,2
11430,মা-বাবাকে,mɐ-bɐbɐke,2
11431,"মা,","mɐ,",2
11432,মহেশপুর,mɔheʃpuɾ,2
11433,মহেশখালী,mɔheʃkʰɐlɪ,2
11434,মহিলার,mohɪlɐɾ,2
11435,মহিমাগঞ্জ,mohɪmɐgɔnɟ,2
11436,মহিপুর,mohɪpuɾ,2
11437,মহিউদ্দিনের,mohɪu̯d̪d̪ɪneɾ,2
11438,মহাসাগরে,mɔhɐʃɐgoɾe,2
11439,মহাসাগরীয়,mɔhɐʃɐgoɾɪʲo,2
11440,মহানগরের,mɔhɐngɔɾeɾ,2
11441,মহানগরীর,mɔhɐngoɾɪɾ,2
11442,মহানগরী,mɔhɐngoɾɪ,2
11443,মহাজোট,mɔhɐɟot,2
11444,মহাখালীর,mɔhɐkʰɐlɪɾ,2
11445,মহাখালী,mɔhɐkʰɐlɪ,2
11446,মস্তকবিহীন,mɔst̪okbɪhɪn,2
11447,মসৃণ,mɔsɾɪn,2
11448,মসুল,mosul,2
11449,মসিউর,moʃɪu̯ɾ,2
11450,মশারি,mɔʃɐɾɪ,2
11451,মশা,mɔʃɐ,2
11452,মশক,mɔʃok,2
11453,মলিন,molɪn,2
11454,মলমূত্র,mɔlmut̪ɾo,2
11455,মলদ্বারে,mɔlod̪ɐɾe,2
11456,মর্নিং,mɔɾnɪŋ,2
11457,মর্জিনা,mɔɾɟɪnɐ,2
11458,মর্গের,mɔɾgeɾ,2
11459,মর্গ,mɔɾgo,2
11460,মরিস।,moɾɪs।,2
11461,মরিনহো,moɾɪnho,2
11462,মরিচের,moɾɪceɾ,2
11463,মরার,mɔɾɐɾ,2
11464,মরদেহটি,mɔɾd̪ehotɪ,2
11465,মরতে,moɾt̪e,2
11466,মরগ্যানের,mɔɾoggɐneɾ,2
11467,মমিন,momɪn,2
11468,মফিজ,mopʰɪɟ,2
11469,মন্ত্রীদের,mɔnt̪ɾɪd̪eɾ,2
11470,মন্ত্রণালয়সহ,mɔnt̪ɾonɐlɔʲoʃɔho,2
11471,মন্ত্রণালয়গুলো,mɔnt̪ɾonɐlɔʲgulo,2
11472,মন্তব্যের,mɔnt̪obbeɾ,2
11473,মন্টু।,montu।,2
11474,মনোয়ার,monoʲɐɾ,2
11475,মনোযোগী,monoɟogɪ,2
11476,"মনোভাব,","monobʱɐb,",2
11477,মনোনয়নের,mononɔʲoneɾ,2
11478,মনোনয়নে,mononɔʲone,2
11479,মনিরুর,monɪɾuɾ,2
11480,মনিরকে,monɪɾke,2
11481,মনিপুরের,monɪpuɾeɾ,2
11482,মনিটরিংয়ের,monɪtɾɪŋʲeɾ,2
11483,মনজুরুল,monoɟuɾul,2
11484,মনছুর।,moncʰuɾ।,2
11485,মধ্যাঞ্চলীয়,mod̪d̪ʱɐncolɪʲo,2
11486,মধ্যস্থতায়,mod̪d̪ʱost̪ʰot̪ɐʲo,2
11487,মধ্যস্থতা,mod̪d̪ʱost̪ʰot̪ɐ,2
11488,মধ্যপ্রাচ্য,mod̪d̪ʱopɾɐcco,2
11489,মধুপুরে,mod̪ʱupuɾe,2
11490,মদপান,mɔd̪pɐn,2
11491,মদন,mɔdon,2
11492,মদদ,mɔdod̪,2
11493,মতোই।,mot̪oɪ̯।,2
11494,মতিয়ার,mot̪ɪʲɐɾ,2
11495,মতিয়া,mot̪ɪʲɐ,2
11496,মতিলাল,mot̪ɪlɐl,2
11497,মতি,mot̪ɪ,2
11498,মতপার্থক্য,mɔt̪pɐɾt̪ʰokko,2
11499,মণ্ডপে,mɔndope,2
11500,মডেলের,mɔdeleɾ,2
11501,মডেলিং,mɔdelɪŋ,2
11502,মডেল।,mɔdel।,2
11503,মঞ্চে।,mɔnce।,2
11504,মজিবুল,moɟɪbul,2
11505,মজবুত,mɔɟbut̪,2
11506,মঙ্গলবারও,moŋgolbɐɾo,2
11507,মক্কায়,mɔkkɐe̯,2
11508,ভয়ের,bʱɔʲeɾ,2
11509,ভয়াল,bʱɔʲɐl,2
11510,ভয়াবহ।,bʱɔʲɐbɔho।,2
11511,ভয়টা,bʱɔʲtɐ,2
11512,ভ্রমণে,bʱɾomone,2
11513,ভ্যাসলিন।,bʱɛʃolɪn।,2
11514,ভ্যানের,bʱɛneɾ,2
11515,ভ্যানে,bʱɛne,2
11516,ভ্যানচালক,bʱɛncɐlok,2
11517,"ভ্যান,","bʱɛn,",2
11518,ভোলার,bʱolɐɾ,2
11519,ভোটাররা।,bʱotɐɾɾɐ।,2
11520,ভোটাধিকার,bʱotɐd̪ʱɪkɐɾ,2
11521,ভোজ্যতেলের,bʱoɟɟot̪eleɾ,2
11522,ভোগড়া,bʱogɽɐ,2
11523,ভোগদখল,bʱogd̪kʰɔl,2
11524,ভৈরবে,bʱoɪ̯ɾbe,2
11525,ভেন্যুতে,bʱennut̪e,2
11526,ভেন্নাবাড়ী,bʱennɐbɐɽɪ,2
11527,ভেন্ডর,bʱendɔɾ,2
11528,ভেদরগঞ্জ,bʱed̪ɔɾgɔnɟ,2
11529,ভেদ,bʱed̪,2
11530,ভেতরেও,bʱet̪oɾe͡o̯,2
11531,ভেতরে-বাইরে,bʱet̪oɾe-bɐɪ̯ɾe,2
11532,ভেতরটা,bʱet̪ɔɾtɐ,2
11533,ভেটো,bʱeto,2
11534,ভেঙ্গে,bʱeŋge,2
11535,ভেঙেছে।,bʱeŋecʰe।,2
11536,ভূমিহীন,bʱumɪhɪn,2
11537,ভূমিধসের,bʱumɪd̪ʱɔʃeɾ,2
11538,ভূমিদস্যুরা,bʱumɪd̪osʃuɾɐ,2
11539,ভূত,bʱut̪,2
11540,ভূঞা।,bʱuŋɐ।,2
11541,ভূইয়ার,bʱuɪ̯ʲɐɾ,2
11542,ভূঁইয়ার,bʱũɪʲɐɾ,2
11543,ভুলের,bʱuleɾ,2
11544,ভুলগুলো,bʱulgulo,2
11545,ভুলই,bʱulɪ,2
11546,ভুবনেশ্বরে,bʱubɔneʃʃoɾe,2
11547,ভুট্টুর,bʱuttuɾ,2
11548,ভুগছে,bʱugcʰe,2
11549,ভুক্তভোগীর,bʱukt̪obʱogɪɾ,2
11550,ভুক্তভোগী।,bʱukt̪obʱogɪ।,2
11551,ভিয়েতনাম,bʱɪʲet̪nɐm,2
11552,ভিড়ের,bʱɪɽeɾ,2
11553,ভিসায়,bʱɪʃɐe̯,2
11554,ভিশন,bʱɪʃon,2
11555,ভিন্নমত,bʱɪnnomɔt̪o,2
11556,ভিন্নভাবে,bʱɪnnobʱɐbe,2
11557,ভিন্নতা,bʱɪnnot̪ɐ,2
11558,ভিদাল,bʱɪd̪ɐl,2
11559,ভিত্তিহীন,bʱɪt̪t̪ɪhɪn,2
11560,ভিডিপি,bʱɪdɪpɪ,2
11561,ভিটামিন,bʱɪtɐmɪn,2
11562,ভিজিটরের,bʱɪɟɪtɾeɾ,2
11563,ভিজিএফের,bʱɪɟɪe̯pʰeɾ,2
11564,ভিক্ষুক,bʱɪkkʰuk,2
11565,ভিক্ষাবৃত্তি।,bʱɪkkʰɐbɾɪt̪t̪ɪ।,2
11566,ভিক্টোরিয়া,bʱɪktoɾɪʲɐ,2
11567,ভিইউইর,bʱɪɪ̯uɪ̯ɾ,2
11568,ভিআর,bʱɪɐ̯ɾ,2
11569,ভাসুর,bʱɐʃuɾ,2
11570,"ভাষ্যমতে,","bʱɐʃʃomɔt̪e,",2
11571,ভাষাও,bʱɐʃɐo̯,2
11572,ভাষণ,bʱɐʃon,2
11573,ভালোমতো,bʱɐlomɔt̪o,2
11574,ভালোবেসে,bʱɐlobeʃe,2
11575,ভালোবাসেন।,bʱɐlobɐʃen।,2
11576,ভালোবাসতে,bʱɐlobɐʃt̪e,2
11577,ভালো,bʱɐleɐ̯,2
11578,ভারসাম্যহীন,bʱɐɾʃɐmmohɪn,2
11579,ভারশোঁ,bʱɐɾʃeɐ̯̃,2
11580,ভারতেও,bʱɐɾt̪eo̯,2
11581,ভারতও,bʱɐɾt̪o,2
11582,ভাবিনি।,bʱɐbɪnɪ।,2
11583,ভাবি,bʱɐbɪ,2
11584,ভাববেন,bʱɐbben,2
11585,ভাবতেই,bʱɐbt̪eɪ̯,2
11586,ভাব,bʱɐb,2
11587,ভাণ্ডারিয়া,bʱɐndɐɾɪʲɐ,2
11588,ভাটপাড়া,bʱɐtpɐɽɐ,2
11589,ভাঙ্গারি,bʱɐŋgɐɾɪ,2
11590,ভাঙিয়ে,bʱɐŋɪʲe,2
11591,ভাঙাচোরা,bʱɐŋɐcoɾɐ,2
11592,ভাঙতে,bʱɐŋt̪e,2
11593,ভাগ্যের,bʱɐggeɾ,2
11594,ভাগ্যবান,bʱɐggobɐn,2
11595,ভাগ্যক্রমে,bʱɐggokɾome,2
11596,ভাগ্নি,bʱɐgnɪ,2
11597,ভাগে,bʱɐge,2
11598,ভাইয়েরা,bʱɐɪ̯ʲeɾɐ,2
11599,ভাইরাসের,bʱɐɪ̯ɾɐʃeɾ,2
11600,ভাইরাস,bʱɐɪ̯ɾɐʃ,2
11601,ভাইভা,bʱɐɪ̯bʱɐ,2
11602,ভাইবোনদের,bʱɐɪ̯bond̪eɾ,2
11603,"ভাই,","bʱɐɪ̯,",2
11604,ভাংচুরের,bʱɐŋcuɾeɾ,2
11605,ভাংচুরসহ,bʱɐŋcuɾʃɔho,2
11606,ভলিবলে,bʱolɪbɔle,2
11607,ভর্তুকির,bʱɔɾt̪ukɪɾ,2
11608,ভর্তিসংক্রান্ত,bʱɔɾt̪ɪʃɔŋkɾɐnt̪o,2
11609,ভরাটের,bʱɔɾɐteɾ,2
11610,ভবিষ্যতেও,bʱobɪʃʃot̪eo̯,2
11611,ভবনেই,bʱɔboneɪ̯,2
11612,"ভবন,","bʱɔbon,",2
11613,ভট্টাচার্য,bʱɔttɐcɐɾɟo,2
11614,ভগ্নিপতির,bʱɔgnɪpot̪ɪɾ,2
11615,ভক্তরা।,bʱokt̪oɾɐ।,2
11616,ভক্তদের,bʱokt̪od̪eɾ,2
11617,ভক্ত,bʱokt̪o,2
11618,ভ­াদিমির,bʱɐd̪ɪmɪɾ,2
11619,বয়ান,bɔʲɐn,2
11620,বয়স্করাও,bɔʲoʃkoɾɐo̯,2
11621,বয়সভিত্তিক,bɔʲoʃbʱɪt̪t̪ɪk,2
11622,বয়কট,bɔʲkt,2
11623,বড়ালু,bɔɽɐlu,2
11624,বড়গাঁও,bɔɽgɐ̃o,2
11625,ব্ল–,blo–,2
11626,ব্লেড,bled,2
11627,ব্লাড,blɐd,2
11628,ব্লকে,bloke,2
11629,ব্র্যান্ড।,bɾɐnd।,2
11630,ব্র্যাডম্যান,bɾɛdmɛn,2
11631,ব্রেড,bɾed,2
11632,ব্রিটিশদের,bɾɪtɪʃd̪eɾ,2
11633,ব্রাভো,bɾɐbʱo,2
11634,ব্রাদার্স,bɾɐd̪ɐɾs,2
11635,ব্রাজিলে,bɾɐɟɪle,2
11636,ব্রাউজিং,bɾɐu̯ɟɪŋ,2
11637,ব্রহ্মপুত্র,bɾɔmmoput̪ɾo,2
11638,ব্রডকে,bɾodke,2
11639,ব্যয়ে,bɛʲe,2
11640,ব্যুরোর,bɛu̯ɾoɾ,2
11641,ব্যাশে,bɛʃe,2
11642,ব্যাপ্তি,bɛpt̪ɪ,2
11643,ব্যাপক।,bɛpok।,2
11644,ব্যানারে,bɛnɐɾe,2
11645,ব্যাথা,bɛt̪ʰɐ,2
11646,ব্যাটে,bɛte,2
11647,ব্যাটিংয়ে,bɛtɪŋʲe,2
11648,ব্যাটিং।,bɛtɪŋ।,2
11649,ব্যাটারি,bɛtɐɾɪ,2
11650,ব্যাটসম্যানকে,bɛtsmɛnke,2
11651,ব্যাজগুলো,bɛɟgulo,2
11652,ব্যাগের,bɛgeɾ,2
11653,ব্যাগটি,bɛgtɪ,2
11654,ব্যাকআপ,bɛkɐp,2
11655,ব্যাংকিংয়ের,bɛŋkɪŋʲeɾ,2
11656,ব্যাংকটি,bɛŋktɪ,2
11657,ব্যস্ততম,bɛst̪ot̪ɔmo,2
11658,ব্যর্থতায়,bɛɾt̪ʰot̪ɐe̯,2
11659,ব্যবহারিক,bɛbohɐɾɪk,2
11660,ব্যবহারকারীকে,bɛbohɐɾkɐɾɪke,2
11661,"ব্যবহার,","bɛbohɐɾ,",2
11662,ব্যবস্থাপত্র,bɛbost̪ʰɐpɔt̪ɾo,2
11663,ব্যবস্থাকে,bɛbost̪ʰɐke,2
11664,"ব্যবস্থা,","bɛbost̪ʰɐ,",2
11665,ব্যবসায়ীসহ,bɛbʃɐʲɪʃɔho,2
11666,ব্যবসায়ীদেরও,bɛbʃɐʲɪd̪eɾo,2
11667,"ব্যবসায়ী,","bɛbʃɐʲɪ,",2
11668,ব্যবসা।,bɛbʃɐ।,2
11669,ব্যথার,bɛt̪ʰɐɾ,2
11670,"ব্যথা,","bɛt̪ʰɐ,",2
11671,ব্যতীত,bɛt̪ɪt̪o,2
11672,ব্যক্তিবর্গকে,bɛkt̪ɪbɔɾgoke,2
11673,ব্যক্তিগতভাবে,bɛkt̪ɪgɔt̪obʱɐbe,2
11674,বৌভাত,bou̯bʱɐt̪,2
11675,বোল্টের,bolteɾ,2
11676,বোল্ট,bolt,2
11677,বোর্ডে,boɾde,2
11678,বোর্ডিং,boɾdɪŋ,2
11679,বোরহানউদ্দীন,boɾɔhɐnud̪d̪ɪn,2
11680,বোরহানউদ্দিন,boɾɔhɐnud̪d̪ɪn,2
11681,বোতলে,bot̪ole,2
11682,বোঝাবুঝির,boɟʱɐbuɟʱɪɾ,2
11683,বোঝাই,boɟʱɐɪ̯,2
11684,বৈশাখে,boɪ̯ʃɐkʰe,2
11685,বৈদ্যেরবাজার,বৈদ্যের,2
11686,বেড়িবাঁধের,beɽɪbɐ̃d̪ʱeɾ,2
11687,বেড়ার,beɽɐɾ,2
11688,বেড়াতে।,beɽɐt̪e।,2
11689,বেড়াজালে,beɽɐɟɐle,2
11690,বেড়াচ্ছেন।,beɽɐccʰen।,2
11691,বেড়া,beɽɐ,2
11692,বেহাল,behɐl,2
11693,বেসিক,besɪk,2
11694,বেসরকারিভাবে,beʃɔɾkɐɾɪbʱɐbe,2
11695,বেসবল,besbɔl,2
11696,বেশে,beʃe,2
11697,বেশিক্ষণ,beʃɪkkʰon,2
11698,বেলপুকুর,belpukuɾ,2
11699,বেল।,bel।,2
11700,বেপারি।,bɛpɐɾɪ।,2
11701,"বেনজেমা,","benɟemɐ,",2
11702,বেদনাদায়ক,bed̪onɐd̪ɐʲok,2
11703,বেত্রাঘাত,bet̪ɾɐgʱɐt̪,2
11704,বেতাগী,bet̪ɐgɪ,2
11705,বেতজুড়ি,bet̪ɟuɽɪ,2
11706,বেণী,benɪ,2
11707,বেটা,betɐ,2
11708,বেঞ্জামিন,benɟɐmɪn,2
11709,বেচে,bece,2
11710,বেঙ্গল,beŋgol,2
11711,বেগমগঞ্জ,beggomgɔnɟ,2
11712,বেকারি,bɛkɐɾɪ,2
11713,বেকারত্বের,bɛkɐɾot̪t̪eɾ,2
11714,বেওয়ারিশ,beo̯ʷɐɾɪʃ,2
11715,বৃহস্পতিবারের,bɾɪhoʃpot̪ɪbɐɾeɾ,2
11716,বৃহস্পতিবার।,bɾɪhoʃpot̪ɪbɐɾ।,2
11717,বৃষ্টিতেই,bɾɪʃtɪt̪eɪ̯,2
11718,বৃষ্টি।,bɾɪʃtɪ।,2
11719,বৃদ্ধের,bɾɪd̪d̪ʱeɾ,2
11720,বৃদ্ধি।,bɾɪd̪d̪ʱɪ।,2
11721,বৃদ্ধার,bɾɪd̪d̪ʱɐɾ,2
11722,বৃদ্ধা,bɾɪd̪d̪ʱɐ,2
11723,বুড়িচং,buɽɪcɔŋ,2
11724,বুলেটের,buleteɾ,2
11725,বুলেট,bulet,2
11726,বুধবারের,bud̪ʱbɐɾeɾ,2
11727,বুধবারও,bud̪ʱbɐɾo,2
11728,বুধবার।,bud̪ʱbɐɾ।,2
11729,বুদ্ধিদীপ্ত,bud̪d̪ʱɪd̪ɪpt̪o,2
11730,বুদ্ধিজীবী,bud̪d̪ʱɪɟɪbɪ,2
11731,বুথ,but̪ʰ,2
