,Inflected_Word,Valid,Lemma_Correct,Lemma_Predict
847,এনজির,Y,এনজি,এনজি
848,এনজি,Y,এনজি,এনজি
849,এনপিএফ,Y,এনপিএফ,এনপিএ
850,এনভের,Y,এনভ,এনভে
851,এনসারেন্ড্রানএন,Y,এনসারেন্ড্রানএন,এনসারেন্ড্রান
852,এনিয়াসের,Y,এনিয়াস,এনিয়াস
853,এন্টারটেইনমেন্টে,Y,এন্টারটেইনমেন্ট,এন্টারটেইনমেন্ট
854,এন্টারপ্রাইজে,Y,এন্টারপ্রাইজ,এন্টারপ্রাইজ
855,এন্ডারসনে,Y,এন্ডারসন,এন্ডারসন
856,এন্ডারসেনের,Y,এন্ডারসেন,এন্ডারসেন
857,এন্ডোক্রাইনোলজিকাল,Y,এন্ডোক্রাইনোলজিকাল,এন্ডোক্রাইনোলজিকা
858,এপিকুরাসের,Y,এপিকুরাস,এপিকুরাস
859,এপিসোডগুলি,Y,এপিসোড,এপিসোড
860,এফএসএফের,Y,এফএসএফ,এফএসএফ
861,এবং,Y,এবং,এবংইন্টারন
862,এভেঞ্জার্সদের,Y,এভেঞ্জার্স,এভেঞ্জার্সদ
863,এমডিপির,Y,এমডিপি,এমডিপি
864,এমপিএদের,Y,এমপিএ,এমপিএ
865,এমফ্যাটিক,Y,এমফ্যাটিক,এমফ্যা
866,এমসিডিজে,Y,এমসিডিজে,এমসিডিজ
867,এমস্ডেটানার,Y,এমস্ডেটানার,এমস্ডেটানা
868,এমানুয়েল,Y,এমানুয়েল,এমানুয়ল
869,এমিনে,Y,এমিনে,এমিন
870,এমিলিনাসকে,Y,এমিলিনাস,এমিলিনাস
871,এমের,Y,এম,এম
872,এমেল,Y,এমেল,আমেল
873,এরকমই,Y,এরকম,এরকম
874,এরপূর্বে,Y,এরপূর্ব,এরপূর্ব
875,এলএক্সডিই,Y,এলএক্সডই,এলএক্সডি
876,এলডিপির,Y,এলডিপি,এলডিপি
877,এলফের,Y,এলফ,এলফে
878,এলাইক,Y,এলাইক,এলা
879,এলাকই,Y,এলাক,এলাক
880,এলাকাসমূহে,Y,এলাকা,এলাকা
881,এলিজাবেথটাউন,Y,এলিজাবেথটাউন,এলিজা
882,এলিটগণ,Y,এলিট,এলিট
883,এলিসার,Y,এলিসা,এলিসা
884,এলেইন,Y,এলেইন,আলেইন
885,এলোই,Y,এলো,এলো
886,এল্কাডেরে,Y,এল্কাডের,এল্কাডের
887,এল্বামের,Y,এল্বাম,এল্বাম
888,এসএন্ডডব্লিউ,Y,এসএন্ডডব্লিউ,এসএন্ডডব্লিউউল
889,এসএমএসসির,Y,এসএমএসসি,এসএমএসসি
890,এসএমবাগুইওর,Y,এসএমবাগুইও,এসএমবাগুই
891,এসওবির,Y,এসওবি,এসও
892,এসকোবারকে,Y,এসকোবার,এসকোবার
893,এসপারিট,Y,এসপারিট,এসপারি
894,এসসিএডিএ,Y,এসসিএডিএ,এস
895,এসসিজে,Y,এসসিজে,এসসিজ
896,এসোসিয়েশানকে,Y,এসোসিয়েশান,এসোসিয়েশান
897,এস্টেটও,Y,এস্টেট,এস্টেট
898,এস্টোনিয়ার,Y,এস্টোনিয়া,এস্টোনিয়া
899,এ্যাগোনি,Y,এ্যাগোনি,এ্যাগোন
900,এ্যাপসের,Y,এ্যাপস,এ্যাপস
901,এ্যাপ্লিকেশনটির,Y,এ্যাপ্লিকেশন,এ্যাপ্লিকেশন
902,এ্যামডক্স,Y,এ্যামডক্স,এ্যামড
903,এ্যামেন্ডেড,Y,এ্যামেন্ডেড,এ্যামেন্ড
904,এ্লিয়েনের,Y,এ্লিয়েন,এ্লিয়েন
905,এড়াইয়া,Y,এড়ানো,এডাই
906,এড়ে,Y,এড়া,এড়া
907,ঐই,Y,ঐ,ঐ
908,ঐতরীয়তে,Y,ঐতরীয়,ঠতরীয়
909,ঐতিহ্যসমূহ,Y,ঐতিহ্য,ঐতিহ্য
910,ঐব,Y,ঐব,ঐ
911,ঐশিকরূপে,Y,ঐশিক,ঐশিক
912,ওইসবফোনরং,ন,ওইসবফোন,ওইসবফোন
913,ওকুদার,Y,ওকুদা,ওকুদা
914,ওক্তার,Y,ওক্তা,ওক্তা
915,ওটিএ,Y,ওটিএ,ও
916,ওটিয়েনো,Y,ওটিয়েনো,ওটিয়েন
917,ওদালগুরি,Y,ওদালগুরি,ওদাল
918,ওদেরো,Y,ওদের,ও
919,ওনাকেই,Y,উনি,ওনা
920,ওনেই,Y,ওন,ওনে
921,ওপিনাএলবালোনে,Y,ওপিনাএলবালোনে,ওপিনাএলবালো
922,ওপেরার,Y,ওপেরা,ওপেরা
923,ওপেলটা,Y,ওপেল,ওপেল
924,ওবায়দি,Y,ওবায়দি,ওবায়া
925,ওবেলিস্কের,Y,ওবেলিস্ক,ওবেলিস্ক
926,ওমনিয়াআলদেসুকি,Y,ওমনিয়াআলদেসুকি,ও
927,ওমিদিহে,Y,ওমিদিহ,ওমিদিহ
928,ওমিদিয়ারের,Y,ওমিদিয়ার,ওমিদিয়ার
929,ওরাওন,Y,ওরাওন,ওরা
930,ওরেসমে,Y,ওরেসম,ওরেসম
931,ওলফের,Y,ওলফ,ওলফে
932,ওলুর্নফেমিও,Y,ওলুর্নফেমিও,ওলুর্নফেমি
933,ওষ্ঠের,Y,ওষ্ঠ,ওষ্ঠ
934,ওসবোর্নও,Y,ওসবোর্ন,ওসবোর্ন
935,ওসমানীয়,Y,ওসমান,ওসমান
936,ওসলার,Y,ওসলা,ওসলা
937,ওসামাহ,Y,ওসামাহ,ও
938,ওসেই,Y,ওস,ওস
939,ওহাইওতে,Y,ওহাইও,ওহা
940,ওহাকাতে,Y,ওহাকা,ওহাকা
941,ওড়িশাগুলি,Y,ওড়িশা,ওড়িশা
942,ওয়াইলারের,Y,ওয়াইলার,ওয়াইলার
943,ওয়াইল্ডারের,Y,ওয়াইল্ডার,ওয়াইল্ডার
944,ওয়াকান্ডার,Y,ওয়াকান্ডা,ওয়াকান্ডা
945,ওয়াকিয়ানবিশদের,Y,ওয়াকিয়ানবিশ,ওয়াকিয়ানবিশ
946,ওয়াকেহামিস্টের,Y,ওয়াকেহামিস্ট,ওয়াকেহামিস্ট
947,ওয়াতানজারকে,Y,ওয়াতানজার,ওয়াতানজার
948,ওয়াদ্দামুতেবি,Y,ওয়াদ্দামুতেবি,ওয়াদ্দা
949,ওয়ারনারের,Y,ওয়ারনার,ওয়ারনার
950,ওয়ার্ডগুলি,Y,ওয়ার্ড,ওয়ার্ড
951,ওয়ার্ডপ্রেসের,Y,ওয়ার্ডপ্রেস,ওয়ার্ডপ্রেস
952,ওয়ার্ডসকে,Y,ওয়ার্ডস,ওয়ার্ডস
953,ওয়ালপেপার,Y,ওয়ালপেপার,ওয়ালপা
954,ওয়ালে,Y,ওয়াল,ওয়ালেওয়াল
955,ওয়াস্টল্যান্ডে,Y,ওয়াস্টল্যান্ড,ওয়াস্টল্যান্ড
956,ওয়েটারই,Y,ওয়েটার,ওয়েটার
957,ওয়েবসাইটগুলো,Y,ওয়েবসাইট,ওয়েবসাইট
958,ঔজ্জ্বল্যতা,Y,ঔজ্জ্বল্য,ঔজ্জ্বল্য
959,ঔদাসিন্যের,Y,ঔদাসিন্য,ঔদাসিন্য
960,কঁকিয়ে,Y,কঁকানো,কঁকানো
961,কংগ্রিগেশনস্,Y,কংগ্রিগেশনস্,কংগ্রিগেশন
962,কংগ্রেগাতসোনা,Y,কংগ্রেগাতসোনা,কংগ্রেগাতসোন
963,কংলোমিটারের,Y,কংলোমিটার,কংলোমিটার
964,কইতেই,Y,কই,কই
965,কইনছেন,Y,কইন,কইন
966,কইলয়ের,Y,কইলয়,কইলয়
967,ককতাংরোগ,Y,ককতাংরোগ,ককতাংর
968,কক্ষগুলিতে,Y,কক্ষ,কক্ষ
969,কঙ্কাবতীর,Y,কঙ্কাবতী,কঙ্কাবতী
970,কচুমরিয়ম,Y,কচুমরিয়ম,কচুমরিয়
971,কজঙ্গলের,Y,কজঙ্গল,কজঙ্গল
972,কটিযুক্ত,Y,কটি,কটি
973,কঠিন,Y,কঠিন,কঠ
974,কণিকাগুলোকে,Y,কণিকা,কণিকা
975,কণ্ঠগুলোকে,Y,কণ্ঠ,কণ্ঠ
976,কতখানিই,Y,কতখানি,কতখান
977,কতৃপক্ষকে,Y,কতৃপক্ষ,কতৃপক্ষ
978,কতোবার,Y,কত,কত
979,কথাপাঠের,Y,কথাপাঠ,কথাপাঠ
980,কথাবার্তাগুলি,Y,কথাবার্তা,কথাবার্তা
981,কথাসাহিত্যকে,Y,কথাসাহিত্য,কথাসাহিত্য
982,কদমছিলান,Y,কদমছিলান,কদমছ
983,কনটিককে,Y,কনটিক,কনটি
984,কনফেডারেশনভেদে,Y,কনফেডারেশন,কনফেডারেশন
985,কনব্রে,Y,কনব্রে,কনব্র
986,কনষ্টেবলটি,Y,কনষ্টেবল,কনষ্টেবল
987,কনসুলেটের,Y,কনসুলেটর,কনসুলেট
988,কনসেপশিওনে,Y,কনসেপশিওন,কনসেপশিওন
989,কনস্ট্যামকে,Y,কনস্ট্যাম,কনস্ট্যাম
990,কনিয়াট,Y,কনিয়াট,কনিয়া
991,কন্টকত্বকী,Y,কন্টকত্বক,কন্টকত্ব
992,কন্টেইনারের,Y,কন্টেইনার,কন্টেইনার
993,কন্ঠস্বরঃ,Y,কন্ঠস্বর,কন্ঠস্বর
994,কপালঠোকা,Y,কপালঠোকা,কপাল
995,কপিগুলো,Y,কপি,কপি
996,কপোত,Y,কপোত,কপ
997,কপোতগৃহ,Y,কপোতগৃহ,কপোত
998,কফিও,Y,কফি,কফি
999,কফিহাউসের,Y,কফিহাউস,কফিহাউস
1000,কবচের,Y,কবচ,কবচ
1001,কবিতাগুলো,Y,কবিতা,কবিতা
1002,কবিতাসংহিতা,Y,কবিতাসংহিতা,কবিতা
1003,কবিত্বময়,Y,কবিত্ব,কবিত্ব
1004,কবিয়ালদের,Y,কবিয়াল,কবিয়াল
1005,কব্জিটাকে,Y,কব্জি,কব্জি
1006,কমনওয়েলথে,Y,কমনওয়েলথ,কমনওয়েলথ
1007,কমনওয়েল্থের,Y,কমনওয়েল্থ,কমনওয়েল্থ
1008,কমপিটিশনে,Y,কমপিটিশন,কমপিটিশন
1009,কমপ্ল্যানের,Y,কমপ্ল্যান,কমপ্ল্যান
1010,কমবয়সী,Y,কমবয়স,কমবয়
1011,কমলসাগরে,Y,কমলসাগর,কমলসা
1012,কমান্ডারেরও,Y,কমান্ডার,কমান্ডার
1013,কমার্শিয়ালের,Y,কমার্শিয়াল,কমার্শিয়াল
1014,কমিউনিকেশনস্,Y,কমিউনিকেশনস্,কমিউনিকেশনস্ন
1015,কমিটিঃ,Y,কমিটি,কমিটি
1016,কমেনটারি,Y,কমেনটারি,কমেন
1017,কম্পনযুক্ত,Y,কম্পন,কম্পন
1018,কম্পাসে,Y,কম্পাস,কম্পাস
1019,কম্পিউটারভিত্তিক,Y,কম্পিউটার,ক
1020,কম্পিউটারর,Y,কম্পিউটার,কম্পিউটার
1021,কম্বোডিয়াসহ,Y,কম্বোডিয়া,কম্বোডিয়া
1022,করছে,Y,করা,করােই
1023,করতনা,Y,করা,করানা
1024,করতাছত,Y,করা,করা
1025,করনিয়,Y,করা,করণিয়রয়
1026,করবস্থানের,Y,করবস্থান,করবস্থান
1027,করবির,Y,করবি,করা
1028,করবৃদ্ধির,Y,করবৃদ্ধি,করবৃদ্ধি
1029,করলোজনজীবনে,Y,করলোজনজীবন,করলোজনজীবন
1030,করস,Y,করা,করা
1031,করসেবককে,Y,করসেবক,করসেব
1032,করাইলে,Y,করা,করাইল
1033,করারয়,Y,করা,করা
1034,করিনাই,Y,করা,করা
1035,করুনইতস্তত,Y,করুনইতস্তত,করুন
1036,করেইনি,Y,করা,করা
1037,করেছিল,Y,করা,করা
1038,করেজিয়াসে,Y,করেজিয়াস,করেজিয়াস
1039,করেন,Y,করা,করেন্ন্য
1040,কর্ডসমূহ,Y,কর্ড,কর্ড
1041,কর্তব্যকাজে,Y,কর্তব্য,কর্তব্য
1042,কর্তব্যে,Y,কর্তব্য,কর্তব্য
1043,কর্তৃত্বশীল,Y,কর্তৃত্ব,কর্তৃত্ব
1044,কর্তৃত্বে,Y,কর্তৃত্ব,কর্তৃত্ব
1045,কর্তৃপক্ষগুলো,Y,কর্তৃপক্ষ,কর্তৃপক্ষ
1046,কর্ত্তাদের,Y,কর্ত্তা,কর্ত্তা
1047,কর্ত্তৃত্বও,ন,কর্ত্তৃত্ব,কর্ত্তৃত্ব
1048,কর্ত্তৃত্বকে,ন,কর্ত্তৃত্ব,কর্ত্তৃত্ব
1049,কর্দুয়েন,Y,কর্দুয়েন,কর্দুয়
1050,কর্নওয়ালীসী,Y,কর্নওয়ালীসী,কর্ন
1051,কর্নিলিয়াসকে,Y,কর্নিলিয়াস,কর্নিলিয়াস
1052,কর্পাসের,Y,কর্পাস,কর্পাস
1053,কর্পোরেশনগুলির,Y,কর্পোরেশন,কর্পোরেশন
1054,কর্মকর্তাবৃন্দকে,Y,কর্মকর্তাবৃন্দ,কর্মকর্তাবৃন্দ
1055,কর্মচারিরাও,Y,কর্মচারি,কর্মচারি
1056,কর্মটা,Y,কর্ম,কর্ম
1057,কর্মদক্ষতাকে,Y,কর্মদক্ষতা,কর্মদক্ষতা
1058,কর্মপরিধিও,Y,কর্মপরিধি,কর্মপরিধি
1059,কর্মব্যস্ততা,Y,কর্মব্যস্ত,কর্মব্যস্ত
1060,কর্মশালাসহ,Y,কর্মশালা,কর্মশালা
1061,কর্মসংস্থানমুখী,Y,কর্মসংস্থান,কর্মসংস্থান
1062,কর্মসূচিটির,Y,কর্মসূচি,কর্মসূচন
1063,কর্মস্থলও,Y,কর্মস্থল,কর্মস্থল
1064,কর্মীরূপে,Y,কর্মী,কর্মীরূপ
1065,কর্মেন্দ্রিয়,Y,কর্মেন্দ্রিয়,কর্মেন্দ্র
1066,কলকাজিতে,Y,কলকাজি,কলকাজি
1067,কলঙ্ককেও,Y,কলঙ্ক,কলঙ্ক
1068,কলরক্ষক,Y,কলরক্ষক,কলরক্ষ
1069,কলরেটের,Y,কলরেট,কলরেট
1070,কলাবিদ্যাসমূহের,Y,কলাবিদ্যা,কলাবিদ্যা
1071,কলিটা,Y,কলি,কলি
1072,কলিসিয়ামে,Y,কলিসিয়াম,কলিসিয়াম
1073,কলিসীয়ামের,Y,কলিসীয়াম,কলিসীয়াম
1074,কলেজশিক্ষকের,Y,কলেজশিক্ষক,কলেজশিক্ষ
1075,কলোনিসমূহে,Y,কলোনি,কলোনি
1076,কল্জার,Y,কল্জা,কল্জা
1077,কল্পকাহিনীসহ,Y,কল্পকাহিনী,কল্পকাহিনী
1078,কল্পনাগুলোর,Y,কল্পনা,কল্পনা
1079,কল্পায়,Y,কল্পা,কল্পা
1080,কলয়েডীয়,Y,কলয়েড,কলয়েড
1081,কষ্টদায়কভাবে,Y,কষ্টদায়ক,কষ্টদায়ক
1082,কাঁচাপাটের,Y,কাঁচাপাট,কাঁচাপাট
1083,কাঁচড়াপাড়ার,Y,কাঁচড়াপাড়া,কাঁচড়াপাড়া
1084,কাঁটাগুলোকে,Y,কাঁটা,কাঁটা
1085,কাঁদতেই,Y,কাঁদা,কাঁদা
1086,কাইরোয়ানের,Y,কাইরোয়ান,কাইরোয়ান
1087,কাইয়ান,Y,কাইয়ান,কাই
1088,কাইয়োর,Y,কাইয়ো,কাই
1089,কাউন্টারটা,Y,কাউন্টার,কাউন্টার
1090,কাএও,ন,কেএ,কেএ
1091,কাওকেও,Y,কেউ,কে
1092,কাকটা,Y,কাক,কাক
1093,কাকরকে,Y,কাকর,কাকর
1094,কাকলীর,Y,কাকলী,কাকল
1095,কাকাহুয়াতে,Y,কাকাহুয়া,কাকাহুয়া
1096,কাগজপত্রেও,Y,কাগজপত্র,কাগজ
1097,কাগমারীতে,Y,কাগমারী,কাগমারী
1098,কাচামাল,Y,কাচামাল,কাচা
1099,কাছানো,Y,কাছানো,কাছ
1100,কাছারী,Y,কাছারী,কাছ
1101,কাছেরটি,Y,কাছের,কাছের
1102,কাজকর্মগুলির,Y,কাজকর্ম,কাজকর্ম
1103,কাজাকস্তানের,Y,কাজাকস্তান,কাজাকস্তান
1104,কাজানকে,Y,কাজান,কাজান
1105,কাজুশিগে,Y,কাজুশিগ,কাজুশি
1106,কাঞ্চনপুর,Y,কাঞ্চনপুর,কাঞ্চন
1107,কাটরার,Y,কাটরা,কাটরা
1108,কাটামোকে,Y,কাটামো,কাটামো
1109,কাঠামোটিকে,Y,কাঠামো,কাঠামোটি
1110,কাঠামোসমূহের,Y,কাঠামো,কাঠামো
1111,কাঠেরব্লকে,Y,কাঠেরব্লক,কাঠেরব্ল
1112,কাতিফানের,Y,কাতিফান,কাতিফান
1113,কাথেড্রালটি,Y,কাথেড্রাল,কাথেড্রাল
1114,কাদাকাটি,Y,কাদা,কাদাকা
1115,কাদিয়ানিই,Y,কাদিয়ানি,কাদিয়ানি
1116,কাদুমিসহ,Y,কাদুমি,কাদুমি
1117,কাদেঁ,Y,কাঁদা,কাদে
1118,কাদেরীর,Y,কাদেরী,কাদেরী
1119,কানস্টানটি,Y,কানস্টান,কানস্টান
1120,কানাইলালের,Y,কানাইলাল,কানাইলাল
1121,কানাডাকে,Y,কানাডা,কানাডা
1122,কানাডাররা,Y,কানাডা,কানাডার
1123,কানিবার,Y,কানিবার,কানিবা
1124,কানেকটিগামী,Y,কানেকটি,কানেকটি
1125,কানেটিকাট,Y,কানেটিকাট,কানেটিকা
1126,কানেতের,Y,কানেত,কানেত
1127,কান্নদা,Y,কান্নদা,কান্ন
1128,কান্সির,Y,কান্সি,কান্সি
1129,কাপসমূহ,Y,কাপ,কাপ্মূহ
1130,কাপুটিকানের,Y,কাপুটিকান,কাপুটিকান
1131,কাপুরুষরা,Y,কাপুরুষ,কাপুরুষ
1132,কাপোনের,Y,কাঁপা,কাপোন
1133,কাবাডিতে,Y,কাবাডি,কাবাডি
1134,কাবিলাকে,Y,কাবিলা,কাবিলা
1135,কাবিয়া,Y,কাবিয়া,কাবা
1136,কাব্যালঙ্কারসারসংগ্রহ,Y,কাব্যালঙ্কারসার,কাব্যালঙ্কারসার
1137,কাব্যেই,Y,কাব্য,কাব্য
1138,কাভাদের,Y,কাভা,কাভা
1139,কামাইও,Y,কামাই,কামাই
1140,কামানীর,Y,কামানী,কামানী
1141,কামিয়েছি,Y,কামানো,কামানো
1142,কামোপহত,Y,কামোপহত,কামোপহ
1143,কামড়াতো,Y,কামড়,কামড়
1144,কারকাসের,Y,কারকাস,কারকাস
1145,কারখানাটা,Y,কারখানা,কারখানা
1146,কারখানারতে,Y,কারখানা,কারখানার
1147,কারজাকানেও,Y,কারজাকান,কারজাকান
1148,কারণভেদে,Y,কারণ,কারণ
1149,কারণসাদর,Y,কারণসাদর,কারণসাদ
1150,কারতিনের,Y,কারতিন,কারতিন
1151,কারনসমূহ,Y,কারন,কারন
1152,কারলিটোসের,Y,কারলিটোস,কারলিটোস
1153,কারাকক্ষে,Y,কারাকক্ষ,কারাক
1154,কারাগারেই,Y,কারাগার,কারাগার
1155,কারাদন্ডকে,Y,কারাদন্ড,কারা
1156,কারাবন্দীসহ,Y,কারাবন্দী,কারাবন্দী
1157,কারিকুতে,Y,কারিকু,কারিকু
1158,কারিগরের,Y,কারিগর,কারিগর
1159,কারিগরি,Y,কারিগর,কারিগা
1160,কারুকার্যকরা,Y,কারুকার্য,কারুকার্যক
1161,কারুপণ্যের,Y,কারুপণ্য,কারুপণ্য
1162,কারোবির,Y,কারোবি,কার
1163,কার্কনেসকে,Y,কার্কনেস,কার্কনেস
1164,কার্টরাইটারের,Y,কার্টরাইটার,কার্টরাইটার
1165,কার্টিয়ার,Y,কার্টিয়ার,কার্টিয়া
1166,কার্টিয়ারকে,Y,কার্টিয়ার,কার্টিয়ার
1167,কার্টুনগুলোতে,Y,কার্টুন,কার্টুন
1168,কার্ডটা,Y,কার্ড,কার্ড
1169,কার্ডহোল্ডারের,Y,কার্ডহোল্ডার,কার্ডহোল্ডার
1170,কার্ডের,Y,কার্ড,কার্ডেন
1171,কার্বনডেলে,Y,কার্বনডেল,কার্বনডেল
1172,কার্যকমিটির,Y,কার্যকমিটি,কার্য
1173,কার্যবিধিতে,Y,কার্যবিধি,কার্যবিধি
1174,কার্যাকলাপ,Y,কার্যাকলাপ,কার্যা
1175,কালক্ষয়,Y,কালক্ষয়,কালক্ষ
1176,কালটুরা,Y,কালটুরা,কাল
1177,কালডেরনের,Y,কালডেরন,কালডেরন
1178,কালদীয়দের,Y,কালদীয়,কালদীয়
1179,কালদীয়রা,Y,কালদীয়,কালদীয়
1180,কালবাজারীরা,Y,কালবাজারী,কালবাজারী
1181,কালাপাহাড়ের,Y,কালাপাহাড়,কালাপাহাড়
1182,কালীমন্দিরের,Y,কালীমন্দির,কালীমন্দির
1183,কালোবাজারীরা,Y,কালোবাজারী,কালোবাজারী
1184,কাসপের,Y,কাসপ,কাসপ
1185,কাসীদাকে,Y,কাসীদা,কাসী
1186,কাস্টাগনলি,Y,কাস্টাগনলি,কাস্টা
1187,কাস্তিয়োর,Y,কাস্তিয়ো,কাস্তিয়ো
1188,কাহিনিও,Y,কাহিনি,কাহিনি
1189,কাহিনিমূলক,Y,কাহিনি,কাহিনি
1190,কাহেকজিহান,Y,কাহেকজিহান,কাহেক
1191,কায়স্থরা,Y,কায়স্থ,কায়স্থ
1192,কিউবিকেলের,Y,কিউবিকেল,কিউবিকেল
1193,কিচ্ছাকাহিনী,Y,কিচ্ছাকাহিনী,কিচ্ছা
1194,কিছতেই,Y,কিছু,কিছ
1195,কিটসে,Y,কিটস,কিটস
1196,কিনসে,Y,কিনা,কিনস
1197,কিনারাতে,Y,কিনারা,কিনারা
1198,কিন্ডারগার্টেনগুলো,Y,কিন্ডারগার্টেন,কিন্ডারগার্টেনগুল
1199,কিবলস,Y,কিবলস,কিবল
1200,কিমেলটুয়েকে,Y,কিমেলটুয়ে,কিমেলটুয়ে
1201,কিম্বানসেকে,Y,কিম্বানসেক,কিম্বানসে
1202,কিযে,Y,কিযে,কিয
1203,কিরাটপুরে,Y,কিরাটপুর,কিরাটপুর
1204,কিশোরকিশোরীই,Y,কিশোরকিশোরী,কিশোরকিশোরী
1205,কিশোরাবস্থায়,Y,কিশোরাবস্থা,কিশোরাবস্থা
1206,কিষানগড়,Y,কিষানগড়,কিষান
1207,কিয়াই,Y,কিয়াই,কিয়া
1208,কীচকবধ,ন,কীচকবধ,কীচকচধ
1209,কুঁচকে,Y,কুঁচকানো,কুঁচ
1210,কুঅভিলাষকে,Y,কুঅভিলাষ,কুঅভিলাষ
1211,কুইকজোট,Y,কুইকজোট,কুইক
1212,কুইরোজকে,Y,কুইরোজ,কুইরোজ
1213,কুইয়াচায়,Y,কুইয়াচায়,কুইয়াচা
1214,কুকারেও,Y,কুকার,কুকার
1215,কুকুরদেরকেই,Y,কুকুর,কুকুর
1216,কুচচিংড়ি,Y,কুচকচ্ড়ি,কুচকচ্ড়ি
1217,কুজঝটি,Y,কুজঝটি,কুজঝ
1218,কুজিয়ায়েভ,Y,কুজিয়ায়েভ,কুজায়ায়েভ
1219,কুদরতের,Y,কুদরত,কুদরত
1220,কুনিও,Y,কুনি,কুনি
1221,কুপখনন,Y,কুপখনন,কুপখন
1222,কুপহুইস,Y,কুপহুইস,কুপহুই
1223,কুফরে,Y,কুফর,কুফর
1224,কুবরাকে,Y,কুবরা,কুবরা
1225,কুবার্তো,Y,কুবার্তো,কুবার্
1226,কুবেন,Y,কুবা,কুবা
1227,কুমবে,Y,কুমা,কুম
1228,কুমায়ুনে,Y,কুমায়ুন,কুমায়ুন
1229,কুরগানে,Y,কুরগান,কুরগান
1230,কুরুচিসম্পন্ন,Y,কুরুচি,কুরুচি
1231,কুলক্ষয়,Y,কুলক্ষয়,কুলক্ষ
1232,কুলগ্নে,Y,কুলগ্ন,কুলগ্ন
1233,কুলবতী,Y,কুলবতী,কুলব
1234,কুশিয়ারার,Y,কুশিয়ারা,কুশিয়ারা
1235,কুসংস্কারেও,Y,কুসংস্কার,কুসংস্কার
1236,কুসেসকসি,Y,কুসেসকসি,কুসেস
1237,কুহকের,Y,কুহক,কুহক
1238,কুড়িটা,Y,কুড়ি,কুড়ি
1239,কুয়শ,Y,কুয়শ,কুয়শকর
1240,কুয়াংশিতে,Y,কুয়াংশি,কুয়াংশি
1241,কুয়েইতি,Y,কুয়েইতি,কুয়েই
1242,কৃচ্ছতাসাধনের,Y,কৃচ্ছতাসাধন,কৃচ্ছতা
1243,কৃচ্ছ্রসাধনা,Y,কৃচ্ছ্রসাধনা,কৃচ্ছ্র
1244,কৃতজ্ঞতাও,Y,কৃতজ্ঞ,কৃতজ্ঞ
1245,কৃতিস্বত্বকে,Y,কৃতিস্বত্বক,কৃতিস্বত্ব
1246,কৃত্যাচার,Y,কৃত্যাচার,কৃত্যাচা
1247,কৃষিকর্মের,Y,কৃষিকর্ম,কৃষিকর্ম
1248,কৃষিকাঠামোর,Y,কৃষিকাঠামো,কৃষিকাঠামো
1249,কৃষিপর্যটন,Y,কৃষিপর্যটন,কৃষিপর্য
1250,কৃষিবনবিদ্যাকে,Y,কৃষিবনবিদ্যা,কৃষিবনবিদ্যা
1251,কৃষ্টালসিটিতে,Y,কৃষ্টালসিটি,কৃষ্টালসি
1252,কৃষ্ণগড়,Y,কৃষ্ণগড়,কৃষ্ণ
1253,কৃষ্ণরাজপুরা,Y,কৃষ্ণরাজপুরা,কৃষ্ণরাজপুরার
1254,কৃষ্ণানের,Y,কৃষ্ণান,কৃষ্ণান
1255,কেইনসকে,Y,কেইনস,কেইনস
1256,কেওটদের,Y,কেওটা,কেওট
1257,কেচের,Y,কেচ,কেচ
1258,কেঞ্জির,Y,কেঞ্জি,কেঞ্জি
1259,কেতাদোরস্ত,Y,কেতাদোরস্ত,কেতা
1260,কেদেঁছো,Y,কাদা,কাদা
1261,কেনটুকি,Y,কেনটুকি,কেন
1262,কেনসিটংনের,Y,কেনসিটংন,কেনসিটংন
1263,কেনারামের,Y,কেনারাম,কেনারাম
1264,কেন্দ্রস্থলটির,Y,কেন্দ্রস্থল,কেন্দ্র
1265,কেপিকের,Y,কেপিক,কেপিক
1266,কেবিনেই,Y,কেবিন,কেবিন
1267,কেভসোগ্লু,Y,কেভসোগ্লু,কেভসো
1268,কেভিতে,Y,কেভি,কেভি
1269,কেভেলিদি,Y,কেভেলিদি,কেভেলি
1270,কেম্পেইনেও,Y,কেম্পেইন,কেম্পেইনে
1271,কেরনের,Y,কেরন,কেরন
1272,কেলেব,Y,কেলেব,কেলেল
1273,কেশভের,Y,কেশভ,কেশভ
1274,কোঅপারেন্টে,Y,কোঅপারেন্ট,কোঅপারেন্ট
1275,কোটকে,Y,কোট,কোট
1276,কোটগুলিকে,Y,কোট,কোট
1277,কোডবেসের,Y,কোডবেস,কোডবেস
1278,কোডায়িত,Y,কোড,কোডায়ন
1279,কোডিংয়ের,Y,কোডিং,কোডিং
1280,কোডিগনাইটার,Y,কোডিগনাইটার,কোডিগনা
1281,কোডেইনের,Y,কোডেইন,কোডেইন
1282,কোনকিছুতেই,Y,কোনকিছু,কোনকিছু
1283,কোনটিতেই,Y,কোনটি,কোনটি
1284,কোনিগ্সবার্গে,Y,কোনিগ্সবার্গ,কোনিগ্সবার্গ
1285,কোনোকিছুতেই,Y,কোনোকিছু,কোন
1286,কোন্ডাপল্লির,Y,কোন্ডাপল্লি,কোন্ডাপল্লি
1287,কোপেনহেগেনের,Y,কোপেনহেগেন,কোপেনহেগেন
1288,কোবানে,Y,কোবান,কোবান
