,Inflected_sentences
415,"কোয়ালিটি ও এনভায়রনমেন্টাল ম্যানেজমেন্ট সিস্টেমের পাশাপাশি উচ্চমানের পেশাগত স্বাস্থ্য ও কর্মপরিবেশ এবং উত্তম নিরাপত্তাব্যবস্থার জন্য ওয়ালটন ডিজি-টেক পেয়েছে আইএসও ৪৫০০১, ২০১৮ সনদ।"
416,"প্রকল্পসমূহ বাস্তবায়িত হলে তা কেবল মাতারবাড়ি অঞ্চলের উন্নয়নই নয়, সমগ্র দেশের অর্থনীতিতেও বিরাট ভূমিকা রাখবে।"
417,কিন্তু ঢাকায় সফরের দ্বিতীয় দিন তিনি রোহিঙ্গা পরিবারের ১৬ সদস্যের কাছ থেকে তাদের দুর্দশার কথা শুনে আর নিজেকে সংযত রাখতে পারেননি।
418,অনুষ্ঠানের শুরুতে বাংলাদেশ অর্থনৈতিক অঞ্চল কর্তৃপক্ষের নির্বাহী চেয়ারম্যান পবন চৌধুরী এমআইডিআই প্রকল্পের মূল নকশা প্রধানমন্ত্রীর কাছে হস্তান্তর করেন।
419,"আওয়ামী লীগ সভাপতি জাতীয় তিন নেতা সৈয়দ নজরুল ইসলাম, তাজউদ্দিন আহমেদ ও ক্যাপ্টেন মনসুর আলীর কবরে পুষ্পস্তবক অর্পণ করে শ্রদ্ধা নিবেদন করেন।"
420,তারা সন্ত্রাসী এবং মানুষের জীবন ধ্বংস করে দেয়।
421,তিনি সৌদি বাদশাহ ও দুটি পবিত্র মসজিদের হেফাজতকারী সালমান বিন আব্দুল আজিজ আল সৌদের আমন্ত্রণে ওই অনুষ্ঠানে যোগদান করবেন।
422,প্রধানমন্ত্রী ও তার সফরসঙ্গীদের বহনকারী আমিরাতের একটি বিমান দুবাই আন্তর্জাতিক বিমানবন্দর থেকে ঢাকার উদ্দেশে রওয়ানা দেবে।
423,"স্বরাষ্ট্রমন্ত্রী বলেন, ইতোমধ্যে সারা দেশে অবৈধ ক্যাসিনো ব্যবসার বিরুদ্ধে অভিযান শুরু করেছে আইনশৃঙ্খলা বাহিনী।"
424,"পররাষ্ট্র মন্ত্রণালয় সূত্র জানায়, ন্যাম সম্মেলনের ফাঁকে প্রধানমন্ত্রী বিভিন্ন রাষ্ট্র ও সরকারপ্রধানদের সাথে সাক্ষাৎ করবেন।"
425,"২০২০ সালে একুশে বইমেলায় নতুন বই প্রকাশিত হয়েছে ৪,৯১৯টি।"
426,"জিডিপি প্রবৃদ্ধিতে বিশ্বের শীর্ষে বাংলাদেশ, অর্থমন্ত্রী"
427,"দেশে জঙ্গিবাদ যাতে মাথাচাড়া দিয়ে উঠতে না পারে, সেই জন্য পদক্ষেপ নেওয়া হয়েছে।"
428,"সন্ত্রাসবাদ ও জলবায়ু পরিবর্তনের প্রভাব মোকাবিলায় বাংলাদেশের অব্যাহত প্রচেষ্টার প্রশংসা করে ভিয়েতনামের রাষ্ট্রদূত বলেন, ""আমাদের মধ্যে অনেক মিল রয়েছে এবং আমরা একে অপরের কাছে শিখতে পারি।"""
429,"তিনি বলেন, ""আমরা দুজনই সম্মত হয়েছি যে আন্তর্জাতিক বাণিজ্য ও বিনিয়োগ প্রবাহ অর্থনৈতিক সহযোগিতা জোরদারে দুটি গুরুত্বপূর্ণ মাধ্যম এবং আমরা আঞ্চলিক স্থিতিশীলতা ও শান্তির ওপর বিশেষ গুরুত্বারোপ করেছি।"""
430,"বৈঠকের পর প্রধানমন্ত্রীর প্রেস সচিব ইহসানুল করিম সাংবাদিকদের বলেন, এ সময় দুই নেত্রী তাদের পুরনো দিনের কথা স্মরণ করেন।"
431,ঋণ খেলাপি ও অর্থ পাচারকারীদের তালিকা তৈরি করে তা প্রকাশের জন্য বাংলাদেশ ব্যাংকের গভর্নরকে নির্দেশ দিয়েছেন হাইকোর্ট।
432,ইভিএম নিয়ে বেশি সময় ব্যয় না করার পরামর্শ দিয়েছে নাগরিক সমাজ।
433,বাংলাদেশে এখন রোহিঙ্গাদের সংখ্যা ১১ লাখের বেশি।
434,২৯ সেপ্টেম্বর স্থানীয় সময় রাত ৯টায় প্রধানমন্ত্রী ইতিহাদ এয়ারওয়েজের একটি ফ্লাইটে করে ঢাকার উদ্দেশে নিউইয়র্ক ত্যাগ করবেন।
435,বিচারপতি একেএম আসাদুজ্জামান ও বিচারপতি এস এম মজিবুর রহমানের হাইকোর্ট বেঞ্চ এ জামিন মঞ্জুর করেন।
436,এ মাসেই নতুন মজুরি কাঠামো বাস্তবায়নঃ বাণিজ্যমন্ত্রী
437,বৃহস্পতিবার রাজধানী ঢাকার আগারগাঁওয়ে নির্বাচন ভবনে এক সংবাদ সম্মেলনে নির্বাচন কমিশনের সচিব হেলালুদ্দীন আহমদ এ নির্বাচনের তফসিল ঘোষণা করেন।
438,জালের মতো সারা দেশে অসংখ্য নদী ছড়িয়ে-ছিটিয়ে আছে।
439,"শেখ হাসিনা এ সংকটের গভীরতা উপলব্ধির জন্য জাপানের প্রধানমন্ত্রীর প্রশংসা করে বলেন, ""প্রধানমন্ত্রী আবে ও আমি এই মানবিক ও রাজনৈতিক সংকটের একটি টেকসই ও আশু সমাধান নিয়ে আলোচনা করেছে।"""
440,"প্রসঙ্গত, দক্ষিণ কোরিয়ায় ইতিমধ্যে প্রাণঘাতী করোনাভাইরাসে আক্রান্ত কয়েকজনকে শনাক্ত করা হয়েছে।"
441,গাজীপুরে বাস ও কাভার্ডভ্যানের সংঘর্ষে দুইজন নিহত ও অন্তত ১০ জন আহত হয়েছেন।
442,চট্টগ্রামে কর্ণফুলীর তীরেও অভিযানে অনেক অবৈধ স্থাপনা উচ্ছেদ করা হয়।
443,"পরে খালেদা জিয়ার আইনজীবী কায়সার কামাল বলেছেন, ""রিট আবেদনটি অন্য কোনো বেঞ্চে শুনানির জন্য উপস্থাপন করা হবে।"""
444,"রেজা নাওফর শেখ হাসিনাকে বাংলাদেশের একজন বিচক্ষণ ও দূরদর্শী প্রধানমন্ত্রী হিসেবে অভিহিত করে বলেন, 'আমরা ইরানের সব মানুষ আপনাকে ভালোবাসি।'"
445,সরকারের ওপর ৯৫ শতাংশ জনগণের সমর্থন নেই দাবি করে তিনি বলেন আওয়ামী লীগ সকল গণতান্ত্রিক রীতিনীতি ও আদর্শকে বিসর্জন দিয়ে স্বৈরতন্ত্রের পথে হাঁটছে।
446,আমরা স্বল্প মেয়াদি লাভের জন্য দীর্ঘ মেয়াদি স্বার্থ বন্ধ করে দিতে পারি না।
447,ফলে তারা পাসপোর্ট পাওয়ার চেষ্টা করলে তাদের সহজেই সনাক্ত করা যায়।
448,"উদাহরণস্বরূপ অনলাইনে অনুসন্ধান শিল্পের দানব গুগল মিথ্যা, অনেকাংশে মিথ্যা, অর্ধসত্য, অনেকাংশে সত্য, এবং সত্য হিসেবে সংবাদগুলিকে শ্রেণিবদ্ধ করে ভাইরাল দাবিগুলি যাচাই করার একটি বৈশিষ্ট্য তৈরি করেছে।"
449,আমাদের প্রত্যাশা তৃতীয় মেয়াদেও প্রধানমন্ত্রী শেখ হাসিনার সরকার আগের দুই মেয়াদের উন্নয়ন পরিকল্পনা ও কর্মসূচির ধারাবাহিকতা বজায় রাখবে।
450,"কর্ণফুলী নদী শুধু চট্টগ্রামের সম্পদ নয়, এটি জাতীয় অর্থনীতির জন্য অত্যন্ত গুরুত্বপূর্ণ।"
451,এমনকি এধরনের হত্যাকান্ডকে সমর্থন করছে অপরাধ দমনের মাধ্যম হিসেবে
452,পরে জাইকার সভাপতি শিনিচি কিতাওকা তার অবস্থানস্থলে তার সঙ্গে সাক্ষাৎ করবেন।
453,বিমানটির স্পেনের স্থানীয় সময় ৫টা ৪০ মিনিটে মাদ্রিদ টোরেজন বিমানবন্দরে অবতরণের কথা রয়েছে।
454,একই দিনে প্রধানমন্ত্রী এক কমিউনিটি সংবর্ধনা অনুষ্ঠানে যোগ দেবেন।
455,বেলা ৩টার দিকে বঙ্গবন্ধু সেতুর পশ্চিম মহাসড়কে এ দুর্ঘটনা ঘটে।
456,আগামী ২ জুলাই তাদেরকে আদালতে হাজির হতে বলা হয়েছে।
457,"প্রধানমন্ত্রী বলেন, একটি অনিঃসরণকারী দেশ এবং সম্পদ ও সামর্থের সীমাবদ্ধতা থাকার পরেও বাংলাদেশ তার জনগণের জীবনে পার্থক্য তৈরিতে তার সর্বোচ্চ প্রচেষ্টা গ্রহণ করছে।"
458,জমি না কেনা পর্যন্ত স্থগিতাদেশ অব্যাহত থাকবে।
459,"আমরা মনে করি, সিস্টেম লস ক্রমান্বয়ে কমিয়ে আনা সম্ভব।"
460,এর আগে বুধবার দুপুরে এশিয়ান ডেভেলপমেন্ট ব্যাংক (এডিবি) পূর্ভাবাস দিয়েছিল চলতি অর্থবছর শেষে জিডিপির প্রবৃদ্ধি হবে ৮ শতাংশ।
461,ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদি ১৭ মার্চ 'মুজিব বর্ষ' উদযাপনে যোগ দিতে বাংলাদেশ সফর করবেন।
462,"এ প্রসঙ্গে ওয়ালটনের অ্যাসিস্ট্যান্ট ডিরেক্টর মো. নাজমুল হোসেন (ইভান) বলেন, ""এটা অবশ্যই আনন্দের একটি বিষয়।"""
463,"তিনি বলেন, যুক্তরাজ্যের নতুন প্রধানমন্ত্রী হিসেবে আপনার দায়িত্ব গ্রহণ আপনার দেশকে ঐক্য, সমৃদ্ধি ও গতিশীলতার নতুন উচ্চতায় নিয়ে যেতে আপনার নেতৃত্বে যুক্তরাজ্যের জনগণের দৃঢ় আস্থা ও বিশ্বাসের প্রতিফলন।"
464,সাবেক রাষ্ট্রপতি ও জাতীয় পার্টির চেয়ারম্যান হুসেইন মুহাম্মদ এরশাদের কবর রংপুরে তার 'পল্লী নিবাস' বাসভবনে প্রস্তুত করা হয়েছে।
465,প্রধানমন্ত্রী শেখ হাসিনা বিকেলে রাষ্ট্রপতি প্রাসাদের সবুজ চত্বরে আয়োজিত এই সংবর্ধনায় যোগ দেন।
466,৪ জুন তিনি ফিনল্যান্ডের রাষ্ট্রপতির সঙ্গে তার সরকারি বাসভবনে সৌজন্য সাক্ষাৎ করবেন।
467,প্রধান নির্বাচন কমিশনার (সিইসি) ও চার নির্বাচন কমিশনারও উপস্থিত ছিলেন।
468,মঙ্গলবার বিচারপতি এম ইনায়েতুর রহিমের নেতৃত্বাধীন হাইকোর্ট বেঞ্চ এ আদেশ দেন।
469,"এতে বলা হয়, বাংলাদেশের ব্যাংকিং খাতের সংস্কার উচ্চ বেসরকারি বিনিয়োগ আকর্ষণ করবে, যা প্রবৃদ্ধির সহায়ক হবে।"
470,এই অভিশাপ নির্মূলে সম্মিলিত প্রয়াসের আহ্বান জানান তিনি।
471,গোয়েন্দা বাহিনীর তথ্য অনুযায়ী বিমানবন্দরে নিরাপত্তা জোরদার করা হবে বলে জানিয়েছেন স্বরাষ্ট্রমন্ত্রী আসাদুজ্জামান খান কামাল।
472,জাতীয় পার্টি ৪১ ভাইস চেয়ারম্যানের মধ্যে ৩৭ জনের নাম ঘোষণা করেছে।
473,তবে শরীরে কিছু আঘাতের চিহ্ন পাওয়া গেছে।
474,সংযুক্ত আরব আমিরাতের সফররত একটি ব্যবসায়ী প্রতিনিধিদল মঙ্গলবার ঢাকায় বিডা কার্যালয়ে বিডার চেয়ারম্যানের সাথে সৌজন্য সাক্ষাৎকালে তিনি এসব মন্তব্য করেন।
475,মার্চের শেষ দিকে বা এর পরে নতুন ভোটার তালিকা ব্যবহার করে ভোটগ্রহণ হবে।
476,"অভ্যর্থনা অনুষ্ঠানে দ্বিপক্ষীয় বাণিজ্যিক স্বার্থে শেখ হাসিনা বাংলাদেশের আরএমজি, আইটি, কৃষি ও বিশেষায়িত অর্থনৈতিক অঞ্চলে বড় ধরনের বিনিয়োগ করার জন্য ইউএই'র প্রতি আহ্বান জানান।"
477,শাহজালাল আন্তর্জাতিক বিমানবন্দরের নতুন পরিচালক হ‌য়ে‌ছেন উইং কমান্ডার তৌহিদ-আল-আহসান।
478,"তিনি আরো বলেন, বাংলাদেশ এশিয়ান হাইওয়ে ও এশিয়ান রেলওয়ে প্রতিষ্ঠায় ভূমিকা পালন করছে।"
479,"ঢাকায় নবনিযুক্ত জাপানী রাষ্ট্রদূত নাওকি ইতো বলেছেন, তাঁর দেশ প্রলম্বিত রোহিঙ্গা সমস্যার সমাধানে বাংলাদেশকে যেকোন প্রকারের সহায়তা করতে প্রস্তুত রয়েছে।"
480,দুবাই এয়ার শো'র ফাঁকে আবুধাবির যুবরাজ এবং সংযুক্ত আরব আমিরাতের সশস্ত্র বাহিনীর ডেপুটি সুপ্রিম কমান্ডার শেখ মোহাম্মদ বিন জায়েদ আল নাহিয়ান বাংলাদেশ প্রধানমন্ত্রীর সাথে এক সৌজন্য সাক্ষাৎ করেন।
481,আন্তর্জাতিক মান অনুসরণ করে দেশে রেফ্রিজারেটর তৈরি করছে ওয়ালটন।
482,বুধবার দুপুরে সচিবালয়ে সংবাদ সম্মেলনে মন্ত্রী এ কথা জানান।
483,ফ্লাইটটি স্থানীয় সময় বিকেল ৩টা ৫৫মিনিটে লন্ডনের হিথ্রো আন্তর্জাতিক বিমানবন্দরে পৌঁছানোর কথা রয়েছে।
484,তিনি এই সড়কের নামফলক উন্মোচনের জন্য প্রধানমন্ত্রী শেখ হাসিনাকে আনুষ্ঠানিকভাবে আমন্ত্রণ জানান।
485,আর সামাজিক ও মানবসম্পদের সূচকে এখন দক্ষিণ এশিয়ায় শীর্ষে রয়েছে বাংলাদেশ।
486,আশঙ্কার বিষয় হলো রাখাইনের ভবিষ্যৎ উন্নয়নের স্বার্থে জাতিসংঘের প্রাক্তন মহাসচিব কফি আনানের নেতৃত্বাধীন কমিশনের চূড়ান্ত প্রতিবেদন জমা দেয়ার ২৪ ঘন্টার কম সময়ের মধ্যে এ সংঘাত শুরু হয়ে।
487,দুপুর ১২টায় সচিবালয়ে বৈঠকের বিষয়ে সাংবাদিকদের ব্রিফ করবেন মন্ত্রিপরিষদ সচিব।
488,"প্রেস সচিব আরো বলেন, প্রধানমন্ত্রী আগামী ৫ আগস্ট দেশে ফিরবেন বলে আশা করা হচ্ছে।"
489,"প্রকল্পের সঙ্গে সংশ্লিষ্ট কর্মকর্তারা জানান, মিরেরসরাই থেকে টেকনাফ পর্যন্ত সমুদ্র তীরবর্তী অর্থনৈতিক করিডোর বাংলাদেশের অর্থনৈতিক সমৃদ্ধির জন্য খুবই গুরুত্বপূর্ণ।"
490,ছয় সদস্যের বাংলাদেশ প্রতিনিধিদল বর্তমানে চীনে অবস্থান করছে।
491,প্রধানমন্ত্রী বিকেল ৪টা ২৫ মিনিটে (স্থানীয় সময়) নিউইয়র্কে জন এফ কেনেডি আন্তর্জাতিক বিমানবন্দরে পৌঁছাবেন।
492,"অর্থমন্ত্রী সমগ্র জাতির পক্ষ থেকে প্রধানমন্ত্রী শেখ হাসিনাকে ধন্যবাদ জ্ঞাপন করে বলেন, বাংলাদেশ এগিয়ে যাচ্ছে এবং এগিয়ে যাবে।"
493,"সিরাজদিখান থানার অফিসার ইনচার্জ মো. ফরিদ উদ্দিন জানান, অভিযোগের প্রেক্ষিতে শিক্ষককে গ্রেপ্তার করে থানায় নিয়ে আসা হয়েছে।"
494,দুই প্রতিবেশী দেশ প্রথমবারের মতো দিবা-রাত্রির টেস্ট ম্যাচ খেলবে।
495,"তিনি বলেন, প্রধানমন্ত্রী বাংলাদেশি ডাক্তারদের পরামর্শ অনুযায়ী লন্ডনে চোখের চিকিৎসাও গ্রহণ করবেন।"
496,চোখের চিকিৎসা ও নিয়মিত স্বাস্থ্য পরীক্ষার জন্য লন্ডন গেলেন রাষ্ট্রপতি মো. আবদুল হামিদ।
497,"২০১৭ সালের শেষ দিকে বিশ্বজুড়ে প্রকাশিত এক প্রতিবেদনে বলা হয়, বিশ্বে দূষিত বায়ুর শহরগুলোর মধ্যে দ্বিতীয় অবস্থানে ঢাকা।"
498,"তিনি প্রাকৃতিক দুর্যোগ, বিশেষ করে জলোচ্ছ্বাস থেকে ক্ষতি হ্রাস করার জন্য বৈশ্বিক সতর্কবাণী ব্যবস্থাকে শক্তিশালী করার উপর জোর দেন।"
499,বক্তারা দেশে জ্বালানি গ্যাস ও কয়লা উত্তোলনে জোরালো পদক্ষেপ নেওয়ার কথা বলেছেন।
500,বৃহস্পতিবার আন্তঃবাহিনী জনসংযোগ পরিদপ্তরের (আইএসপিআর) সংবাদ বিজ্ঞপ্তিতে এ তথ্য জানানো হয়েছে।
501,আমরা বাংলাদেশ সরকারের সঙ্গে স্টার্টআপ সংস্কৃতির উন্নয়ন এবং সাইবার সুরক্ষায় কাজ করার ব্যাপারে চুক্তিবদ্ধ হয়েছি।
502,রাষ্ট্রশক্তির বিরুদ্ধে যুদ্ধ ঘোষণা করে কোনো গোষ্ঠী টিকে থাকতে পারে না।
503,"মাসুদ রেজওয়ান বলেন, ""তারেক রহমান নতুন পাসপোর্টের জন্য আবেদন করেছেন কি না তা আমার জানা নেই।"""
504,তাই বিশ্ববিদ্যালয়টিকে দুই মাসের আলটিমেটাম দিয়েছে শিক্ষা মন্ত্রণালয়।
505,এশিয়া-প্যাসিফিকে দ্রুততম প্রবৃদ্ধি অর্জন করেছে বাংলাদেশ
506,"প্রধানমন্ত্রীর প্রেস সচিব ইহ্সানুল করিম বলেন, প্রধানমন্ত্রী বৃহস্পতিবার সকালে ইতালির রাজধানী রোমের নিকটে অবস্থিত ভ্যাটিকান সিটি যান এবং পোপের সঙ্গে সাক্ষাৎ করেন।"
507,বৈঠকের পরে প্রধানমন্ত্রীর প্রেস সচিব ইহসানুল করিম সাংবাদিকদের ব্রিফ করেন।
508,"শেখ হাসিনা বলেন, সৌদি আরব বাংলাদেশের মানুষের হৃদয়ে এক বিশেষ স্থান অধিকার করে আছে।"
509,"সন্ত্রসবাদ সম্পর্কে শেখ হাসিনা বলেন, তার সরকার সমাজের সব শ্রেণির মানুষকে নিয়ে সন্ত্রাসবাদের বিরুদ্ধে লড়াই করার জন্য সচেতনতা তৈরি করছে।"
510,"এটিকে একটি বিচ্ছিন্ন ঘটনা হিসাবে বর্ণনা করেছেন এবং ""ক্রসফায়ার"" শব্দটি ব্যবহার করার জন্য অধিকার সংস্থাগুলিকে দোষ দিয়েছেন।"
511,সহকারী অ্যাটর্নি জেনারেল ইউসুফ মাহমুদ মোরশেদ আদালতের আদেশের বিষয়টি নিশ্চিত করেছেন।
512,"প্রধানমন্ত্রী শেখ হাসিনাও মার্শাল দ্বীপপুঞ্জের জনগণের শান্তি, অগ্রগতি ও সমৃদ্ধি কামনা করেন।"
513,একাদশ জাতীয় সংসদ নির্বাচনে আওয়ামী লীগের নিরঙ্কুশ বিজয়ে জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমানের প্রতি গভীর শ্রদ্ধা নিবেদন করেছেন প্রধানমন্ত্রী ও আওয়ামী লীগ সভাপতি শেখ হাসিনা।
514,তারা ভারত থেকে প্রাপ্ত ঋণে কেনা ৬০০ বাস ও ৫০০ ট্রাক বিআরটিসিকে সরবরাহের উদ্বোধন করবেন।
515,তবে ভারত ও ইংল্যান্ড থেকে চারজন করে খেলোয়াড় আইসিসির তালিকায় স্থান পেয়েছেন।
516,জলবায়ু পরিবর্তনের প্রভাব ক্রমাবর্ধমানভাবে আমাদের সভ্যতার ক্ষতি সাধন করছে।
517,দুই নেতা মিয়ানমার থেকে বাংলাদেশে ১০ লাখের বেশি রোহিঙ্গা জনগোষ্ঠী পালিয়ে আসার ফলে উদ্ভূত দীর্ঘস্থায়ী সংকটের 'একটি টেকসই ও আশু সমাধান' নিয়ে আলোচনা করেন।
518,"একই সময় অর্থমন্ত্রী আ হ ম মুস্তফা কামাল বলেছেন, চলতি অর্থ বছরে ৮.৩ শতাংশ জিডিপি অর্জন করা সম্ভব হবে।"
519,শেখ হাসিনা আজ বিকেলে একটি ট্রেনে ইতালির মিলান নগরীর উদ্দেশে রওয়ানা দেবেন।
520,রাজধানীর কারওয়ান বাজার এলাকায় সড়ক দুর্ঘটনায় ইসমাইল হোসেন (২৭) নামে একজন মারা গেছেন।
521,ঢাকায় প্রাথমিকভাবে বুড়িগঙ্গা তীরের ছয় শতাধিক অবৈধ স্থাপনা চিহ্নিত করা হয়েছে।
522,প্রধানমন্ত্রী বৃহস্পতিবার তার তেজগাঁও কার্যালয়ে ৪ কোটি ২৫ লাখ টাকা অনুদানের চেক গ্রহণ করেন।
523,"৩১ মে, প্রধানমন্ত্রী শেখ হাসিনা মক্কায় ১৪তম ওআইসি শীর্ষ সম্মেলনে অংশ নিতে সৌদি আরবের উদ্দেশে জাপান ত্যাগ করেন।"
524,প্রধানমন্ত্রী বৃহস্পতিবার বাকুর উদ্দেশ্যে ঢাকা ত্যাগ করেন।
525,২১শে সেপ্টেম্বর কলেজের অধ্যক্ষ ও বিশ্ববিদ্যালয়ের জীববিজ্ঞান অনুষদের ডিন বরাবর স্মারকলিপি পেশ করেন শিক্ষার্থীরা।
526,"সরাইল থানার ভারপ্রাপ্ত কর্মকর্তা রূপক কুমার সাহা জানান, বর্তমানে পরিস্থিতি নিয়ন্ত্রণে রয়েছে।"
527,তিনি নির্দিষ্ট সময়ের আগেই লক্ষ্য পূরণে আশাবাদী।
528,প্রধানমন্ত্রীকে ফিলিস্তিনের প্রেসিডেন্টের রমজানের শুভেচ্ছা
529,রাজধানীর হলি আর্টিজন রেস্তোরাঁয় জঙ্গি হামলা মামলার সাক্ষ্য গ্রহণ সহসাই শেষ হবে।
530,ফেনীর মাদ্রাসা ছাত্রী নুসরাত হত্যার ঘটনায় ওসি মোয়াজ্জেমের নামে মামলা করাসহ সাম্প্রতিক বিভিন্ন ইস্যুতে তার ভূমিকার জন্য দেশজুড়ে একজন পরিচিত ব্যক্তিত্ব হয়ে উঠেছেন এই তরুন আইনজীবী।
531,"রয়টার্স জানিয়েছে, জাপানি সম্রাট আগামী সপ্তাহে শতাব্দি পুরনো প্রথা অনুযায়ী অনুষ্ঠানে তার অভিষেক ঘোষণা করবেন, অনুষ্ঠানে ১৭০টির বেশি দেশের রাষ্ট্রপ্রধান ও উচ্চপদস্থ কর্মকর্তাসহ প্রায় ২ হাজার লোক উপস্থিত থাকবেন।"
532,তিনি ঢাকা বিশ্ববিদ্যালয় থেকে সমাজবিজ্ঞানে স্নাতক ও স্নাতকোত্তর ডিগ্রি অর্জন করেছেন।
533,সম্প্রতি হাইকোর্টের এক রায়ে নদীকে 'জীবন্ত সত্ত্বা' হিসেবে স্বীকৃতি দিয়ে নদী সুরক্ষায় সরকারসহ সংশ্লিষ্ট সবাইকে দায়িত্বশীল ভূমিকা পালনের তাগিদ দেয়া হয়েছে।
534,চলতি অর্থবছরে বাংলাদেশের মোট অর্থনৈতিক প্রবৃদ্ধি ৭.৩ শতাংশ হবে বলে পূর্বাভাস দিয়েছে বিশ্বব্যাংক।
535,রোববার রাজধানীর আর্মি স্টেডিয়ামে স্যার ফজলে হাসান আবেদকে শ্রদ্ধা জানাতে এসে সাংবাদিকদের এ কথা বলেন তিনি।
536,"প্রেস সচিব আরো জানান, প্রধানমন্ত্রী লন্ডন থেকে একাধিক গুরুত্বপূর্ণ ফাইল ডিজিটালি স্বাক্ষর করেছেন।"
537,রোহিঙ্গাদের তাদের নিজ বাসভূমিতে নিরাপদ ও মর্যাদাপূর্ণ প্রত্যাবাসনে বাংলাদেশের অবস্থানের প্রতি জাপান পূর্ণসমর্থন ব্যক্ত করেছে।
538,জাতীয় মসজিদ বায়তুল মোকাররমের পেশ ইমাম মাওলানা মুফতি মহিউদ্দিন কাসেমী মোনাজাত পরিচালনা করেন।
539,বলা হচ্ছে গত বছরের অক্টোবরের পর এ পর্যন্ত এটিই সবচেয়ে ভয়াবহ সংঘাত।
540,নতুন মন্ত্রিসভার প্রথম বৈঠক অনুষ্ঠিত হবে ২১ জানুয়ারি
541,এ বিষয়ে হাসপাতাল কর্তৃপক্ষ রাজধানীর শেরেবাংলা নগর থানায় একটি সাধারণ ডায়েরি করে।
542,রোববার বিকেল সাড়ে ৪টার দিকে প্রধানমন্ত্রীর কার্যালয়ে এ বৈঠক অনুষ্ঠিত হয়।
543,"রোহিঙ্গাদের সুরক্ষা, নিরাপত্তা ও মর্যাদার সাথে তাদের নিজভূমিতে স্বেচ্ছায় ফিরে যাওয়াই সংকটের একমাত্র সমাধান।"
544,"দূতাবাসের প্রধান মো. অহিদুজ্জামান লিটন স্বাক্ষরিত বিজ্ঞপ্তিতে বলা হয়েছে, পরবর্তী নির্দেশ না দেওয়া পর্যন্ত বাংলাদেশীদের কর্মস্থল ও বাসস্থান অবস্থান করতে এবং সভা ও সমাবেশ এড়িয়ে চলতে অনুরোধ করা হয়েছে।"
545,"রোহিঙ্গারা যখন বাংলাদেশে ঢুকেছে, তাদের বায়মেট্রিকভাবে নিবন্ধিত করা হয়েছে।"
546,"পাশাপাশি সুপ্রিম কোর্ট ও হাইকোর্টের বিচারপতিগণ, বিভিন্ন মন্ত্রণালয়, সরকারি সংস্থা, অধিদপ্তরের পদস্থ কর্মকর্তারা ইফতারে অংশ নেন।"
547,প্রধানমন্ত্রীর কার্যালয়ের এসডিজি বিষয়ক মুখ্য সমন্বয়ক মো. আবুল কালাম আজাদ অনুষ্ঠানটি সঞ্চালনা করেন।
548,মঙ্গলবার জনপ্রশাসন মন্ত্রণালয় এ সংক্রান্ত আদেশ জারি করে।
549,তিনি স্থানীয় সময় ৫টা ২৫ মিনিটে বাদশাহ আব্দুল আজিজ আন্তর্জাতিক বিমানবন্দরে পৌঁছবেন।
550,প্রধানমন্ত্রীর মুখ্য সচিব মো. নজিবুর রহমান ও অর্থসচিব আবদুর রউফ তালুকদার বৈঠকে উপস্থিত ছিলেন।
551,রোহিঙ্গাদের ওপর মিয়ানমার যা করছে তা সভ্যতার সব সীমা লঙ্ঘন করেছে।
552,লাশ ময়নাতদন্তের জন্য মুন্সীগঞ্জ জেনারেল হাসপাতালের মর্গে পাঠানো হয়েছে।
553,"যিনি জনসম্মুখে এ ধরনের ""ক্রসফায়ারে"" হত্যাকান্ডের সমর্থন করেছিলেন।"
554,আগামীতে এই সম্পর্ক আরো উচ্চতর এক নতুন মাত্রায় যাবে বলে তিনি আশা প্রকাশ করেন।
555,রাজধানীর আশপাশে গড়ে ওঠা অবৈধ ইটভাটা বন্ধ করতে হবে।
556,"তিনি বলেন, আমাদের লক্ষ্য হচ্ছে বাংলাদেশ আওয়ামী লীগকে একটি শক্তিশালী দলে পরিণত করা।"
557,"""পশ্চিমা অবরোধ সত্ত্বেও ইরান এগিয়ে যাচ্ছে"" উল্লেখ করে রাষ্ট্রদূত বলেন, ""আমরা এই অঞ্চলের উত্তেজনা প্রশমনে কাজ করে যাচ্ছি, কেননা আমরা কোন যুদ্ধবাজ দেশ নই।"""
558,"শেখ হাসিনা বলেন, রোহিঙ্গাদের নিজ দেশে ফিরে যাওয়ার মাধ্যমেই সমস্যার সমাধান হবে।"
559,"প্রধানমন্ত্রী বলেন, তিনি ও আবে জাপান-বাংলাদেশ সম্পর্ককে সহযোগিতা ও অংশীদারিত্বের এক নতুন উচ্চতায় নিয়ে যেতে তাদের অঙ্গীকার পুনর্ব্যক্ত করেন।"
560,সোমবার সকালে তিনি ঢাকায় বঙ্গবন্ধু স্মৃতি জাদুঘরে জাতির জনক বঙ্গবন্ধু শেখ মুজিবুর রহমানের স্মৃতির প্রতি শ্রদ্ধা জানাবেন।
561,"প্রধানমন্ত্রী বলেন, জাতির পিতার একমাত্র লক্ষ্যই ছিল দেশকে স্বাধীন করা এবং সাধারণ জনগণের মৌলিক চাহিদাগুলো নিশ্চিত করা।"
