,sentence_main,sentence_lemma
461,যদিও সেটি তিনি ব্যবহারের জন্য বহন করছেন কলকাতা পুরসভার কাজে,যদি সেই তিনি ব্যবহার জন্য বহন করা কলকাতা পুরসভা কাজ
462,আলুর মধ্যে যে ভিটামিন বি বা মিনারেল আছে তার শতাংশই থাকে খোসার মধ্যে,আলু মধ্যে যে ভিটামিন বি বা মিনারেল আছে তার শতঅংশ থাকা খোসা মধ্যে
463,আমরা খদ্দর পরে পরে সেই ভেদটার উপর অখণ্ড সাদা রঙ বিছিয়ে দিয়েছি আবরণভেদ তুলে দিয়ে বর্ণভেদটার ছাল ছাড়িয়ে ফেলেছি,আমি খদ্দর পর পর সেই ভেদ উপর খণ্ড সাদা রঙ বিছানো দেওয়া আবরণভেদ তোলা দেওয়া বর্ণভেদ ছাল ছাড়ানো ফেলা
464,তেলঙ্গানার স্বীকৃতিতে উল্লসিত টি আর এস হায়দরাবাদ জুলাই,তেলঙ্গানা স্বীকৃত উল্লাস টি আর এস হায়দরাবাদ জুলাই
465,সে তাহা ছুঁইল না,তিনি তাহা ছোঁয়া না
466,নলিনের আর্তকণ্ঠ যখন পরিশ্রান্ত ও মৌনপ্রায় হইয়া আসিয়াছে এমন সময় আর-একটি জীবের ভীত কাতরধ্বনি নিকটে ধ্বনিত হইতে লাগিল এবং সেই সঙ্গে ধাবমান মনুষ্যের দূরবর্তী চীৎকারশব্দ মিশ্রিত হইয়া মন্দিরের সম্মুখস্থ পথে একটা তুমুল কলরব উত্থিত হইল,নলিন আর্তকণ্ঠ যখন পরিশ্রম ও মৌনপ্রায় হওয়া আসা এমন সময় আরএক জীব ভীত কাতরধ্বনি নিকট ধ্বনি হওয়া লাগা এবং সেই সঙ্গ ধাবমান মনুষ্য দূরবর্তী চীৎকারশব্দ মিশ্র হওয়া মন্দির সম্মুখ পথ এক তুমুল কলরব উত্থিত হয়
467,অক্সফোর্ডে পড়ার জন্য যে প্রবেশিকা পরীক্ষা শতপর্ণা দিয়েছিল তাতেও সে সফল,অক্সফোর্ড পড়া জন্য যে প্রবেশ পরীক্ষা শতপর্ণা দেওয়া তা তিনি সফল
468,হাড়িডোম হলেও বুঝতুম কিন্তু মেথর,হাড়িডোম হওয়া বোঝা কিন্তু মেথর
469,বন্দুকের লাইসেন্স রয়েছে যে জেলায় তাঁর বাড়ি সেই এলাকায়,বন্দুক লাইসেন্স রওয়া যে জেলা তিনি বাড়ি সেই এলাকা
470,রাজত্ব বাড়ানোর পরে নতুন জঙ্গলে শিকার করতে যাওয়া ছিল মহারাজা জ্যোতিপ্রসাদের অন্যতম শখ,রাজত্ব বাড়ানো পর নতুন জঙ্গল শিকার করা যাওয়া থাকা মহারাজা জ্যোতিপ্রসাদ অন্য শখ
471,রাস্তার মাঝখান দিয়ে যায় কেন,রাস্তা মাঝখান দেওয়া যায় কেন
472,নতুন কোনও পোলিয়ো কেস মেলেনি দেশে,নতুন কোনও পোলিয়ো কেস মেলা দেশ
473,বাহিরে বড়োলোকের ভৃত্যের তর্জনস্বর শুনিয়া তাড়াতাড়ি শোক সংবরণ করিয়া বাহির হইয়া পড়িলাম,বাহিরে বড়োলোক ভৃত্য তর্জনস্বর শোনা তাড়াতাড়ি শোক সংবরণ করা বাহির হওয়া পড়া
474,এইরূপে বিনোদার সহিত নগেন্দ্রের প্রায়ই দেখাসাক্ষাৎ হইতে লাগিল,এইরূপ বিনোদা সহ নগেন্দ্র প্রায় দেখাসাক্ষাৎ হওয়া লাগা
475,এক সময় গ্রহের তকমা পাওয়া এখন বামন গ্রহ প্লুটো রয়েছে ওই ক্যুইপার বেল্টেই,এক সময় গ্রহ তকমা পাওয়া এখন বামন গ্রহ প্লুটো রওয়া ও ক্যুইপার বেল্ট
476,নগেন্দ্র ও বিনোদার আপত্তি হাসিয়া উড়াইয়া দিত,নগেন্দ্র ও বিনোদা আপত্তি হাসা ওড়ানো দেওয়া
477,ভারতে নাইজিরিয়া আফগানিস্তান বা পাকিস্তান থেকে মানুষ আসাযাওয়া করেন,ভারত নাইজিরিয়া আফগানিস্তান বা পাকিস্তান থেকে মানুষ আসাযাওয়া করা
478,গুরুদয়াল আসিয়া বালক ও তাহার মাতাকে তাড়াইয়া দিল,গুরুদয়া আসা বালক ও তিনি মাতা তাড়ানো দেওয়া
479,গৌরী পত্রখানি কেশে বাঁধিয়া খোঁপার মধ্যে ঢাকিয়া রাখিল,গৌরী পত্রখান কেশ বাঁধা খোঁপা মধ্যে ঢাকা রাখা
480,এ ছাড়া চা শিল্পের জন্য নয় দফা প্যাকেজেরও দাবি তুলেছেন অমিতবাবু,এ ছাড়া চা শিল্প জন্য না দফা প্যাকেজ দাবি তোলা অমিতবাবু
481,হরিহর বলিলেন এ জমিটা তো তবে ছাড়িয়া দিতে হয় আমি তো বৃদ্ধ বয়সে আদালতে সাক্ষি দিতে পারিব না,হরিহর বলা এ জমি তো তবে ছাড়া দেওয়া হয় আমি তো বৃদ্ধ বয়স আদালত সাক্ষি দেওয়া পারা না
482,বিধবার যত্নে ঠাকুরবাড়ির প্রাঙ্গণটি পরিষ্কার তক্তক্ করিতেছে কোথাও একটি তৃণমাত্র নাই,বিধবা যত্ন ঠাকুরবাড়ি প্রাঙ্গণ পরিষ্কার তক্তক্ করা কোথা এক তৃণমাত্র না
483,দক্ষিণ পূর্ব এশিয়ার এগারোটা দেশের মধ্যে একমাত্র ভারতে পোলিয়ো শেষ হচ্ছিল না বলে অঞ্চলটিকে পোলিয়ো মুক্ত ঘোষণা করতে পারছিল না বিশ্ব স্বাস্থ্য সংস্থা বা হু,দক্ষিণ পূর্ব এশিয়া এগারো দেশ মধ্যে একমাত্র ভারত পোলিয়ো শেষ হওয়া না বলে অঞ্চল পোলিয়ো মুক্ত ঘোষণা করা পারা না বিশ্ব স্বাস্থ্য সংস্থা বা হু
484,অর্থাৎ এ দেশে শিশুদের একটা বড় অংশ টিকায় বঞ্চিত হচ্ছে,অর্থাৎ এ দেশ শিশু এক বড় অংশ টিকা বঞ্চিত হওয়া
485,কিন্তু মধ্যমগ্রামের মতো শহরতলি থেকে বছরের শতপর্ণা সম্পূর্ণ নিজের চেষ্টায় যা করেছে তা প্রায় অসাধ্যসাধনের সমান,কিন্তু মধ্যগ্রাম মতো শহরতল থেকে বছর শতপর্ণা সম্পূর্ণ নিজ চেষ্টা যা করা তা প্রায় সাধ্যসাধনা সমান
486,ডায়েটারি ফাইবার কোষ্ঠকাঠিন্যের সমস্যা মেটায়,ডায়েটারি ফাইবার কোষ্ঠকঠিন সমস্যা মেটানো
487,পৃথিবীর সমস্ত মাধ্যাকর্ষণশক্তি সবলে বালককে নীচের দিকে টানিতে লাগিল কিন্তু ক্ষুদ্র আশু সেই বেঞ্চির উপর হইতে একখানি কোঁচা ও দুইখানি পা ঝুলাইয়া ক্লাসের সকল বালকের লক্ষ্যস্থল হইয়া বসিয়া রহিল,পৃথিবী সমস্ত মাধ্যাকর্ষণশক্তি সবল বালক নীচ দিক টানা লাগা কিন্তু ক্ষুদ্র আশু সেই বেঞ্চি উপর হওয়া একখান কোঁচা ও দুইখান পা ঝোলানো ক্লাস সকল বালক লক্ষ্যস্থল হওয়া বসা রওয়া
488,ছুটির মরসুম মানেই তাঁদের বুক দুরদুর,ছুটি মরসুম মানে তিনি বুক দুরদুর
489,অবশেষে সম্মান রক্ষার আশা মিলেছে,অবশেষ সম্মান রক্ষা আশা মেলা
490,সেইজন্য পতিত বালকের ব্যথিত দেহে জয়কালীর সজ্ঞান শাস্তি মুহুর্মুহু সবলে বর্ষিত হইতে লাগিল,সেইজন্য পতিত বালক ব্যথিত দেহ জয়কালী সজ্ঞান শাস্তি মুহুর্মুহু সবল বর্ষিত হওয়া লাগা
491,অগস্টেই বিলেত রওনা দিচ্ছে প্রদীপ মুখোপাধ্যায়ের মেয়ে,অগস্ট বিলেত রওনা দেওয়া প্রদীপ মুখোপাধ্যায় মেয়ে
492,ছেলেবেলা থেকে আমি গ্রন্থবিলাসী নতুন বইয়ের খবর পেলেই কিনে আনি,ছেলেবেলা থেকে আমি গ্রন্থবিলাসী নতুন বই খবর পাওয়া কেনা আনা
493,ব্রাক্ষ্মণ বুঝিলেন হতভাগিনীকে তিনি আশ্রয় দেওয়াতেই প্যারীর সর্বনাশ ঘটিল,ব্রাক্ষ্মণ বোঝা হতভাগ্য তিনি আশ্রয় দেওয়া প্যারী সর্বনাশ ঘটা
494,জয়কালী তখন মাতৃস্নেহমিশ্রিত ভক্তির সহিত ঠাকুরের দিকে দৃষ্টি নিবদ্ধ করিয়া দালানে বসিয়া একমনে মালা জপিতেছিলেন,জয়কালী তখন মাতৃস্নেহমিশ্র ভক্তি সহ ঠাকুর দিক দৃষ্টি নিবদ্ধ করা দালান বসা একমন মালা জপা
495,যে যাহাই বলুক এই বয়সটাতে ভালোবাসা দেওয়া এবং ভালোবাসা পাওয়াই রমণীর সকল সুখ এবং সকল কর্তব্যের চেয়ে স্বভাবতই বেশি মনে হয়,যে যাহা বলা এই বয়স ভালোবাসা দেওয়া এবং ভালোবাসা পাওয়া রমণী সকল সুখ এবং সকল কর্তব্য চেয়ে স্বভাব বেশি মন হয়
496,কিন্তু মেয়ের আগে থেকে বন্ধুদের সঙ্গে কোনও পার্টিতে যাওয়ার কথা,কিন্তু মেয়ে আগে থেকে বন্ধু সঙ্গ কোনও পার্টি যাওয়া কথা
497,খিচুড়ি যদি বেশি শুকনো লাগে তবে সামান্য গরম জল দিতে পারেন,খিচুড়ি যদি বেশি শুকনো লাগা তবে সামান্য গরম জল দেওয়া পারা
498,হর হর বোম্ বোম্,হর হর বোম্ বোম্
499,স্ত্রীলোকেরা তাঁহাকে ভয় করিত,স্ত্রীলোক তিনি ভয় করা
500,পরদিন হইতে পুঁটে বিপিনের উচ্ছিষ্ট ফেলিয়া রাখিত,পরদিন হওয়া পুঁটে বিপিন উচ্ছিষ্ট ফেলা রাখা
501,সেনাপতি মনে মনে কহিলেন দেবী তোমার নেত্রও যখন প্রতারণা করিতে পারে তখন সত্য পৃথিবীতে কোথাও নাই,সেনাপতি মন মন কহা দেবী তুমি নেত্র যখন প্রতারক করা পারা তখন সত্য পৃথিবী কোথা না
502,এ সব নিয়েই আমার পাড়ার বর্ণময় ছবিটা,এ সব নেওয়া আমি পাড়া বর্ণ ছবি
503,রানী কহিলেন ইস্ বিপিনবাবু যে ভারি নবাব দেখিতেছি,রানী কহা ইস্ বিপিনবাবু যে ভার নবাব দেখা
504,পরেশ ইঁহার সম্বন্ধে মুখ ফুটিয়া সংশয় প্রকাশ করিতে পারিতেন না বলিয়াই তাহা গুপ্ত ক্ষতের মতো ক্রমশ তাঁহার মর্মের নিকট পর্যন্ত খনন করিয়া চলিয়াছিল,পরেশ ইঁহা সম্বন্ধ মুখ ফোটানো সংশয় প্রকাশ করা পারা না বলা তাহা গোপন ক্ষত মতো ক্রমশ তিনি মর্ম নিকট পর্যন্ত খনন করা চলা
505,বালকটি নিঃশব্দপদে পশ্চাৎ হইতে আসিয়া মাধবীতলায় দাঁড়াইল,বালক নিঃশব্দপদ পশ্চাৎ হওয়া আসা মাধবীতলা দাঁড়ানো
506,পরেশ তৎক্ষণাৎ ঘরে তালাচাবি লাগাইয়া তাহাকে রুদ্ধ করিয়া আদালতে চলিয়া গেল,পরেশ তৎক্ষণাৎ ঘর তালাচাবি লাগানো তিনি রুদ্ধ করা আদালত চলা গেল
507,স্বামী সে পত্র পাঠে ঈর্ষায় দগ্ধ হইতেছে মনে করিয়া গৌরী মনে মনে একপ্রকার জ্বালাময় আনন্দ অনুভব করিল,স্বামী তিনি পত্র পাঠ ঈর্ষা দগ্ধ হওয়া মন করা গৌরী মন মন একপ্রকার জ্বালা আনন্দ অনুভব করা
508,সমুদ্রের সব জল বাষ্পীভূত হয়ে গিয়েছিল প্রচণ্ড উত্তাপে,সমুদ্র সব জল বাষ্পভূত হয়ে যাওয়া প্রচণ্ড উত্তাপ
509,কাল হইতে কী করিয়া কোথায় তাঁহার অন্নমুষ্টি জুটিবে সে সম্বন্ধে কোনো বিবেচনা করিলেন না,কাল হওয়া কী করা কোথায় তিনি অন্নমুষ্টি জোটা তিনি সম্বন্ধ কোন বিবেচনা করা না
510,ছেলেটি মন মরা হয়ে আস্তে আস্তে চলে গেল,ছেলে মন মরা হয়ে আস্ত আস্ত চলা গেল
511,অরণ্যে লেশমাত্র শব্দ হইলেই ভয়প্রবণ হৃদয় হরিণের মতো চকিত হইয়া উঠিতেছে,অরণ্য লেশমাত্র শব্দ হওয়া ভয়প্রবণ হৃদয় হরিণ মতো চকিত হওয়া ওঠা
512,ফলে তা ছাড়িয়ে খেলে এই উপাদানগুলি কিন্তু বাদ পড়ছে আপনার ডায়েট থেকে,ফল তা ছাড়ানো খেলা এই উপাদান কিন্তু বাদ পড়া আপনি ডায়েট থেকে
513,তরুণ যুবক অপরিচিত পথে একাকী চলিতেছে,তরুণ যুবক পরিচয় পথ এক চলা
514,কিন্তু পালানো সহজ ব্যাপার নহে হাতে পথ খরচও সামান্য সেইজন্য প্যারী গ্রামে হরিহর ভট্টাচার্য মহাশয়ের নিকট গিয়া আশ্রয় লইল,কিন্তু পালানো সহজ ব্যাপার না হাত পথ খরচ সামান্য সেইজন্য প্যারী গ্রাম হরিহর ভট্টাচার্য মহাশয় নিকট গিয়ে আশ্রয় লওয়া
515,ধরুন মা বাবা প্ল্যান করলেন বর্ষশেষের ছুটির দিনটা মেয়ের সঙ্গে বাড়িতে হইহুল্লোড় করে কাটাবেন,ধরা মা বাবা প্ল্যান করা বর্ষশেষ ছুটি দিন মেয়ে সঙ্গ বাড়ি হুল্লোড় করা কাটানো
516,কিন্তু না সেই গন্ধ না সেই স্বাদ,কিন্তু না সেই গন্ধ না সেই স্বাদ
517,পরেশ মুহূর্তকাল পাংশু এবং পরক্ষণেই রক্তবর্ণ হইয়া কহিলেন কেন গিয়াছিলে,পরেশ মুহূর্তকাল পাংশু এবং পরক্ষণ রক্তবর্ণ হওয়া কহা কেন যাওয়া
518,কেউ ভিড়ে মিশতে চান ভিড় তাঁকে নেয় না,কে ভিড়ে মেশা চাওয়া ভিড় তিনি নেওয়া না
519,তবে কিনা স্বভাবতই গত কয়েক দশকে আরও অনেক জোরদার হয়েছে ছোট রাজ্য গঠনের দাবি গঠিত হয়েছে বেশ কয়েকটি ছোট ছোট প্রদেশও,তবে কিনা স্বভাব গত কিছু দশক আর অনেক জোর হওয়া ছোট রাজ্য গঠন দাবি গঠন হওয়া বেশ কয়েক ছোট ছোট প্রদেশ
520,নাসিক প্রায় বছর পর গোদাবরীর জলে তলিয়ে যাওয়া প্রায় টি মন্দির ফের জেগে উঠেছে,নাসিক প্রায় বছর পর গোদাবরী জল তল যাওয়া প্রায় টি মন্দির ফের জাগা ওঠা
521,জগতে যে আদরের পাত্র অনেক গুণী আছে স্ত্রীলোকের শাস্ত্রে সে কথা লেখে না,জগৎ যে আদর পাত্র অনেক গুণ আছে স্ত্রীলোক শাস্ত্র তিনি কথা লেখা না
522,তাহার পর পড়া শেষ হইলে ছুটির পূর্বে তিনি সকল ছাত্রদের সম্বোধন করিয়া বলিলেন শোন্ তোরা সব শোন্,তিনি পর পড়া শেষ হওয়া ছুটি পূর্ব তিনি সকল ছাত্র সম্বোধন করা বলা শোনা তুমি সব শোনা
523,জমিদারি কাছারির অসহিষ্ণু মাঝি নৌকা ছাড়িয়া দিল,জমিদার কাছারি অসহিষ্ণু মাঝি নৌকা ছাড়া দেওয়া
524,এ ছাড়াও ছুটির দিনে আড্ডার ঝলকটা বেশি চোখে পড়ে,এ ছাড়া ছুটি দিন আড্ডা ঝলক বেশি চোখ পড়া
525,মুখের আলসারে পোস্ত ওষুধ,মুখ আলসার পোস্ত ওষুধ
526,নয়নমোহন সমাজতত্ত্বঘটিত গভীর যুক্তি বের করেছিল সে আমার কানে পৌঁছল না তার জবাবও দিই নি,নয়নমোহন সমাজতত্ত্ব গভীর যুক্তি বের করা তিনি আমি কান পৌঁছনো না তার জবাব দেওয়া না
527,রাজা ইহা অপেক্ষা অনেক উচ্ছ্বসিত ভাষায় রানীর নিকট বিপিনের গুণগান করিয়াছেন,রাজা ইহা অপেক্ষা অনেক উচ্ছ্বসিত ভাষা রানী নিকট বিপিন গুণগান করা
528,পুরুষ অভিভাবক অভাবে তাহাদের যে কোনো প্রকার শাসন ছিল না এবং স্নেহান্ধ পিসিমার আদরে তাহারা যে নষ্ট হইয়া যাইতেছিল এমন কথা কেহ বলিতে পারিত না,পুরুষ অভিভাবক অভাব সে যে কোন প্রকার শাসন থাকা না এবং স্নেহ পিসিমা আদর তারা যে নষ্ট হওয়া যাওয়া এমন কথা কেউ বলা পারা না
529,সদ্য কন্যাশোকের উপর এতবড়ো অপমানের আঘাত তাহার পক্ষে অসহ্য হইয়াছে,সদ্য কন্যাশোক উপর এতবড়ো অপমান আঘাত তিনি পক্ষ সহ্য হওয়া
530,হরিহরের গৃহপ্রাঙ্গণের সংলগ্ন পৈতৃক জমি জমিদারের পরগনার অন্তর্গত বলিয়া নালিশ রুজু হইল,হরিহর গৃহপ্রাঙ্গণ সংলগ্ন পিতা জমি জমিদার পরগনা অন্তর্গত বলা নালিশ রুজু হয়
531,তাহারা যখন সুখে থাকে তখন একনিশ্বাসে নিখিলজগতের উপকার করে এবং মনোবাঞ্ছা তিলমাত্র ব্যর্থ হইলেই আরক্তলোচনে বলে রাক্ষসী পৃথিবী পিশাচ সমাজ তোদের বুকে পা দিয়া আমি ইহার প্রতিশোধ লইব,সে যখন সুখ থাকা তখন একনিশ্বাস নিখিলজগত উপকার করা এবং মনোবাঞ্ছা তিলমাত্র ব্যর্থ হওয়া রক্তলোচন বলে রাক্ষস পৃথিবী পিশাচ সমাজ তুই বুক পা দেওয়া আমি ইহা প্রতিশোধ লওয়া
532,মুন্সেফ নবগোপালবাবু তাঁহার সাক্ষ্যই প্রামাণ্য করিয়া মকদ্দমা ডিস্মিস্ করিয়া দিলেন,মুন্সেফ নবগোপালবাবু তিনি সাক্ষ্য প্রমাণ করা মকদ্দমা ডিস্মিস্ করা দেওয়া
533,একেবারে তুঙ্গে,একেবারে তুঙ্গ
534,কিন্তু যুবতী বিনোদিনীর নিকট হঠাৎ এতটা প্রাজ্ঞতা প্রত্যাশা করা যায় না,কিন্তু যুবক বিনোদিনী নিকট হঠাৎ এত প্রাজ্ঞ প্রত্যাশা করা যায় না
535,হে রূপসী পাঠিকা যে যুবতীকে দেখিয়া তুমি সঙ্গিনীকে বলিয়াছ ইহাকে কী এমন ভালো দেখিতে ভাই,হে রূপ পাঠক যে যুবক দেখা তুমি সঙ্গী বলা ইহা কী এমন ভালো দেখা ভাই
536,কাহার উদ্যত অসির সম্মুখে ব্যাঘ্র আক্রান্ত মেষযূথের ন্যায় শত্রুসৈন্য মুহূর্তের মধ্যে ঊর্ধ্বশ্বাসে পলায়নপর হইল,কেহ উদ্যত অসি সম্মুখ ব্যাঘ্র আক্রান্ত মেষযূথ ন্যায় শত্রুসৈন্য মুহূর্ত মধ্যে ঊর্ধ্বশ্বাস পলায়নপর হয়
537,এর কারণ হল ওরাল পোলিয়ো ড্রপ পরিবেশের মধ্যে পোলিয়ো ভাইরাস ছড়ানো আটকায় আর ইঞ্জেকশনের মাধ্যমে দেওয়া ভ্যাকসিন শিশুর নিজস্ব রোগ প্রতিরোধ ব্যবস্থাকে শক্তিশালী করে,এ কারণ হওয়া ওরানো পোলিয়ো ড্রপ পরিবেশ মধ্যে পোলিয়ো ভাইরাস ছড়ানো আটকানো আর ইঞ্জেকশন মাধ্যম দেওয়া ভ্যাকসিন শিশু নিজস্ব রোগ প্রতিরোধ ব্যবস্থা শক্তিশালী করা
538,দূর বিদেশ হইতে আসিয়া কিছুদিন কাজ করার পরেই একদিন সে বৃদ্ধ নায়েবের অনুরাগদৃষ্টি হইতে আত্মরক্ষার জন্য গৃহিণীর নিকট কাঁদিয়া গিয়া পড়িল,দূর বিদেশ হওয়া আসা কিছুদিন কাজ করা পর একদিন তিনি বৃদ্ধ নায়েব অনুরাগদৃষ্টি হওয়া আত্মরক্ষা জন্য গৃহিণী নিকট কান্না গিয়ে পড়া
539,সেই হিসেবে গত এক বছরের মধ্যেই মানফ্রেড মারা গিয়ে থাকতে পারেন বলে মনে হচ্ছে,সেই হিসাব গত এক বছর মধ্য মানফ্রেড মারা গিয়ে থাকা পারা বলে মন হওয়া
540,রাজ্য ভাঙতে গিয়ে দেশটাই না হারায়,রাজ্য ভাঙা গিয়ে দেশ না হারানো
541,কিন্তু নানা ঘটনায় দারোগার কাছে এমন মনুষ্যত্বের পরিচয় দিয়াছিলাম যে কোনো কথা বলিবার মুখ ছিল না,কিন্তু নানা ঘটনা দারোগা কাছ এমন মনুষ্যত্ব পরিচয় দেওয়া যে কোন কথা বলা মুখ থাকা না
542,কিন্তু রাজ্যের ইতিহাসে প্রথম বার বনের রাজা থুড়ি রানিকে হত্যা করে বীরত্বের উচ্ছাস যেন বাঁধ মানছিল না,কিন্তু রাজ্য ইতিহাস প্রথম বার বন রাজা থুড়ি রানি হত্যা করা বীর উচ্ছাস যে বাঁধ মানা না
543,যদি আনন্দের আস্বাভাবিক লক্ষ্যমাত্রা স্থির করা হয় তা হলে সেটা পূরণ না হওয়াই স্বাভাবিক,যদি আনন্দ স্বাভাবিক লক্ষ্যমাত্রা স্থির করা হয় তা হওয়া সে পূরণ না হওয়া স্বাভাবিক
544,উচ্চমাধ্যমিক আইএসসি পরীক্ষার প্রস্তুতির ফাঁকেই অক্সফোর্ডে প্রবেশিকা পরীক্ষা দিয়েছিল সে,উচ্চমাধ্যমিক আইএসসি পরীক্ষা প্রস্তুতি ফাঁক অক্সফোর্ড প্রবেশ পরীক্ষা দেওয়া তিনি
545,কিন্তু যে উপন্যাস লেখে তাহার কোথাও বাধা নাই দ্বারীরা দ্বাররোধ করে না অসূর্যস্পশ্যরূপা রমণীরাও আপত্তি প্রকাশ করে না,কিন্তু যে উপন্যাস লেখা তিনি কোথা বাধা না দ্বারী দ্বাররোধ করা না সূর্যস্পশ্যরূপ রমণী আপত্তি প্রকাশ করা না
546,আসছেন নতুনরা,আসা নতুন
547,কিন্তু অদ্য রানীর মুখের এইটুকু মাত্র প্রশংসা শুনিয়া তাঁহার মনে হইল বিপিনটার ক্ষমতা যে পরিমাণে অবিবেচক লোকে তদপেক্ষা তাহাকে ঢের বেশি বাড়াইয়া থাকে,কিন্তু অদ্য রানী মুখ এই মাত্র প্রশংসা শোনা তিনি মন হয় বিপিন ক্ষমতা যে পরিমাণ অবিবেচক লোক অপেক্ষা তিনি ঢের বেশি বাড়ানো থাকা
548,তাকে ধরতে জাল নিয়ে এগিয়ে যেতেই ঘড়িয়ালটি পুকুরে নেমে পড়ে,তা ধরা জাল নেওয়া আগ যাওয়া ঘড়িয়াল পুকুর নামা পড়া
549,কাছেই কলেজ রো নবীন পাল লেন ও ট্যামার লেন,কাছ কলেজ রো নবীন পাল লেন ও ট্যামার লেন
550,তখন কলিকা যে দলে ছিল তাদের উর্দি আমি ব্যবহার করিনি আজ যে দলে ভিড়েছে তাদের উর্দিও গ্রহণ করতে পারলুম না,তখন কলিকা যে দল থাকা সে উর্দি আমি ব্যবহার করা আজ যে দল ভেড়ানো সে উর্দি গ্রহণ করা পারা না
551,স্বাস্থ্য মন্ত্রকের একাংশ ওরাল ড্রপের বদলে পুরোপুরি ইঞ্জেকশনের পক্ষপাতী ছিল,স্বাস্থ্য মন্ত্রী একাংশ ওরাল ড্রপ বদল পুরো ইঞ্জেকশন পক্ষপাত থাকা
552,সাহস করে একটু কাছে এল যেই দেখা গেল তার পায়ে হয়েছে ঘা ময়লা কাপড়ের ব্যাণ্ডেজ জড়ানো,সাহস করা এক কাছ এল যে দেখা গেল তিনি পা হওয়া ঘা ময়লা কাপড় ব্যাণ্ডেজ জড়ানো
553,সেই পঞ্চাশের দশকে জওহরলাল নেহরু মোটেও অন্তর থেকে সমর্থন করেননি অন্ধ্র কিংবা অন্ধ্রপ্রদেশের সিদ্ধান্ত,সেই পঞ্চাশ দশক জওহরলাল নেহরু মোট অন্তর থেকে সমর্থন করা অন্ধ্র কিংবা অন্ধ্রপ্রদেশ সিদ্ধান্ত
554,নাসা কর্তৃপক্ষ শতপর্ণাকে সম্প্রতি চিঠি পাঠিয়ে জানিয়েছে গোটা পৃথিবী থেকে যে পাঁচ জনকে মহাকাশ গবেষণার ইন্টার্নশিপের জন্য বেছে নেওয়া হয়েছে তার মধ্যে শতপর্ণা এক জন,নাসা কর্তৃপক্ষ শতপর্ণা সম্প্রতি চিঠি পাঠানো জানানো গোটা পৃথিবী থেকে যে পাঁচ জন মহাকাশ গবেষণা ইন্টার্নশিপ জন্য বাছা নেওয়া হওয়া তার মধ্যে শতপর্ণা এক জন
555,অন্য পাড়ার মতোই এ পাড়াতেও বসেছে জোরালো আলো নিয়মিত জঞ্জাল অপসারণ রাস্তা পরিষ্কার করাও হয়,অন্য পাড়া মতো এ পাড়া বসা জোর আলো নিয়ম জঞ্জাল অপসারণ রাস্তা পরিষ্কার করা হয়
556,আবার বড় সফল রাজ্যও তো রয়েছে গুজরাত বা তামিলনাড়ু,আবার বড় সফল রাজ্য তো রওয়া গুজরাত বা তামিলনাড়ু
557,গুলি লক্ষ্যভ্রষ্ট হয়,গুলি লক্ষ্যভ্রষ্ট হয়
558,সেদিন আমাদের পাড়ায় জৈনদের মহলে কী একটা পরব ছিল,সেদিন আমি পাড়া জৈন মহলে কী এক পরব থাকা
559,একমাত্র আমাদের সৌরমণ্ডলেই এই ঘটনাটা ঘটেছে বলে এখনও পর্যন্ত জ্যোতির্বিজ্ঞানীদের অনুমান,একমাত্র আমি সৌরমণ্ডল এই ঘটনা ঘটা বলে এখন পর্যন্ত জ্যোতিবিজ্ঞান অনুমান
560,প্রথম পরিচ্ছেদ আল্লা হো আকবর শব্দে রণভূমি প্রতিধ্বনিত হইয়া উঠিয়াছে,প্রথম পরিচ্ছেদ আল্লা হো আকবর শব্দ রণভূমি প্রতিধ্বনি হওয়া ওঠা
561,বহু উৎপীড়িতের অশ্রুসেচনে দারোগার সহিত ডাক্তারের যে প্রণয় বাড়িয়া উঠিয়াছিল তাহা এই ঝড়ে ভূমিসাৎ হইয়া গেল,বহু উৎপীড়ন অশ্রুসেচন দারোগা সহ ডাক্তার যে প্রণয় বেড়ে ওঠা তাহা এই ঝড় ভূমি হওয়া গেল
562,হিংসাত্মক বা পুরনো বলেই নয় তেলঙ্গানার পক্ষে একটা অন্য যুক্তি রয়ে গিয়েছে যেটা নেহরু সে দিন বলতে চেয়েছিলেন,হিংসা বা পুরনো বলা না তেলঙ্গানা পক্ষ এক অন্য যুক্তি রওয়া যাওয়া যে নেহরু তিনি দিন বলা চাওয়া
563,তর্কটাকে প্রকাশ করে বলবার যোগ্য সাহস কিন্তু হল না,তর্ক প্রকাশ করা বলা যোগ্য সাহস কিন্তু হওয়া না
564,যখন সন্ধ্যার অন্ধকার ঘনীভূত হইয়া বাহিরের বাগানে কাকের ডাক থামিয়া গেল তখন নক্ষত্রখচিত শান্ত আকাশের দিকে চাহিয়া তাহার বাপমায়ের কথা মনে পড়িল এবং তখন দুই গণ্ড দিয়া অশ্রু বিগলিত হইয়া পড়িতে লাগিল,যখন সন্ধ্যা অন্ধকার ঘনীভূত হওয়া বাহির বাগান কাক ডাক থামা গেল তখন নক্ষত্রখচিত শান্ত আকাশ দিক চাহন তিনি বাপমা কথা মন পড়া এবং তখন দুই গণ্ড দেওয়া অশ্রু বিগলন হওয়া পড়া লাগা
